,인허가일자,영업상태코드,영업상태명,폐업일자,업태구분명,지번주소,사업장명
0,2022-04-22,1,영업/정상,,커피숍,서울특별시 마포구 성산동 515 월드컵주경기장,팜스365
1,2022-04-22,1,영업/정상,,기타 휴게음식점,서울특별시 종로구 숭인동 169 1층,메가엠지씨커피 종로숭인점
2,2023-02-16,1,영업/정상,,커피숍,서울특별시 종로구 와룡동 109-1 UD빌딩 1층,노우즈 창덕
3,2023-02-16,1,영업/정상,,편의점,서울특별시 강동구 천호동 335-8,세븐일레븐 천호이편한점
4,2022-08-31,3,폐업,2023-03-24,일반조리판매,서울특별시 관악구 신림동 1519-22,담다
5,2022-08-08,1,영업/정상,,백화점,서울특별시 양천구 목동 916 현대하이페리온,연하동 현대백화점목동점
6,2023-03-24,1,영업/정상,,커피숍,서울특별시 금천구 시흥동 940-27,헤세드
7,2023-03-24,1,영업/정상,,편의점,서울특별시 동대문구 전농동 128-101,지에스25 (전농샛별점)
8,2023-03-24,1,영업/정상,,편의점,서울특별시 강동구 암사동 452 진주빌딩,씨유 암사진주점
9,2023-03-24,1,영업/정상,,커피숍,서울특별시 강동구 천호동 338-15,카페숲안에
10,2023-03-24,1,영업/정상,,편의점,서울특별시 서초구 반포동 612-55,세븐일레븐 반포서래마을점
11,2023-03-24,1,영업/정상,,편의점,서울특별시 서초구 방배동 897-1 1층,씨유 내방역점
12,2023-03-24,1,영업/정상,,기타 휴게음식점,서울특별시 강남구 압구정동 455 현대아파트,보리원 압구정점
13,2023-03-24,1,영업/정상,,일반조리판매,서울특별시 강남구 신사동 639-5,(주)예스초콜렛
14,2023-03-24,1,영업/정상,,커피숍,서울특별시 양천구 목동 917-6 행복한백화점(킴스클럽) 지하 1층,반도스커피(행복한백화점점)
15,2023-02-16,1,영업/정상,,커피숍,서울특별시 중구 을지로6가 18-12,리빙크리에이터
16,2023-03-24,1,영업/정상,,커피숍,서울특별시 용산구 한남동 683-141,로우커피스탠드(RAW COFFEE STAND)
17,2023-03-24,1,영업/정상,,커피숍,서울특별시 마포구 동교동 173-14,스타벅스 홍대동교점
18,2023-02-16,1,영업/정상,,기타 휴게음식점,서울특별시 성동구 하왕십리동 1070 센트라스,프리미엄 과일 신선도
19,2023-03-24,3,폐업,2023-04-06,일반조리판매,서울특별시 양천구 목동 916 현대하이페리온,(주)갑성
20,2023-03-24,3,폐업,2023-04-02,백화점,서울특별시 강남구 압구정동 429 현대백화점본점,더프리미엄(한시적)
21,2023-03-24,1,영업/정상,,커피숍,서울특별시 강남구 신사동 661-1,메가엠지씨커피 압구정로데오역점
22,2023-03-24,1,영업/정상,,커피숍,서울특별시 용산구 이태원동 567,뚜호(TTUHO)
23,2023-01-10,1,영업/정상,,커피숍,서울특별시 강서구 화곡동 1078-1 1층,블랙멜
24,2023-03-24,1,영업/정상,,기타 휴게음식점,서울특별시 서대문구 북가좌동 3-29,브라운 베이글 북가좌점
25,2023-03-24,1,영업/정상,,기타 휴게음식점,서울특별시 성북구 안암동1가 5-4,스포일드(Spoiled)
26,2023-03-24,1,영업/정상,,커피숍,서울특별시 성북구 석관동 246-10,이디야 돌곶이역점
27,2023-03-24,1,영업/정상,,커피숍,서울특별시 동작구 사당동 190-163,카페만나
28,2023-03-24,1,영업/정상,,편의점,서울특별시 강북구 미아동 62-27 행복빌딩,지에스(GS)25 미아영훈점
29,2023-03-24,1,영업/정상,,편의점,서울특별시 관악구 봉천동 100-324,세븐일레븐 관악행운길점
30,2023-03-24,1,영업/정상,,기타 휴게음식점,서울특별시 영등포구 양평동3가 78-19,헤세드(Hessed)
31,2023-03-24,1,영업/정상,,편의점,서울특별시 영등포구 당산동3가 6-3,(주)비지에프리테일 영등포디벨리움점
32,2023-03-24,1,영업/정상,,커피숍,서울특별시 강서구 마곡동 799-2 푸리마타워 108호,오슬로우 마곡역점
33,2023-03-24,1,영업/정상,,커피숍,서울특별시 도봉구 쌍문동 315-30,매머드 익스프레스 도봉한일병원점
34,2023-03-24,1,영업/정상,,커피숍,서울특별시 광진구 구의동 33-54 1층,옳은정커피
35,2023-03-24,1,영업/정상,,커피숍,서울특별시 광진구 중곡동 69-21 1층,개편한까페
36,2023-03-16,3,폐업,2023-03-23,기타 휴게음식점,서울특별시 강남구 삼성동 159-7 현대백화점,마린느(한시적)
37,2023-03-13,3,폐업,2023-03-23,기타 휴게음식점,서울특별시 성북구 길음동 20-1 현대백화점미아점,옛날호떡
38,2023-03-13,3,폐업,2023-03-23,백화점,서울특별시 양천구 목동 916 현대하이페리온,어부의 밥상
39,2023-03-08,3,폐업,2023-03-23,기타 휴게음식점,서울특별시 중구 충무로1가 52-5,(주)갑성
40,2022-10-14,1,영업/정상,,푸드트럭,서울특별시 송파구 석촌동 275-5,보리마루 2호점
41,2017-06-07,3,폐업,2023-02-28,백화점,서울특별시 강남구 대치동 937,도쿄타이야끼
42,2022-09-16,1,영업/정상,,커피숍,서울특별시 영등포구 양평동3가 49-4 아테네,체크잇아웃!(Check it out!)
43,2022-07-14,1,영업/정상,,푸드트럭,서울특별시 송파구 잠실동 10 서울종합운동장,VIVA 푸드트럭
44,2022-06-14,3,폐업,2023-03-24,커피숍,서울특별시 마포구 서교동 347-11,카페 이벤트 디(Cafe Event D)
45,2022-04-26,3,폐업,2023-03-24,커피숍,서울특별시 노원구 중계동 359-9 마들플라자,꽈배배 은행사거리점
46,2021-05-20,1,영업/정상,,편의점,서울특별시 동대문구 신설동 104-30,씨유 동대문도서관점
47,2021-03-15,3,폐업,2023-03-24,커피숍,서울특별시 관악구 봉천동 1719-2 행복한감리교회,"오, 루네(O' lune)"
48,2020-07-17,3,폐업,2023-03-24,일반조리판매,서울특별시 관악구 봉천동 13-28,장나라
49,2020-02-20,1,영업/정상,,패스트푸드,서울특별시 강남구 논현동 4-1 대영빌딩,써브웨이 신사점
50,2019-10-01,3,폐업,2023-03-24,일반조리판매,서울특별시 종로구 낙원동 119,크로플스위트하우스
51,2019-08-30,1,영업/정상,,다방,서울특별시 강남구 신사동 603,조앤더주스 압구정역점
52,2019-06-28,3,폐업,2023-03-24,커피숍,서울특별시 강남구 논현동 107-45,퍼퓸트리(perfume tree)
53,2019-03-18,1,영업/정상,,커피숍,서울특별시 금천구 독산동 1147 금천롯데캐슬골드파크1차아파트,메가엠지씨커피 금천롯데캐슬
54,2018-10-08,1,영업/정상,,커피숍,서울특별시 영등포구 문래동3가 57-3 태광빌딩 4층 403호,메이커스유니온스퀘어
55,2018-04-06,1,영업/정상,,커피숍,서울특별시 강남구 대치동 892 포스코센터,(주)학산 테라로사커피 포스코센터지점
56,2017-02-13,3,폐업,2023-03-24,일반조리판매,서울특별시 관악구 신림동 1738-1 지하 1층 08호,장상궁김밥 난향점
57,2011-02-17,3,폐업,2023-03-24,패스트푸드,서울특별시 영등포구 대림동 909-2 A동 지상1층,점보피자
58,2018-02-21,1,영업/정상,,편의점,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕 ,CU고덕래미안점
59,2010-07-14,1,영업/정상,,커피숍,서울특별시 서초구 서초동 1623-1 1층,스타벅스 서울교대점
60,2023-02-28,1,영업/정상,,기타 휴게음식점,서울특별시 종로구 동숭동 1-152 1층,부부김밥
61,2023-02-28,1,영업/정상,,커피숍,서울특별시 종로구 동숭동 129-149 수근빌딩 201호,과일카페 프루츠(cafe fruits)
62,2023-02-28,1,영업/정상,,편의점,서울특별시 강동구 천호동 483-8,세븐일레븐 한강광나루1호점
