,2017-1-31,2017-2-28,2017-3-31,2017-4-30,2017-5-31,2017-6-30,2017-7-31,2017-8-31,2017-9-30,2017-10-31,2017-11-30,2017-12-31,2018-1-31,2018-2-28,2018-3-31,2018-4-30,2018-5-31,2018-6-30,2018-7-31,2018-8-31,2018-9-30,2018-10-31,2018-11-30,2018-12-31,2019-1-31,2019-2-28,2019-3-31,2019-4-30,2019-5-31,2019-6-30,2019-7-31,2019-8-31,2019-9-30,2019-10-31,2019-11-30,2019-12-31,2020-1-31,2020-2-29,2020-3-31,2020-4-30,2020-5-31,2020-6-30,2020-7-31,2020-8-31,2020-9-30,2020-10-31,2020-11-30,2020-12-31,2021-1-31,2021-2-28,2021-3-31,2021-4-30,2021-5-31,2021-6-30,2021-7-31,2021-8-31,2021-9-30,2021-10-31,2021-11-30,2021-12-31,2022-1-31,2022-2-28,2022-3-31,2022-4-30,2022-5-31,2022-6-30,2022-7-31,2022-8-31,2022-9-30,2022-10-31,2022-11-30,2022-12-31
구로구,399,404,404,404,404,404,404,404,404,399,401,404,407,405,405,405,405,405,405,405,405,407,409,407,408,414,414,414,414,414,414,414,414,414,412,414,454,458,458,458,458,458,458,458,458,457,460,459,473,472,472,472,472,472,472,472,472,477,475,474,488,488,488,488,488,488,488,488,488,490,491,488
서초구,921,926,926,926,926,926,926,926,926,925,929,929,942,943,943,943,943,943,943,943,943,953,952,949,958,967,967,967,967,967,967,967,967,970,971,974,1006,1005,1005,1005,1005,1005,1005,1005,1005,1007,1006,1005,1022,1002,1002,1002,1002,1002,1002,1002,1002,1015,1018,1004,1008,1012,1012,1012,1012,1012,1012,1012,1012,1014,1012,1012
영등포구,753,766,766,766,766,766,766,766,766,754,760,766,807,798,798,798,798,798,798,798,798,805,804,799,827,843,843,843,843,843,843,843,843,835,839,844,874,862,862,862,862,862,862,862,862,873,877,864,902,914,914,914,914,914,914,914,914,907,913,916,905,899,899,899,899,899,899,899,899,903,901,899
서대문구,441,447,447,447,447,447,447,447,447,443,448,448,477,492,492,492,492,492,492,492,492,480,485,492,524,524,524,524,524,524,524,524,524,524,520,525,546,521,521,521,521,521,521,521,521,544,539,522,481,494,494,494,494,494,494,494,494,486,492,496,516,496,496,496,496,496,496,496,496,513,517,496
강남구,1586,1586,1586,1586,1586,1586,1586,1586,1586,1585,1590,1589,1674,1675,1675,1675,1675,1675,1675,1675,1675,1686,1675,1679,1789,1793,1793,1793,1793,1793,1793,1793,1793,1801,1798,1794,1842,1831,1831,1831,1831,1831,1831,1831,1831,1843,1844,1834,1870,1873,1873,1873,1873,1873,1873,1873,1873,1871,1881,1873,1900,1882,1882,1882,1882,1882,1882,1882,1882,1907,1892,1883
중구,1016,1034,1034,1034,1034,1034,1034,1034,1034,1021,1026,1034,1054,1072,1072,1072,1072,1072,1072,1072,1072,1066,1070,1072,1122,1135,1135,1135,1135,1135,1135,1135,1135,1127,1134,1135,1149,1148,1148,1148,1148,1148,1148,1148,1148,1148,1149,1149,1150,1147,1147,1147,1147,1147,1147,1147,1147,1151,1150,1148,1168,1166,1166,1166,1166,1166,1166,1166,1166,1168,1164,1166
송파구,428,440,440,440,440,440,440,440,440,431,437,440,476,441,441,441,441,441,441,441,441,473,450,445,453,476,476,476,476,476,476,476,476,458,465,476,567,585,585,585,585,585,585,585,585,569,582,585,676,692,692,692,692,692,692,692,692,683,695,692,771,792,792,792,792,792,792,792,792,788,785,792
종로구,830,838,838,838,838,838,838,838,838,831,837,838,869,876,876,876,876,876,876,876,876,866,871,877,906,895,895,895,895,895,895,895,895,899,899,896,882,859,859,859,859,859,859,859,859,878,878,862,848,850,850,850,850,850,850,850,850,849,848,850,879,873,873,873,873,873,873,873,873,877,874,873
마포구,908,916,916,916,916,916,916,916,916,911,915,916,964,941,941,941,941,941,941,941,941,966,958,943,871,851,851,851,851,851,851,851,851,867,860,851,779,755,755,755,755,755,755,755,755,773,763,755,865,906,906,906,906,906,906,906,906,875,893,906,912,930,930,930,930,930,930,930,930,921,917,930
성북구,380,391,391,391,391,391,391,391,391,382,388,391,426,431,431,431,431,431,431,431,431,429,433,433,444,453,453,453,453,453,453,453,453,447,452,455,481,492,492,492,492,492,492,492,492,487,495,492,508,524,524,524,524,524,524,524,524,512,515,524,555,559,559,559,559,559,559,559,559,559,565,559
