,2017,2018,2019,2020,2021,2022
구로구,404,407,414,459,474,488
서초구,929,949,974,1005,1004,1012
영등포구,766,799,844,864,916,899
서대문구,448,492,525,522,496,496
강남구,1589,1679,1794,1834,1873,1883
중구,1034,1072,1135,1149,1148,1166
송파구,440,445,476,585,692,792
종로구,838,877,896,862,850,873
마포구,916,943,851,755,906,930
성북구,391,433,455,492,524,559
동대문구,346,395,408,424,427,403
용산구,379,391,422,444,449,480
중랑구,234,247,296,329,367,377
강북구,203,211,221,243,251,239
동작구,397,416,439,432,453,465
은평구,352,387,368,400,408,379
강서구,665,748,842,907,984,1004
강동구,383,416,471,517,579,608
도봉구,199,229,249,273,281,275
금천구,289,324,339,375,400,423
양천구,352,357,392,415,425,442
관악구,436,479,527,559,593,594
노원구,399,433,475,484,523,546
성동구,299,344,383,422,437,439
광진구,302,374,443,503,551,580
