,자치구별,2018학교수,2019학교수,2020학교수,2021학교수,2022학교수
0,강남구,101,101,101,101,101
1,강동구,73,73,74,76,76
2,강북구,41,41,41,41,41
3,강서구,104,104,103,103,103
4,관악구,72,72,72,72,72
5,광진구,52,52,52,52,52
6,구로구,65,67,68,68,68
7,금천구,39,39,39,39,39
8,노원구,118,118,118,118,118
9,도봉구,56,56,56,56,56
10,동대문구,58,58,58,58,58
11,동작구,51,51,51,51,51
12,마포구,54,54,54,54,54
13,서대문구,47,47,47,47,47
14,서초구,62,62,62,62,62
15,성동구,50,50,50,50,48
16,성북구,73,73,73,73,73
17,송파구,104,106,106,106,110
18,양천구,79,79,79,79,79
19,영등포구,52,52,52,53,53
20,용산구,44,44,44,44,44
21,은평구,84,85,85,84,84
22,종로구,50,50,50,50,50
23,중구,42,42,42,42,42
24,중랑구,57,57,57,57,58
