,계약연월,자치구별,CoffeeShop
0,2017-1,구로구,399
1,2017-1,서초구,921
2,2017-1,영등포구,753
3,2017-1,서대문구,441
4,2017-1,강남구,1586
5,2017-1,중구,1016
6,2017-1,송파구,428
7,2017-1,종로구,830
8,2017-1,마포구,908
9,2017-1,성북구,380
10,2017-1,동대문구,351
11,2017-1,용산구,370
12,2017-1,중랑구,237
13,2017-1,강북구,202
14,2017-1,동작구,389
15,2017-1,은평구,347
16,2017-1,강서구,649
17,2017-1,강동구,388
18,2017-1,도봉구,198
19,2017-1,금천구,293
20,2017-1,양천구,369
21,2017-1,관악구,429
22,2017-1,노원구,391
23,2017-1,성동구,290
24,2017-1,광진구,300
25,2017-2,구로구,404
26,2017-2,서초구,926
27,2017-2,영등포구,766
28,2017-2,서대문구,447
29,2017-2,강남구,1586
30,2017-2,중구,1034
31,2017-2,송파구,440
32,2017-2,종로구,838
33,2017-2,마포구,916
34,2017-2,성북구,391
35,2017-2,동대문구,346
36,2017-2,용산구,379
37,2017-2,중랑구,234
38,2017-2,강북구,203
39,2017-2,동작구,397
40,2017-2,은평구,352
41,2017-2,강서구,665
42,2017-2,강동구,383
43,2017-2,도봉구,199
44,2017-2,금천구,289
45,2017-2,양천구,352
46,2017-2,관악구,436
47,2017-2,노원구,399
48,2017-2,성동구,299
49,2017-2,광진구,302
50,2017-3,구로구,404
51,2017-3,서초구,926
52,2017-3,영등포구,766
53,2017-3,서대문구,447
54,2017-3,강남구,1586
55,2017-3,중구,1034
56,2017-3,송파구,440
57,2017-3,종로구,838
58,2017-3,마포구,916
59,2017-3,성북구,391
60,2017-3,동대문구,346
61,2017-3,용산구,379
62,2017-3,중랑구,234
63,2017-3,강북구,203
64,2017-3,동작구,397
65,2017-3,은평구,352
66,2017-3,강서구,665
67,2017-3,강동구,383
68,2017-3,도봉구,199
69,2017-3,금천구,289
70,2017-3,양천구,352
71,2017-3,관악구,436
72,2017-3,노원구,399
73,2017-3,성동구,299
74,2017-3,광진구,302
75,2017-4,구로구,404
76,2017-4,서초구,926
77,2017-4,영등포구,766
78,2017-4,서대문구,447
79,2017-4,강남구,1586
80,2017-4,중구,1034
81,2017-4,송파구,440
82,2017-4,종로구,838
83,2017-4,마포구,916
84,2017-4,성북구,391
85,2017-4,동대문구,346
86,2017-4,용산구,379
87,2017-4,중랑구,234
88,2017-4,강북구,203
89,2017-4,동작구,397
90,2017-4,은평구,352
91,2017-4,강서구,665
92,2017-4,강동구,383
93,2017-4,도봉구,199
94,2017-4,금천구,289
95,2017-4,양천구,352
96,2017-4,관악구,436
97,2017-4,노원구,399
98,2017-4,성동구,299
99,2017-4,광진구,302
100,2017-5,구로구,404
101,2017-5,서초구,926
102,2017-5,영등포구,766
103,2017-5,서대문구,447
104,2017-5,강남구,1586
105,2017-5,중구,1034
106,2017-5,송파구,440
107,2017-5,종로구,838
108,2017-5,마포구,916
109,2017-5,성북구,391
110,2017-5,동대문구,346
111,2017-5,용산구,379
112,2017-5,중랑구,234
113,2017-5,강북구,203
114,2017-5,동작구,397
115,2017-5,은평구,352
116,2017-5,강서구,665
117,2017-5,강동구,383
118,2017-5,도봉구,199
119,2017-5,금천구,289
120,2017-5,양천구,352
121,2017-5,관악구,436
122,2017-5,노원구,399
123,2017-5,성동구,299
124,2017-5,광진구,302
125,2017-6,구로구,404
126,2017-6,서초구,926
127,2017-6,영등포구,766
128,2017-6,서대문구,447
129,2017-6,강남구,1586
130,2017-6,중구,1034
131,2017-6,송파구,440
132,2017-6,종로구,838
133,2017-6,마포구,916
134,2017-6,성북구,391
135,2017-6,동대문구,346
136,2017-6,용산구,379
137,2017-6,중랑구,234
138,2017-6,강북구,203
139,2017-6,동작구,397
140,2017-6,은평구,352
141,2017-6,강서구,665
142,2017-6,강동구,383
143,2017-6,도봉구,199
144,2017-6,금천구,289
145,2017-6,양천구,352
146,2017-6,관악구,436
147,2017-6,노원구,399
148,2017-6,성동구,299
149,2017-6,광진구,302
150,2017-7,구로구,404
151,2017-7,서초구,926
152,2017-7,영등포구,766
153,2017-7,서대문구,447
154,2017-7,강남구,1586
155,2017-7,중구,1034
156,2017-7,송파구,440
157,2017-7,종로구,838
158,2017-7,마포구,916
159,2017-7,성북구,391
160,2017-7,동대문구,346
161,2017-7,용산구,379
162,2017-7,중랑구,234
163,2017-7,강북구,203
164,2017-7,동작구,397
165,2017-7,은평구,352
166,2017-7,강서구,665
167,2017-7,강동구,383
168,2017-7,도봉구,199
169,2017-7,금천구,289
170,2017-7,양천구,352
171,2017-7,관악구,436
172,2017-7,노원구,399
173,2017-7,성동구,299
174,2017-7,광진구,302
175,2017-8,구로구,404
176,2017-8,서초구,926
177,2017-8,영등포구,766
178,2017-8,서대문구,447
179,2017-8,강남구,1586
180,2017-8,중구,1034
181,2017-8,송파구,440
182,2017-8,종로구,838
183,2017-8,마포구,916
184,2017-8,성북구,391
185,2017-8,동대문구,346
186,2017-8,용산구,379
187,2017-8,중랑구,234
188,2017-8,강북구,203
189,2017-8,동작구,397
190,2017-8,은평구,352
191,2017-8,강서구,665
192,2017-8,강동구,383
193,2017-8,도봉구,199
194,2017-8,금천구,289
195,2017-8,양천구,352
196,2017-8,관악구,436
197,2017-8,노원구,399
198,2017-8,성동구,299
199,2017-8,광진구,302
200,2017-9,구로구,404
201,2017-9,서초구,926
202,2017-9,영등포구,766
203,2017-9,서대문구,447
204,2017-9,강남구,1586
205,2017-9,중구,1034
206,2017-9,송파구,440
207,2017-9,종로구,838
208,2017-9,마포구,916
209,2017-9,성북구,391
210,2017-9,동대문구,346
211,2017-9,용산구,379
212,2017-9,중랑구,234
213,2017-9,강북구,203
214,2017-9,동작구,397
215,2017-9,은평구,352
216,2017-9,강서구,665
217,2017-9,강동구,383
218,2017-9,도봉구,199
219,2017-9,금천구,289
220,2017-9,양천구,352
221,2017-9,관악구,436
222,2017-9,노원구,399
223,2017-9,성동구,299
224,2017-9,광진구,302
225,2017-10,구로구,399
226,2017-10,서초구,925
227,2017-10,영등포구,754
228,2017-10,서대문구,443
229,2017-10,강남구,1585
230,2017-10,중구,1021
231,2017-10,송파구,431
232,2017-10,종로구,831
233,2017-10,마포구,911
234,2017-10,성북구,382
235,2017-10,동대문구,350
236,2017-10,용산구,370
237,2017-10,중랑구,239
238,2017-10,강북구,203
239,2017-10,동작구,393
240,2017-10,은평구,349
241,2017-10,강서구,650
242,2017-10,강동구,380
243,2017-10,도봉구,203
244,2017-10,금천구,289
245,2017-10,양천구,364
246,2017-10,관악구,430
247,2017-10,노원구,396
248,2017-10,성동구,295
249,2017-10,광진구,301
250,2017-11,구로구,401
251,2017-11,서초구,929
252,2017-11,영등포구,760
253,2017-11,서대문구,448
254,2017-11,강남구,1590
255,2017-11,중구,1026
256,2017-11,송파구,437
257,2017-11,종로구,837
258,2017-11,마포구,915
259,2017-11,성북구,388
260,2017-11,동대문구,348
261,2017-11,용산구,378
262,2017-11,중랑구,239
263,2017-11,강북구,204
264,2017-11,동작구,398
265,2017-11,은평구,355
266,2017-11,강서구,662
267,2017-11,강동구,384
268,2017-11,도봉구,203
269,2017-11,금천구,288
270,2017-11,양천구,358
271,2017-11,관악구,433
272,2017-11,노원구,398
273,2017-11,성동구,299
274,2017-11,광진구,298
275,2017-12,구로구,404
276,2017-12,서초구,929
277,2017-12,영등포구,766
278,2017-12,서대문구,448
