,자치구별,계약월,CoffeeShop,1m^2 전용면적당 거래금액(만원)
0,강남구,1,1870,852.0
1,강남구,2,1873,812.0
2,강남구,3,1873,817.0
3,강남구,4,1873,740.0
4,강남구,5,1873,830.0
5,강남구,6,1873,780.0
6,강남구,7,1873,848.0
7,강남구,8,1873,751.0
8,강남구,9,1873,868.0
9,강남구,10,1871,866.0
10,강남구,11,1881,866.0
11,강남구,12,1873,831.0
12,강동구,1,574,517.0
13,강동구,2,578,586.0
14,강동구,3,578,436.0
15,강동구,4,578,429.0
16,강동구,5,578,541.0
17,강동구,6,578,449.0
18,강동구,7,578,629.0
19,강동구,8,578,462.0
20,강동구,9,578,551.0
21,강동구,10,581,522.0
22,강동구,11,577,635.0
23,강동구,12,579,530.0
24,강북구,1,239,438.0
25,강북구,2,251,411.0
26,강북구,3,251,442.0
27,강북구,4,251,415.0
28,강북구,5,251,422.0
29,강북구,6,251,413.0
30,강북구,7,251,295.0
31,강북구,8,251,462.0
32,강북구,9,251,347.0
33,강북구,10,248,436.0
34,강북구,11,253,364.0
35,강북구,12,251,381.0
36,강서구,1,990,492.0
37,강서구,2,983,456.0
38,강서구,3,983,528.0
39,강서구,4,983,354.0
40,강서구,5,983,551.0
41,강서구,6,983,497.0
42,강서구,7,983,543.0
43,강서구,8,983,438.0
44,강서구,9,983,513.0
45,강서구,10,994,423.0
46,강서구,11,996,480.0
47,강서구,12,984,467.0
48,관악구,1,584,426.0
49,관악구,2,593,435.0
50,관악구,3,593,448.0
51,관악구,4,593,440.0
52,관악구,5,593,473.0
53,관악구,6,593,506.0
54,관악구,7,593,482.0
55,관악구,8,593,461.0
56,관악구,9,593,415.0
57,관악구,10,586,495.0
58,관악구,11,593,466.0
59,관악구,12,593,457.0
60,광진구,1,548,625.0
61,광진구,2,550,605.0
62,광진구,3,550,649.0
63,광진구,4,550,663.0
64,광진구,5,550,661.0
65,광진구,6,550,644.0
66,광진구,7,550,664.0
67,광진구,8,550,672.0
68,광진구,9,550,709.0
69,광진구,10,555,720.0
70,광진구,11,557,684.0
71,광진구,12,551,675.0
72,구로구,1,473,346.0
73,구로구,2,472,403.0
74,구로구,3,472,402.0
75,구로구,4,472,412.0
76,구로구,5,472,443.0
77,구로구,6,472,431.0
78,구로구,7,472,423.0
79,구로구,8,472,304.0
80,구로구,9,472,322.0
81,구로구,10,477,320.0
82,구로구,11,475,415.0
83,구로구,12,474,312.0
84,금천구,1,404,496.0
85,금천구,2,398,490.0
86,금천구,3,398,364.0
87,금천구,4,398,359.0
88,금천구,5,398,371.0
89,금천구,6,398,362.0
90,금천구,7,398,376.0
91,금천구,8,398,458.0
92,금천구,9,398,438.0
93,금천구,10,396,442.0
94,금천구,11,403,439.0
95,금천구,12,400,460.0
96,노원구,1,517,374.0
97,노원구,2,523,373.0
98,노원구,3,523,366.0
99,노원구,4,523,359.0
100,노원구,5,523,369.0
101,노원구,6,523,362.0
102,노원구,7,523,364.0
103,노원구,8,523,373.0
104,노원구,9,523,352.0
105,노원구,10,519,361.0
106,노원구,11,521,382.0
107,노원구,12,523,373.0
108,도봉구,1,284,359.0
109,도봉구,2,280,344.0
110,도봉구,3,280,329.0
111,도봉구,4,280,367.0
112,도봉구,5,280,380.0
113,도봉구,6,280,377.0
114,도봉구,7,280,377.0
115,도봉구,8,280,336.0
116,도봉구,9,280,340.0
117,도봉구,10,285,327.0
118,도봉구,11,283,374.0
119,도봉구,12,281,344.0
120,동대문구,1,423,521.0
121,동대문구,2,427,567.0
122,동대문구,3,427,545.0
123,동대문구,4,427,547.0
124,동대문구,5,427,511.0
125,동대문구,6,427,501.0
126,동대문구,7,427,468.0
127,동대문구,8,427,506.0
128,동대문구,9,427,424.0
129,동대문구,10,425,549.0
130,동대문구,11,424,515.0
131,동대문구,12,427,505.0
132,동작구,1,441,588.0
133,동작구,2,452,591.0
134,동작구,3,452,609.0
135,동작구,4,452,662.0
136,동작구,5,452,707.0
137,동작구,6,452,621.0
138,동작구,7,452,635.0
139,동작구,8,452,650.0
140,동작구,9,452,603.0
141,동작구,10,448,640.0
142,동작구,11,453,651.0
143,동작구,12,453,595.0
144,마포구,1,865,601.0
145,마포구,2,906,612.0
146,마포구,3,906,618.0
147,마포구,4,906,630.0
148,마포구,5,906,653.0
149,마포구,6,906,613.0
150,마포구,7,906,587.0
151,마포구,8,906,511.0
152,마포구,9,906,539.0
153,마포구,10,875,519.0
154,마포구,11,893,625.0
155,마포구,12,906,563.0
156,서대문구,1,481,536.0
157,서대문구,2,494,524.0
158,서대문구,3,494,527.0
159,서대문구,4,494,565.0
160,서대문구,5,494,536.0
161,서대문구,6,494,552.0
162,서대문구,7,494,538.0
163,서대문구,8,494,567.0
164,서대문구,9,494,475.0
165,서대문구,10,486,542.0
166,서대문구,11,492,532.0
167,서대문구,12,496,523.0
168,서초구,1,1022,807.0
169,서초구,2,1002,811.0
170,서초구,3,1002,674.0
171,서초구,4,1002,775.0
172,서초구,5,1002,923.0
173,서초구,6,1002,815.0
174,서초구,7,1002,829.0
175,서초구,8,1002,631.0
176,서초구,9,1002,860.0
177,서초구,10,1015,841.0
178,서초구,11,1018,819.0
179,서초구,12,1004,819.0
180,성동구,1,434,680.0
181,성동구,2,436,637.0
182,성동구,3,436,654.0
183,성동구,4,436,675.0
184,성동구,5,436,665.0
185,성동구,6,436,682.0
186,성동구,7,436,659.0
187,성동구,8,436,660.0
188,성동구,9,436,598.0
