,자치구별,1m^2 전용면적당 거래금액(만원),계약연도,계약월,CoffeeShop
0,강남구,650,2018,1,1674
1,강남구,674,2018,2,1675
2,강남구,652,2018,3,1675
3,강남구,659,2018,4,1675
4,강남구,616,2018,5,1675
5,강남구,669,2018,6,1675
6,강남구,676,2018,7,1675
7,강남구,663,2018,8,1675
8,강남구,661,2018,9,1675
9,강남구,669,2018,10,1686
10,강남구,586,2018,11,1675
11,강남구,693,2018,12,1679
12,강동구,476,2018,1,417
13,강동구,429,2018,2,414
14,강동구,476,2018,3,414
15,강동구,468,2018,4,414
16,강동구,447,2018,5,414
17,강동구,447,2018,6,414
18,강동구,465,2018,7,414
19,강동구,486,2018,8,414
20,강동구,474,2018,9,414
21,강동구,467,2018,10,419
22,강동구,492,2018,11,414
23,강동구,518,2018,12,416
24,강북구,294,2018,1,212
25,강북구,329,2018,2,211
26,강북구,337,2018,3,211
27,강북구,341,2018,4,211
28,강북구,337,2018,5,211
29,강북구,361,2018,6,211
30,강북구,304,2018,7,211
31,강북구,329,2018,8,211
32,강북구,362,2018,9,211
33,강북구,350,2018,10,215
34,강북구,333,2018,11,216
35,강북구,349,2018,12,211
36,강서구,417,2018,1,728
37,강서구,417,2018,2,748
38,강서구,406,2018,3,748
39,강서구,414,2018,4,748
40,강서구,401,2018,5,748
41,강서구,419,2018,6,748
42,강서구,370,2018,7,748
43,강서구,399,2018,8,748
44,강서구,426,2018,9,748
45,강서구,417,2018,10,742
46,강서구,390,2018,11,747
47,강서구,416,2018,12,748
48,관악구,344,2018,1,471
49,관악구,340,2018,2,479
50,관악구,380,2018,3,479
51,관악구,346,2018,4,479
52,관악구,348,2018,5,479
53,관악구,364,2018,6,479
54,관악구,391,2018,7,479
55,관악구,371,2018,8,479
56,관악구,402,2018,9,479
57,관악구,386,2018,10,472
58,관악구,373,2018,11,477
59,관악구,378,2018,12,479
60,광진구,528,2018,1,357
61,광진구,500,2018,2,374
62,광진구,532,2018,3,374
63,광진구,530,2018,4,374
64,광진구,534,2018,5,374
65,광진구,507,2018,6,374
66,광진구,521,2018,7,374
67,광진구,569,2018,8,374
68,광진구,561,2018,9,374
69,광진구,578,2018,10,365
70,광진구,550,2018,11,370
71,광진구,521,2018,12,374
72,구로구,365,2018,1,407
73,구로구,360,2018,2,405
74,구로구,350,2018,3,405
75,구로구,328,2018,4,405
76,구로구,338,2018,5,405
77,구로구,350,2018,6,405
78,구로구,348,2018,7,405
79,구로구,364,2018,8,405
80,구로구,383,2018,9,405
81,구로구,371,2018,10,407
82,구로구,380,2018,11,409
83,구로구,396,2018,12,407
84,금천구,293,2018,1,311
85,금천구,327,2018,2,323
86,금천구,320,2018,3,323
87,금천구,268,2018,4,323
88,금천구,264,2018,5,323
89,금천구,306,2018,6,323
90,금천구,291,2018,7,323
91,금천구,361,2018,8,323
92,금천구,363,2018,9,323
93,금천구,376,2018,10,314
94,금천구,382,2018,11,324
95,금천구,384,2018,12,324
96,노원구,291,2018,1,427
97,노원구,290,2018,2,432
98,노원구,305,2018,3,432
99,노원구,287,2018,4,432
100,노원구,287,2018,5,432
101,노원구,288,2018,6,432
102,노원구,287,2018,7,432
103,노원구,292,2018,8,432
104,노원구,307,2018,9,432
105,노원구,306,2018,10,429
106,노원구,310,2018,11,431
107,노원구,313,2018,12,433
108,도봉구,275,2018,1,226
109,도봉구,294,2018,2,228
110,도봉구,282,2018,3,228
111,도봉구,263,2018,4,228
112,도봉구,262,2018,5,228
113,도봉구,260,2018,6,228
114,도봉구,280,2018,7,228
115,도봉구,284,2018,8,228
116,도봉구,276,2018,9,228
117,도봉구,275,2018,10,227
118,도봉구,276,2018,11,227
119,도봉구,284,2018,12,229
120,동대문구,368,2018,1,379
121,동대문구,360,2018,2,395
122,동대문구,397,2018,3,395
123,동대문구,400,2018,4,395
124,동대문구,394,2018,5,395
125,동대문구,437,2018,6,395
126,동대문구,428,2018,7,395
127,동대문구,427,2018,8,395
128,동대문구,423,2018,9,395
129,동대문구,425,2018,10,388
130,동대문구,432,2018,11,392
131,동대문구,386,2018,12,395
132,동작구,467,2018,1,414
133,동작구,491,2018,2,416
134,동작구,498,2018,3,416
135,동작구,496,2018,4,416
136,동작구,504,2018,5,416
137,동작구,489,2018,6,416
138,동작구,493,2018,7,416
139,동작구,530,2018,8,416
140,동작구,491,2018,9,416
141,동작구,551,2018,10,415
142,동작구,511,2018,11,420
143,동작구,495,2018,12,416
144,마포구,501,2018,1,964
145,마포구,507,2018,2,941
146,마포구,491,2018,3,941
147,마포구,496,2018,4,941
148,마포구,519,2018,5,941
149,마포구,502,2018,6,941
150,마포구,522,2018,7,941
151,마포구,516,2018,8,941
152,마포구,508,2018,9,941
153,마포구,562,2018,10,966
154,마포구,535,2018,11,958
155,마포구,489,2018,12,943
156,서대문구,458,2018,1,477
157,서대문구,434,2018,2,492
158,서대문구,429,2018,3,492
