,계약연도,자치구별,1m^2 전용면적당 거래금액(만원),CoffeeShop
0,2018,강남구,654,1679
1,2018,강동구,472,416
2,2018,강북구,336,211
3,2018,강서구,406,748
4,2018,관악구,369,479
5,2018,광진구,538,374
6,2018,구로구,360,407
7,2018,금천구,335,324
8,2018,노원구,297,433
9,2018,도봉구,276,229
10,2018,동대문구,408,395
11,2018,동작구,502,416
12,2018,마포구,512,943
13,2018,서대문구,436,492
14,2018,서초구,645,949
15,2018,성동구,542,344
16,2018,성북구,407,433
17,2018,송파구,577,445
18,2018,양천구,494,357
19,2018,영등포구,445,799
20,2018,용산구,508,391
21,2018,은평구,369,387
22,2018,종로구,419,877
23,2018,중구,482,1072
24,2018,중랑구,305,247
25,2019,강남구,676,1794
26,2019,강동구,471,471
27,2019,강북구,339,221
28,2019,강서구,442,842
29,2019,관악구,380,527
30,2019,광진구,546,443
31,2019,구로구,362,414
32,2019,금천구,346,339
33,2019,노원구,304,475
34,2019,도봉구,282,249
35,2019,동대문구,423,408
36,2019,동작구,499,439
37,2019,마포구,536,851
38,2019,서대문구,463,525
39,2019,서초구,638,974
40,2019,성동구,558,383
41,2019,성북구,415,455
42,2019,송파구,576,476
43,2019,양천구,483,392
44,2019,영등포구,478,844
45,2019,용산구,532,422
46,2019,은평구,395,368
47,2019,종로구,538,896
48,2019,중구,453,1135
49,2019,중랑구,370,296
50,2020,강남구,781,1834
51,2020,강동구,515,517
52,2020,강북구,394,243
53,2020,강서구,453,907
54,2020,관악구,411,559
55,2020,광진구,604,503
56,2020,구로구,375,459
57,2020,금천구,412,375
58,2020,노원구,332,484
59,2020,도봉구,314,273
60,2020,동대문구,474,424
61,2020,동작구,569,432
62,2020,마포구,519,755
63,2020,서대문구,499,522
64,2020,서초구,760,1005
65,2020,성동구,618,422
66,2020,성북구,462,492
67,2020,송파구,647,585
68,2020,양천구,527,415
69,2020,영등포구,506,864
70,2020,용산구,579,444
71,2020,은평구,439,400
72,2020,종로구,479,862
73,2020,중구,549,1149
74,2020,중랑구,391,329
75,2021,강남구,824,1873
76,2021,강동구,516,579
77,2021,강북구,393,251
78,2021,강서구,470,984
79,2021,관악구,460,593
80,2021,광진구,667,551
81,2021,구로구,364,474
82,2021,금천구,403,400
83,2021,노원구,368,523
84,2021,도봉구,355,281
85,2021,동대문구,513,427
86,2021,동작구,630,453
87,2021,마포구,585,906
88,2021,서대문구,533,496
89,2021,서초구,796,1004
90,2021,성동구,658,437
91,2021,성북구,497,524
92,2021,송파구,672,692
93,2021,양천구,535,425
94,2021,영등포구,554,916
95,2021,용산구,623,449
96,2021,은평구,444,408
97,2021,종로구,568,850
98,2021,중구,566,1148
99,2021,중랑구,419,367
100,2022,강남구,785,1883
101,2022,강동구,540,608
102,2022,강북구,376,239
103,2022,강서구,464,1004
104,2022,관악구,442,594
105,2022,광진구,642,580
106,2022,구로구,370,488
107,2022,금천구,439,423
108,2022,노원구,347,546
109,2022,도봉구,323,275
110,2022,동대문구,504,403
111,2022,동작구,587,465
112,2022,마포구,563,930
113,2022,서대문구,508,496
114,2022,서초구,813,1012
115,2022,성동구,650,439
116,2022,성북구,470,559
117,2022,송파구,656,792
118,2022,양천구,541,442
119,2022,영등포구,551,899
120,2022,용산구,564,480
121,2022,은평구,458,379
122,2022,종로구,520,873
123,2022,중구,547,1166
124,2022,중랑구,380,377
