,자치구별,계약연도,1m^2 전용면적당 매매금액(만원),1m^2 전용면적당 전월세금액(만원),CoffeeShop,ConvenienceStore,학교수
0,강남구,2018,1702.0,654.0,1679,558,101
1,강동구,2018,858.0,472.0,416,220,73
2,강북구,2018,563.0,336.0,211,90,41
3,강서구,2018,728.0,406.0,748,209,104
4,관악구,2018,642.0,369.0,479,250,72
5,광진구,2018,943.0,538.0,374,137,52
6,구로구,2018,595.0,360.0,407,156,65
7,금천구,2018,516.0,335.0,324,133,39
8,노원구,2018,601.0,297.0,433,139,118
9,도봉구,2018,504.0,276.0,229,113,56
10,동대문구,2018,693.0,408.0,395,154,58
11,동작구,2018,880.0,502.0,416,118,51
12,마포구,2018,989.0,512.0,943,219,54
13,서대문구,2018,727.0,436.0,492,124,47
14,서초구,2018,1461.0,645.0,949,298,62
15,성동구,2018,1048.0,542.0,344,108,50
16,성북구,2018,629.0,407.0,433,121,73
17,송파구,2018,1201.0,577.0,445,108,104
18,양천구,2018,811.0,494.0,357,147,79
19,영등포구,2018,845.0,445.0,799,263,52
20,용산구,2018,1200.0,508.0,391,105,44
21,은평구,2018,627.0,369.0,387,135,84
22,종로구,2018,764.0,419.0,877,87,50
23,중구,2018,871.0,482.0,1072,198,42
24,중랑구,2018,541.0,305.0,247,144,57
25,강남구,2019,2051.0,676.0,1794,597,101
26,강동구,2019,1007.0,471.0,471,254,73
27,강북구,2019,665.0,339.0,221,107,41
28,강서구,2019,852.0,442.0,842,260,104
29,관악구,2019,757.0,380.0,527,278,72
30,광진구,2019,1105.0,546.0,443,181,52
31,구로구,2019,707.0,362.0,414,184,67
32,금천구,2019,619.0,346.0,339,162,39
33,노원구,2019,703.0,304.0,475,153,118
34,도봉구,2019,594.0,282.0,249,129,56
35,동대문구,2019,840.0,423.0,408,188,58
36,동작구,2019,1066.0,499.0,439,141,51
37,마포구,2019,1221.0,536.0,851,202,54
38,서대문구,2019,922.0,463.0,525,160,47
39,서초구,2019,1755.0,638.0,974,314,62
40,성동구,2019,1245.0,558.0,383,123,50
41,성북구,2019,771.0,415.0,455,148,73
42,송파구,2019,1440.0,576.0,476,123,106
43,양천구,2019,1038.0,483.0,392,174,79
44,영등포구,2019,1039.0,478.0,844,303,52
45,용산구,2019,1463.0,532.0,422,118,44
46,은평구,2019,729.0,395.0,368,126,85
47,종로구,2019,1015.0,538.0,896,94,50
48,중구,2019,1024.0,453.0,1135,215,42
49,중랑구,2019,660.0,370.0,296,186,57
50,강남구,2020,2117.0,781.0,1834,606,101
51,강동구,2020,1170.0,515.0,517,268,74
52,강북구,2020,771.0,394.0,243,122,41
53,강서구,2020,964.0,453.0,907,279,103
54,관악구,2020,871.0,411.0,559,265,72
55,광진구,2020,1291.0,604.0,503,200,52
56,구로구,2020,769.0,375.0,459,207,68
57,금천구,2020,739.0,412.0,375,173,39
58,노원구,2020,844.0,332.0,484,165,118
59,도봉구,2020,675.0,314.0,273,137,56
60,동대문구,2020,995.0,474.0,424,188,58
61,동작구,2020,1230.0,569.0,432,147,51
62,마포구,2020,1344.0,519.0,755,183,54
63,서대문구,2020,1038.0,499.0,522,191,47
64,서초구,2020,1913.0,760.0,1005,321,62
65,성동구,2020,1471.0,618.0,422,126,50
66,성북구,2020,914.0,462.0,492,165,73
67,송파구,2020,1601.0,647.0,585,160,106
68,양천구,2020,1143.0,527.0,415,186,79
69,영등포구,2020,1180.0,506.0,864,326,52
70,용산구,2020,1594.0,579.0,444,129,44
71,은평구,2020,827.0,439.0,400,148,85
72,종로구,2020,1034.0,479.0,862,84,50
73,중구,2020,1138.0,549.0,1149,213,42
74,중랑구,2020,760.0,391.0,329,196,57
75,강남구,2021,2351.0,824.0,1873,615,101
76,강동구,2021,1437.0,516.0,579,280,76
77,강북구,2021,939.0,393.0,251,132,41
78,강서구,2021,1175.0,470.0,984,282,103
79,관악구,2021,1089.0,460.0,593,285,72
80,광진구,2021,1517.0,667.0,551,220,52
81,구로구,2021,945.0,364.0,474,229,68
82,금천구,2021,914.0,403.0,400,203,39
83,노원구,2021,1116.0,368.0,523,189,118
84,도봉구,2021,899.0,355.0,281,149,56
85,동대문구,2021,1174.0,513.0,427,204,58
86,동작구,2021,1670.0,630.0,453,161,51
87,마포구,2021,1568.0,585.0,906,221,54
88,서대문구,2021,1256.0,533.0,496,201,47
89,서초구,2021,2208.0,796.0,1004,317,62
90,성동구,2021,1806.0,658.0,437,144,50
91,성북구,2021,1144.0,497.0,524,180,73
92,송파구,2021,1983.0,672.0,692,208,106
93,양천구,2021,1353.0,535.0,425,198,79
94,영등포구,2021,1378.0,554.0,916,330,53
95,용산구,2021,1903.0,623.0,449,130,44
96,은평구,2021,1042.0,444.0,408,166,84
97,종로구,2021,1239.0,568.0,850,85,50
98,중구,2021,1285.0,566.0,1148,212,42
99,중랑구,2021,969.0,419.0,367,223,57
100,강남구,2022,2296.0,785.0,1883,627,101
101,강동구,2022,1322.0,540.0,608,286,76
102,강북구,2022,942.0,376.0,239,136,41
103,강서구,2022,1036.0,464.0,1004,308,103
104,관악구,2022,1045.0,442.0,594,298,72
105,광진구,2022,1424.0,642.0,580,233,52
106,구로구,2022,881.0,370.0,488,254,68
107,금천구,2022,1014.0,439.0,423,207,39
108,노원구,2022,1116.0,347.0,546,197,118
109,도봉구,2022,890.0,323.0,275,156,56
110,동대문구,2022,1108.0,504.0,403,221,58
111,동작구,2022,1422.0,587.0,465,172,51
112,마포구,2022,1567.0,563.0,930,233,54
