,계약연도,자치구별,CoffeeShop
29,2018,강남구,1679
42,2018,강동구,416
38,2018,강북구,211
41,2018,강서구,748
46,2018,관악구,479
49,2018,광진구,374
25,2018,구로구,407
44,2018,금천구,324
47,2018,노원구,433
43,2018,도봉구,229
35,2018,동대문구,395
39,2018,동작구,416
33,2018,마포구,943
28,2018,서대문구,492
26,2018,서초구,949
48,2018,성동구,344
34,2018,성북구,433
31,2018,송파구,445
45,2018,양천구,357
27,2018,영등포구,799
36,2018,용산구,391
40,2018,은평구,387
32,2018,종로구,877
30,2018,중구,1072
37,2018,중랑구,247
54,2019,강남구,1794
67,2019,강동구,471
63,2019,강북구,221
66,2019,강서구,842
71,2019,관악구,527
74,2019,광진구,443
50,2019,구로구,414
69,2019,금천구,339
72,2019,노원구,475
68,2019,도봉구,249
60,2019,동대문구,408
64,2019,동작구,439
58,2019,마포구,851
53,2019,서대문구,525
51,2019,서초구,974
73,2019,성동구,383
59,2019,성북구,455
56,2019,송파구,476
70,2019,양천구,392
52,2019,영등포구,844
61,2019,용산구,422
65,2019,은평구,368
57,2019,종로구,896
55,2019,중구,1135
62,2019,중랑구,296
79,2020,강남구,1834
92,2020,강동구,517
88,2020,강북구,243
91,2020,강서구,907
96,2020,관악구,559
99,2020,광진구,503
75,2020,구로구,459
94,2020,금천구,375
97,2020,노원구,484
93,2020,도봉구,273
85,2020,동대문구,424
89,2020,동작구,432
83,2020,마포구,755
78,2020,서대문구,522
76,2020,서초구,1005
98,2020,성동구,422
84,2020,성북구,492
81,2020,송파구,585
95,2020,양천구,415
77,2020,영등포구,864
86,2020,용산구,444
90,2020,은평구,400
82,2020,종로구,862
80,2020,중구,1149
87,2020,중랑구,329
104,2021,강남구,1873
117,2021,강동구,579
113,2021,강북구,251
116,2021,강서구,984
121,2021,관악구,593
124,2021,광진구,551
100,2021,구로구,474
119,2021,금천구,400
122,2021,노원구,523
118,2021,도봉구,281
110,2021,동대문구,427
114,2021,동작구,453
108,2021,마포구,906
103,2021,서대문구,496
101,2021,서초구,1004
123,2021,성동구,437
109,2021,성북구,524
106,2021,송파구,692
120,2021,양천구,425
102,2021,영등포구,916
111,2021,용산구,449
115,2021,은평구,408
107,2021,종로구,850
105,2021,중구,1148
112,2021,중랑구,367
129,2022,강남구,1883
142,2022,강동구,608
138,2022,강북구,239
141,2022,강서구,1004
146,2022,관악구,594
149,2022,광진구,580
125,2022,구로구,488
144,2022,금천구,423
147,2022,노원구,546
143,2022,도봉구,275
135,2022,동대문구,403
139,2022,동작구,465
133,2022,마포구,930
128,2022,서대문구,496
126,2022,서초구,1012
148,2022,성동구,439
134,2022,성북구,559
131,2022,송파구,792
145,2022,양천구,442
127,2022,영등포구,899
136,2022,용산구,480
140,2022,은평구,379
132,2022,종로구,873
130,2022,중구,1166
137,2022,중랑구,377
