,계약연도,자치구별,ConvenienceStore
25,2018,강남구,558
26,2018,강동구,220
27,2018,강북구,90
28,2018,강서구,209
29,2018,관악구,250
30,2018,광진구,137
31,2018,구로구,156
32,2018,금천구,133
33,2018,노원구,139
34,2018,도봉구,113
35,2018,동대문구,154
36,2018,동작구,118
37,2018,마포구,219
38,2018,서대문구,124
39,2018,서초구,298
40,2018,성동구,108
41,2018,성북구,121
42,2018,송파구,108
43,2018,양천구,147
44,2018,영등포구,263
45,2018,용산구,105
46,2018,은평구,135
47,2018,종로구,87
48,2018,중구,198
49,2018,중랑구,144
50,2019,강남구,597
51,2019,강동구,254
52,2019,강북구,107
53,2019,강서구,260
54,2019,관악구,278
55,2019,광진구,181
56,2019,구로구,184
57,2019,금천구,162
58,2019,노원구,153
59,2019,도봉구,129
60,2019,동대문구,188
61,2019,동작구,141
62,2019,마포구,202
63,2019,서대문구,160
64,2019,서초구,314
65,2019,성동구,123
66,2019,성북구,148
67,2019,송파구,123
68,2019,양천구,174
69,2019,영등포구,303
70,2019,용산구,118
71,2019,은평구,126
72,2019,종로구,94
73,2019,중구,215
74,2019,중랑구,186
75,2020,강남구,606
76,2020,강동구,268
77,2020,강북구,122
78,2020,강서구,279
79,2020,관악구,265
80,2020,광진구,200
81,2020,구로구,207
82,2020,금천구,173
83,2020,노원구,165
84,2020,도봉구,137
85,2020,동대문구,188
86,2020,동작구,147
87,2020,마포구,183
88,2020,서대문구,191
89,2020,서초구,321
90,2020,성동구,126
91,2020,성북구,165
92,2020,송파구,160
93,2020,양천구,186
94,2020,영등포구,326
95,2020,용산구,129
96,2020,은평구,148
97,2020,종로구,84
98,2020,중구,213
99,2020,중랑구,196
100,2021,강남구,615
101,2021,강동구,280
102,2021,강북구,132
103,2021,강서구,282
104,2021,관악구,285
105,2021,광진구,220
106,2021,구로구,229
107,2021,금천구,203
108,2021,노원구,189
109,2021,도봉구,149
110,2021,동대문구,204
111,2021,동작구,161
112,2021,마포구,221
113,2021,서대문구,201
114,2021,서초구,317
115,2021,성동구,144
116,2021,성북구,180
117,2021,송파구,208
118,2021,양천구,198
119,2021,영등포구,330
120,2021,용산구,130
121,2021,은평구,166
122,2021,종로구,85
123,2021,중구,212
124,2021,중랑구,223
125,2022,강남구,627
126,2022,강동구,286
127,2022,강북구,136
128,2022,강서구,308
129,2022,관악구,298
130,2022,광진구,233
131,2022,구로구,254
132,2022,금천구,207
133,2022,노원구,197
134,2022,도봉구,156
135,2022,동대문구,221
136,2022,동작구,172
137,2022,마포구,233
138,2022,서대문구,208
139,2022,서초구,323
140,2022,성동구,165
141,2022,성북구,199
142,2022,송파구,243
143,2022,양천구,203
144,2022,영등포구,322
145,2022,용산구,135
146,2022,은평구,169
147,2022,종로구,87
148,2022,중구,217
149,2022,중랑구,233
