,자치구별,계약연도,1m^2 전용면적당 거래금액(만원)
0,강남구,2018,654.0
1,강동구,2018,472.0
2,강북구,2018,336.0
3,강서구,2018,406.0
4,관악구,2018,369.0
5,광진구,2018,538.0
6,구로구,2018,360.0
7,금천구,2018,335.0
8,노원구,2018,297.0
9,도봉구,2018,276.0
10,동대문구,2018,408.0
11,동작구,2018,502.0
12,마포구,2018,512.0
13,서대문구,2018,436.0
14,서초구,2018,645.0
15,성동구,2018,542.0
16,성북구,2018,407.0
17,송파구,2018,577.0
18,양천구,2018,494.0
19,영등포구,2018,445.0
20,용산구,2018,508.0
21,은평구,2018,369.0
22,종로구,2018,419.0
23,중구,2018,482.0
24,중랑구,2018,305.0
0,강남구,2019,676.0
1,강동구,2019,471.0
2,강북구,2019,339.0
3,강서구,2019,442.0
4,관악구,2019,380.0
5,광진구,2019,546.0
6,구로구,2019,362.0
7,금천구,2019,346.0
8,노원구,2019,304.0
9,도봉구,2019,282.0
10,동대문구,2019,423.0
11,동작구,2019,499.0
12,마포구,2019,536.0
13,서대문구,2019,463.0
14,서초구,2019,638.0
15,성동구,2019,558.0
16,성북구,2019,415.0
17,송파구,2019,576.0
18,양천구,2019,483.0
19,영등포구,2019,478.0
20,용산구,2019,532.0
21,은평구,2019,395.0
22,종로구,2019,538.0
23,중구,2019,453.0
24,중랑구,2019,370.0
0,강남구,2020,781.0
1,강동구,2020,515.0
2,강북구,2020,394.0
3,강서구,2020,453.0
4,관악구,2020,411.0
5,광진구,2020,604.0
6,구로구,2020,375.0
7,금천구,2020,412.0
8,노원구,2020,332.0
9,도봉구,2020,314.0
10,동대문구,2020,474.0
11,동작구,2020,569.0
12,마포구,2020,519.0
13,서대문구,2020,499.0
14,서초구,2020,760.0
15,성동구,2020,618.0
16,성북구,2020,462.0
17,송파구,2020,647.0
18,양천구,2020,527.0
19,영등포구,2020,506.0
20,용산구,2020,579.0
21,은평구,2020,439.0
22,종로구,2020,479.0
23,중구,2020,549.0
24,중랑구,2020,391.0
0,강남구,2021,824.0
1,강동구,2021,516.0
2,강북구,2021,393.0
3,강서구,2021,470.0
4,관악구,2021,460.0
5,광진구,2021,667.0
6,구로구,2021,364.0
7,금천구,2021,403.0
8,노원구,2021,368.0
9,도봉구,2021,355.0
10,동대문구,2021,513.0
11,동작구,2021,630.0
12,마포구,2021,585.0
13,서대문구,2021,533.0
14,서초구,2021,796.0
15,성동구,2021,658.0
16,성북구,2021,497.0
17,송파구,2021,672.0
18,양천구,2021,535.0
19,영등포구,2021,554.0
20,용산구,2021,623.0
21,은평구,2021,444.0
22,종로구,2021,568.0
23,중구,2021,566.0
24,중랑구,2021,419.0
0,강남구,2022,785.0
1,강동구,2022,540.0
2,강북구,2022,376.0
3,강서구,2022,464.0
4,관악구,2022,442.0
5,광진구,2022,642.0
6,구로구,2022,370.0
7,금천구,2022,439.0
8,노원구,2022,347.0
9,도봉구,2022,323.0
10,동대문구,2022,504.0
11,동작구,2022,587.0
12,마포구,2022,563.0
13,서대문구,2022,508.0
14,서초구,2022,813.0
15,성동구,2022,650.0
16,성북구,2022,470.0
17,송파구,2022,656.0
18,양천구,2022,541.0
19,영등포구,2022,551.0
20,용산구,2022,564.0
21,은평구,2022,458.0
22,종로구,2022,520.0
23,중구,2022,547.0
24,중랑구,2022,380.0
