,자치구별,계약연도,1m^2 전용면적당 거래금액(만원)
0,강남구,2018,1702.0
1,강동구,2018,858.0
2,강북구,2018,563.0
3,강서구,2018,728.0
4,관악구,2018,642.0
5,광진구,2018,943.0
6,구로구,2018,595.0
7,금천구,2018,516.0
8,노원구,2018,601.0
9,도봉구,2018,504.0
10,동대문구,2018,693.0
11,동작구,2018,880.0
12,마포구,2018,989.0
13,서대문구,2018,727.0
14,서초구,2018,1461.0
15,성동구,2018,1048.0
16,성북구,2018,629.0
17,송파구,2018,1201.0
18,양천구,2018,811.0
19,영등포구,2018,845.0
20,용산구,2018,1200.0
21,은평구,2018,627.0
22,종로구,2018,764.0
23,중구,2018,871.0
24,중랑구,2018,541.0
0,강남구,2019,2051.0
1,강동구,2019,1007.0
2,강북구,2019,665.0
3,강서구,2019,852.0
4,관악구,2019,757.0
5,광진구,2019,1105.0
6,구로구,2019,707.0
7,금천구,2019,619.0
8,노원구,2019,703.0
9,도봉구,2019,594.0
10,동대문구,2019,840.0
11,동작구,2019,1066.0
12,마포구,2019,1221.0
13,서대문구,2019,922.0
14,서초구,2019,1755.0
15,성동구,2019,1245.0
16,성북구,2019,771.0
17,송파구,2019,1440.0
18,양천구,2019,1038.0
19,영등포구,2019,1039.0
20,용산구,2019,1463.0
21,은평구,2019,729.0
22,종로구,2019,1015.0
23,중구,2019,1024.0
24,중랑구,2019,660.0
0,강남구,2020,2117.0
1,강동구,2020,1170.0
2,강북구,2020,771.0
3,강서구,2020,964.0
4,관악구,2020,871.0
5,광진구,2020,1291.0
6,구로구,2020,769.0
7,금천구,2020,739.0
8,노원구,2020,844.0
9,도봉구,2020,675.0
10,동대문구,2020,995.0
11,동작구,2020,1230.0
12,마포구,2020,1344.0
13,서대문구,2020,1038.0
14,서초구,2020,1913.0
15,성동구,2020,1471.0
16,성북구,2020,914.0
17,송파구,2020,1601.0
18,양천구,2020,1143.0
19,영등포구,2020,1180.0
20,용산구,2020,1594.0
21,은평구,2020,827.0
22,종로구,2020,1034.0
23,중구,2020,1138.0
24,중랑구,2020,760.0
0,강남구,2021,2351.0
1,강동구,2021,1437.0
2,강북구,2021,939.0
3,강서구,2021,1175.0
4,관악구,2021,1089.0
5,광진구,2021,1517.0
6,구로구,2021,945.0
7,금천구,2021,914.0
8,노원구,2021,1116.0
9,도봉구,2021,899.0
10,동대문구,2021,1174.0
11,동작구,2021,1670.0
12,마포구,2021,1568.0
13,서대문구,2021,1256.0
14,서초구,2021,2208.0
15,성동구,2021,1806.0
16,성북구,2021,1144.0
17,송파구,2021,1983.0
18,양천구,2021,1353.0
19,영등포구,2021,1378.0
20,용산구,2021,1903.0
21,은평구,2021,1042.0
22,종로구,2021,1239.0
23,중구,2021,1285.0
24,중랑구,2021,969.0
0,강남구,2022,2296.0
1,강동구,2022,1322.0
2,강북구,2022,942.0
3,강서구,2022,1036.0
4,관악구,2022,1045.0
5,광진구,2022,1424.0
6,구로구,2022,881.0
7,금천구,2022,1014.0
8,노원구,2022,1116.0
9,도봉구,2022,890.0
10,동대문구,2022,1108.0
11,동작구,2022,1422.0
12,마포구,2022,1567.0
13,서대문구,2022,1219.0
14,서초구,2022,2328.0
15,성동구,2022,1841.0
16,성북구,2022,1129.0
17,송파구,2022,1965.0
18,양천구,2022,1310.0
19,영등포구,2022,1220.0
20,용산구,2022,1986.0
21,은평구,2022,1056.0
22,종로구,2022,1175.0
23,중구,2022,1217.0
24,중랑구,2022,994.0
