분기별,물가지수
2006/Q1,75.48
2006/Q2,75.951
2006/Q3,76.571
2006/Q4,76.323
2007/Q1,76.992
2007/Q2,77.811
2007/Q3,78.332
2007/Q4,78.902
2008/Q1,79.919
2008/Q2,81.581
2008/Q3,82.673
2008/Q4,82.449
2009/Q1,83.045
2009/Q2,83.837
2009/Q3,84.31
2009/Q4,84.434
2010/Q1,85.523
2010/Q2,86.07
2010/Q3,86.733
2010/Q4,87.165
2011/Q1,88.806
2011/Q2,89.497
2011/Q3,90.476
2011/Q4,90.62
2012/Q1,91.481
2012/Q2,91.671
2012/Q3,91.933
2012/Q4,92.175
2013/Q1,92.906
2013/Q2,92.785
2013/Q3,93.189
2013/Q4,93.16
2014/Q1,93.954
2014/Q2,94.277
2014/Q3,94.476
2014/Q4,94.075
2015/Q1,94.609
2015/Q2,94.808
2015/Q3,95.086
2015/Q4,94.941
2016/Q1,95.422
2016/Q2,95.605
2016/Q3,95.785
2016/Q4,96.319
2017/Q1,97.521
2017/Q2,97.442
2017/Q3,97.91
2017/Q4,97.707
2018/Q1,98.571
2018/Q2,98.896
2018/Q3,99.424
2018/Q4,99.453
2019/Q1,99.105
2019/Q2,99.541
2019/Q3,99.469
2019/Q4,99.747
2020/Q1,100.06
2020/Q2,99.55
2020/Q3,100.19
2020/Q4,100.2
2021/Q1,101.49
2021/Q2,102.03
2021/Q3,102.73
2021/Q4,103.75
2022/Q1,105.35
2022/Q2,107.54
2022/Q3,108.76
2022/Q4,109.2
