,key_0,1m^2 전용면적당 거래금액(만원),물가지수,GDP(십억원),기준금리(연%)
0,2006/Q1,497.0,75.48,246614.4,4.0
1,2006/Q2,424.0,75.951,248152.7,4.25
2,2006/Q3,407.0,76.571,253912.6,4.5
3,2006/Q4,462.0,76.323,256921.7,4.5
4,2007/Q1,393.0,76.992,263441.3,4.5
5,2007/Q2,445.0,77.811,269569.3,4.5
6,2007/Q3,448.0,78.332,274329.9,5.0
7,2007/Q4,478.0,78.902,282319.7,5.0
8,2008/Q1,491.0,79.919,283234.3,5.0
9,2008/Q2,542.0,81.581,290039.1,5.0
10,2008/Q3,554.0,82.673,293765.3,5.25
11,2008/Q4,589.0,82.449,287177.8,3.0
12,2009/Q1,633.0,83.045,289784.1,2.0
13,2009/Q2,638.0,83.837,298340.2,2.0
14,2009/Q3,634.0,84.31,307751.3,2.0
15,2009/Q4,617.0,84.434,309472.2,2.0
16,2010/Q1,631.0,85.523,320326.5,2.0
17,2010/Q2,578.0,86.07,329462.5,2.0
18,2010/Q3,597.0,86.733,333669.4,2.25
19,2010/Q4,633.0,87.165,339152.8,2.5
20,2011/Q1,587.0,88.806,340957.3,3.0
21,2011/Q2,575.0,89.497,343885.9,3.25
22,2011/Q3,584.0,90.476,348648.5,3.25
23,2011/Q4,595.0,90.62,355445.5,3.25
24,2012/Q1,569.0,91.481,357741.4,3.25
25,2012/Q2,579.0,91.671,358200.5,3.25
26,2012/Q3,561.0,91.933,359965.8,3.0
27,2012/Q4,578.0,92.175,364203.7,2.75
28,2013/Q1,581.0,92.906,368435.7,2.75
29,2013/Q2,564.0,92.785,373118.7,2.5
30,2013/Q3,537.0,93.189,377743.4,2.5
31,2013/Q4,577.0,93.16,381521.3,2.5
32,2014/Q1,581.0,93.954,387113.9,2.5
33,2014/Q2,567.0,94.277,388610.5,2.5
34,2014/Q3,587.0,94.476,390535.4,2.25
35,2014/Q4,587.0,94.075,396669.2,2.0
36,2015/Q1,593.0,94.609,408684.6,1.75
37,2015/Q2,605.0,94.808,411777.9,1.5
38,2015/Q3,611.0,95.086,417096.4,1.5
39,2015/Q4,651.0,94.941,420461.5,1.5
40,2016/Q1,630.0,95.422,429164.5,1.5
41,2016/Q2,690.0,95.605,435019.8,1.25
42,2016/Q3,684.0,95.785,434707.3,1.25
43,2016/Q4,680.0,96.319,441888.0,1.25
44,2017/Q1,708.0,97.521,450590.5,1.25
45,2017/Q2,754.0,97.442,454357.1,1.25
46,2017/Q3,766.0,97.91,467730.3,1.25
47,2017/Q4,850.0,97.707,463020.3,1.5
48,2018/Q1,796.0,98.571,468070.4,1.5
49,2018/Q2,755.0,98.896,472615.9,1.5
50,2018/Q3,879.0,99.424,479430.9,1.5
51,2018/Q4,824.0,99.453,478075.4,1.75
52,2019/Q1,866.0,99.105,474926.7,1.75
53,2019/Q2,1063.0,99.541,480818.3,1.75
54,2019/Q3,1062.0,99.469,482306.9,1.5
55,2019/Q4,1047.0,99.747,486446.1,1.25
56,2020/Q1,921.0,100.06,480212.7,0.75
57,2020/Q2,1080.0,99.55,475812.9,0.5
58,2020/Q3,1162.0,100.19,489772.8,0.5
59,2020/Q4,1287.0,100.2,494927.7,0.5
60,2021/Q1,1315.0,101.49,504874.5,0.5
61,2021/Q2,1371.0,102.03,514696.4,0.5
62,2021/Q3,1427.0,102.73,521818.2,0.75
63,2021/Q4,1443.0,103.75,530268.9,1.0
64,2022/Q1,1382.0,105.35,532765.7,1.25
65,2022/Q2,1452.0,107.54,540784.3,1.75
66,2022/Q3,1269.0,108.76,538803.8,2.5
67,2022/Q4,1249.0,109.2,539324.4,3.25
