,key_0,1m^2 전용면적당 거래금액(만원),물가지수,GDP(십억원),기준금리(연%),실업율,인구이동률
0,2006/Q1,497.0,75.48,246614.4,4.0,5.2,0.2818274625038138
1,2006/Q2,424.0,75.951,248152.7,4.25,4.3,0.2719685504021424
2,2006/Q3,407.0,76.571,253912.6,4.5,4.3,0.2397911201431135
3,2006/Q4,462.0,76.323,256921.7,4.5,4.5,0.3083061359588915
4,2007/Q1,393.0,76.992,263441.3,4.5,4.5,0.2951173059593889
5,2007/Q2,445.0,77.811,269569.3,4.5,3.9,0.2532111279888762
6,2007/Q3,448.0,78.332,274329.9,5.0,3.9,0.2201129684341855
7,2007/Q4,478.0,78.902,282319.7,5.0,4.0,0.2718165160107818
8,2008/Q1,491.0,79.919,283234.3,5.0,4.3,0.2660403918232353
9,2008/Q2,542.0,81.581,290039.1,5.0,3.8,0.2714223726205973
10,2008/Q3,554.0,82.673,293765.3,5.25,3.8,0.2371210002435594
11,2008/Q4,589.0,82.449,287177.8,3.0,3.8,0.2281368774895901
12,2009/Q1,633.0,83.045,289784.1,2.0,4.7,0.2398004693125009
13,2009/Q2,638.0,83.837,298340.2,2.0,4.8,0.2306843411892165
14,2009/Q3,634.0,84.31,307751.3,2.0,4.5,0.2273690321765703
15,2009/Q4,617.0,84.434,309472.2,2.0,4.1,0.2248942103549965
16,2010/Q1,631.0,85.523,320326.5,2.0,5.7,0.2282215179699923
17,2010/Q2,578.0,86.07,329462.5,2.0,4.5,0.2146356891430552
18,2010/Q3,597.0,86.733,333669.4,2.25,4.4,0.1904570377074277
19,2010/Q4,633.0,87.165,339152.8,2.5,4.3,0.2144365972954283
20,2011/Q1,587.0,88.806,340957.3,3.0,5.1,0.2304214511137315
21,2011/Q2,575.0,89.497,343885.9,3.25,4.6,0.2118935248256992
22,2011/Q3,584.0,90.476,348648.5,3.25,4.3,0.2008761787007674
23,2011/Q4,595.0,90.62,355445.5,3.25,4.1,0.2050712753818971
24,2012/Q1,569.0,91.481,357741.4,3.25,5.0,0.2112820340978992
25,2012/Q2,579.0,91.671,358200.5,3.25,4.2,0.1885288788574355
26,2012/Q3,561.0,91.933,359965.8,3.0,4.1,0.1691795297716355
27,2012/Q4,578.0,92.175,364203.7,2.75,3.5,0.200332697458335
28,2013/Q1,581.0,92.906,368435.7,2.75,4.5,0.1990610065965291
29,2013/Q2,564.0,92.785,373118.7,2.5,4.1,0.1886288357911615
30,2013/Q3,537.0,93.189,377743.4,2.5,3.6,0.1682156758244346
31,2013/Q4,577.0,93.16,381521.3,2.5,3.5,0.1950429315951722
32,2014/Q1,581.0,93.954,387113.9,2.5,4.5,0.2008802205725272
33,2014/Q2,567.0,94.277,388610.5,2.5,4.7,0.191046346171453
34,2014/Q3,587.0,94.476,390535.4,2.25,4.4,0.1815159878841517
35,2014/Q4,587.0,94.075,396669.2,2.0,4.1,0.1978696172978911
36,2015/Q1,593.0,94.609,408684.6,1.75,4.6,0.2003850644447138
37,2015/Q2,605.0,94.808,411777.9,1.5,4.6,0.202430913223744
38,2015/Q3,611.0,95.086,417096.4,1.5,4.0,0.1863092334320139
39,2015/Q4,651.0,94.941,420461.5,1.5,3.7,0.2023208879919273
40,2016/Q1,630.0,95.422,429164.5,1.5,4.7,0.1962717421838882
41,2016/Q2,690.0,95.605,435019.8,1.25,4.2,0.1802026283110162
42,2016/Q3,684.0,95.785,434707.3,1.25,4.1,0.1811659111483758
43,2016/Q4,680.0,96.319,441888.0,1.25,3.9,0.1993007368540891
44,2017/Q1,708.0,97.521,450590.5,1.25,4.9,0.2007754825617132
45,2017/Q2,754.0,97.442,454357.1,1.25,4.5,0.1714682321338779
46,2017/Q3,766.0,97.91,467730.3,1.25,4.5,0.1808365335081166
47,2017/Q4,850.0,97.707,463020.3,1.5,4.2,0.1683180563789992
48,2018/Q1,796.0,98.571,468070.4,1.5,5.1,0.1922683816665994
49,2018/Q2,755.0,98.896,472615.9,1.5,5.0,0.1682995346009773
50,2018/Q3,879.0,99.424,479430.9,1.5,4.9,0.15727832099868
51,2018/Q4,824.0,99.453,478075.4,1.75,4.1,0.1833114908810497
52,2019/Q1,866.0,99.105,474926.7,1.75,5.3,0.1896129614417212
53,2019/Q2,1063.0,99.541,480818.3,1.75,4.8,0.1522428687461078
54,2019/Q3,1062.0,99.469,482306.9,1.5,4.0,0.1552015491247468
55,2019/Q4,1047.0,99.747,486446.1,1.25,3.5,0.1736540187933048
56,2020/Q1,921.0,100.06,480212.7,0.75,4.5,0.2101291683888062
57,2020/Q2,1080.0,99.55,475812.9,0.5,5.3,0.1693602966441026
58,2020/Q3,1162.0,100.19,489772.8,0.5,4.0,0.1717267766934649
59,2020/Q4,1287.0,100.2,494927.7,0.5,4.4,0.1778778140288468
60,2021/Q1,1315.0,101.49,504874.5,0.5,6.1,0.190240774585309
61,2021/Q2,1371.0,102.03,514696.4,0.5,5.2,0.1573940122552901
62,2021/Q3,1427.0,102.73,521818.2,0.75,4.0,0.1625074248639914
63,2021/Q4,1443.0,103.75,530268.9,1.0,4.0,0.1547046807653038
64,2022/Q1,1382.0,105.35,532765.7,1.25,4.4,0.1643871663065167
65,2022/Q2,1452.0,107.54,540784.3,1.75,3.6,0.1329731533843001
66,2022/Q3,1269.0,108.76,538803.8,2.5,2.8,0.1278698044394705
67,2022/Q4,1249.0,109.2,539324.4,3.25,2.9,0.1231800581877589
