,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,77.75,202006,149500,1922,2020,6
1,강남구,54.98,202002,144000,2619,2020,2
2,강남구,79.97,202006,162750,2035,2020,6
3,강남구,79.97,202006,160000,2000,2020,6
4,강남구,79.97,202006,150000,1875,2020,6
5,강남구,67.28,202006,165000,2452,2020,6
6,강남구,67.28,202006,120000,1783,2020,6
7,강남구,67.28,202006,165000,2452,2020,6
8,강남구,67.28,202006,165000,2452,2020,6
9,강남구,79.97,202007,169800,2123,2020,7
10,강남구,79.97,202008,178000,2225,2020,8
11,강남구,54.98,202012,146000,2655,2020,12
12,강남구,79.97,202012,155400,1943,2020,12
13,강남구,59.92,202010,188200,3140,2020,10
14,강남구,59.92,202010,188200,3140,2020,10
15,강남구,59.92,202010,193000,3220,2020,10
16,강남구,59.92,202011,195000,3254,2020,11
17,강남구,59.92,202011,195000,3254,2020,11
18,강남구,59.92,202012,193000,3220,2020,12
19,강남구,133.46,202001,220000,1648,2020,1
20,강남구,161.0,202002,270000,1677,2020,2
21,강남구,161.0,202006,268500,1667,2020,6
22,강남구,161.0,202006,270000,1677,2020,6
23,강남구,104.43,202007,195500,1872,2020,7
24,강남구,161.0,202007,280000,1739,2020,7
25,강남구,104.43,202009,210000,2010,2020,9
26,강남구,133.46,202011,260000,1948,2020,11
27,강남구,104.43,202011,218000,2087,2020,11
28,강남구,133.46,202012,265000,1985,2020,12
29,강남구,104.43,202012,220000,2106,2020,12
30,강남구,134.3,202001,203000,1511,2020,1
31,강남구,134.3,202002,206000,1533,2020,2
32,강남구,153.8,202008,252000,1638,2020,8
33,강남구,153.8,202010,220000,1430,2020,10
34,강남구,168.42,202011,240000,1425,2020,11
35,강남구,168.42,202011,240000,1425,2020,11
36,강남구,42.55,202002,192000,4512,2020,2
37,강남구,58.08,202002,240000,4132,2020,2
38,강남구,50.64,202002,213000,4206,2020,2
39,강남구,58.08,202002,242000,4166,2020,2
40,강남구,35.87,202002,163000,4544,2020,2
41,강남구,58.08,202002,315000,5423,2020,2
42,강남구,42.55,202002,202000,4747,2020,2
43,강남구,35.64,202002,170000,4769,2020,2
44,강남구,50.64,202002,260000,5134,2020,2
45,강남구,50.38,202002,218000,4327,2020,2
46,강남구,58.08,202003,226000,3891,2020,3
47,강남구,56.57,202003,309500,5471,2020,3
48,강남구,41.98,202003,203000,4835,2020,3
49,강남구,56.57,202003,215000,3800,2020,3
50,강남구,50.38,202003,264000,5240,2020,3
51,강남구,49.56,202003,235000,4741,2020,3
52,강남구,50.64,202003,194000,3830,2020,3
53,강남구,50.64,202003,190000,3751,2020,3
54,강남구,49.56,202004,195000,3934,2020,4
55,강남구,41.98,202004,180000,4287,2020,4
56,강남구,41.98,202004,180000,4287,2020,4
57,강남구,42.55,202004,184000,4324,2020,4
58,강남구,61.19,202002,177000,2892,2020,2
59,강남구,83.17,202002,198000,2380,2020,2
60,강남구,61.19,202002,170000,2778,2020,2
61,강남구,74.25,202004,175000,2356,2020,4
62,강남구,83.17,202005,186000,2236,2020,5
63,강남구,53.98,202005,157000,2908,2020,5
64,강남구,74.25,202005,177000,2383,2020,5
65,강남구,74.25,202006,189000,2545,2020,6
66,강남구,61.19,202006,167500,2737,2020,6
67,강남구,74.25,202006,185000,2491,2020,6
68,강남구,61.19,202007,180000,2941,2020,7
69,강남구,61.19,202007,172000,2810,2020,7
70,강남구,74.25,202007,200000,2693,2020,7
71,강남구,74.25,202007,190000,2558,2020,7
72,강남구,83.17,202007,220000,2645,2020,7
73,강남구,83.17,202008,215000,2585,2020,8
74,강남구,61.19,202008,190000,3105,2020,8
75,강남구,74.25,202008,205000,2760,2020,8
76,강남구,61.19,202008,189000,3088,2020,8
77,강남구,74.25,202008,210000,2828,2020,8
78,강남구,83.17,202008,215000,2585,2020,8
79,강남구,83.17,202008,220000,2645,2020,8
80,강남구,83.17,202008,222000,2669,2020,8
81,강남구,74.25,202008,209500,2821,2020,8
82,강남구,61.19,202008,193000,3154,2020,8
83,강남구,83.17,202009,230000,2765,2020,9
84,강남구,53.98,202009,184000,3408,2020,9
85,강남구,53.98,202009,184000,3408,2020,9
86,강남구,83.17,202009,230000,2765,2020,9
87,강남구,74.25,202009,215000,2895,2020,9
88,강남구,53.98,202010,177000,3278,2020,10
89,강남구,61.19,202010,187000,3056,2020,10
90,강남구,53.98,202011,180000,3334,2020,11
91,강남구,53.98,202011,180000,3334,2020,11
92,강남구,53.98,202011,190000,3519,2020,11
93,강남구,61.19,202012,210000,3431,2020,12
94,강남구,61.19,202012,205000,3350,2020,12
95,강남구,61.19,202012,205000,3350,2020,12
96,강남구,61.19,202012,207000,3382,2020,12
97,강남구,53.98,202012,200000,3705,2020,12
98,강남구,60.13,202001,180000,2993,2020,1
99,강남구,60.13,202002,167700,2788,2020,2
100,강남구,53.06,202002,157000,2958,2020,2
101,강남구,53.06,202003,158500,2987,2020,3
102,강남구,83.21,202003,200000,2403,2020,3
103,강남구,73.02,202003,167500,2293,2020,3
104,강남구,73.02,202005,175000,2396,2020,5
105,강남구,53.06,202005,150000,2826,2020,5
106,강남구,53.06,202005,146000,2751,2020,5
107,강남구,60.13,202006,165000,2744,2020,6
108,강남구,60.13,202006,171500,2852,2020,6
109,강남구,73.02,202006,180000,2465,2020,6
110,강남구,83.21,202006,205000,2463,2020,6
111,강남구,83.21,202006,205000,2463,2020,6
112,강남구,73.02,202006,193000,2643,2020,6
113,강남구,83.21,202006,210000,2523,2020,6
114,강남구,53.06,202007,77500,1460,2020,7
