,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
0,강남구,2019,6,77.75,134500,1729
1,강남구,2019,11,77.75,160000,2057
2,강남구,2019,5,67.28,124000,1843
3,강남구,2019,6,79.97,141000,1763
4,강남구,2019,8,79.97,155000,1938
5,강남구,2019,9,79.97,157000,1963
6,강남구,2019,9,79.97,151500,1894
7,강남구,2019,1,133.46,197000,1476
8,강남구,2019,6,104.43,157000,1503
9,강남구,2019,8,104.43,174000,1666
10,강남구,2019,9,104.43,174000,1666
11,강남구,2019,10,133.46,230000,1723
12,강남구,2019,10,161.0,240000,1490
13,강남구,2019,11,104.43,182000,1742
14,강남구,2019,11,161.0,265000,1645
15,강남구,2019,11,104.43,187000,1790
16,강남구,2019,6,168.42,211000,1252
17,강남구,2019,7,134.3,174000,1295
18,강남구,2019,9,170.32,213000,1250
19,강남구,2019,10,168.42,202500,1202
20,강남구,2019,10,134.3,194000,1444
21,강남구,2019,11,170.32,202500,1188
22,강남구,2019,11,134.3,195000,1451
23,강남구,2019,11,170.32,215000,1262
24,강남구,2019,12,168.42,202000,1199
25,강남구,2019,12,170.32,218000,1279
26,강남구,2019,2,50.64,162000,3199
27,강남구,2019,3,58.08,185000,3185
28,강남구,2019,3,50.38,163000,3235
29,강남구,2019,3,42.55,145000,3407
30,강남구,2019,3,35.87,140000,3902
31,강남구,2019,3,50.38,180000,3572
32,강남구,2019,3,50.64,168000,3317
33,강남구,2019,3,49.56,190000,3833
34,강남구,2019,4,42.55,150000,3525
35,강남구,2019,4,42.55,149000,3501
36,강남구,2019,4,50.38,170000,3374
37,강남구,2019,4,50.64,165000,3258
38,강남구,2019,4,35.64,143000,4012
39,강남구,2019,4,50.64,168000,3317
40,강남구,2019,4,41.98,158000,3763
41,강남구,2019,4,41.98,165000,3930
42,강남구,2019,4,41.98,150000,3573
43,강남구,2019,4,50.64,177000,3495
44,강남구,2019,4,42.55,152000,3572
45,강남구,2019,4,50.38,175000,3473
46,강남구,2019,4,35.87,142000,3958
47,강남구,2019,4,58.08,195000,3357
48,강남구,2019,4,42.55,140000,3290
49,강남구,2019,4,50.64,198000,3909
50,강남구,2019,5,35.64,135000,3787
51,강남구,2019,5,50.38,199000,3949
52,강남구,2019,5,58.08,192000,3305
53,강남구,2019,5,35.87,137500,3833
54,강남구,2019,5,41.98,151500,3608
55,강남구,2019,5,42.55,150000,3525
56,강남구,2019,5,50.64,214000,4225
57,강남구,2019,5,42.55,151000,3548
58,강남구,2019,5,41.98,151000,3596
59,강남구,2019,5,58.08,193000,3323
60,강남구,2019,5,58.08,200000,3443
61,강남구,2019,5,35.64,140000,3928
62,강남구,2019,5,35.44,127000,3583
63,강남구,2019,5,56.57,245000,4330
64,강남구,2019,5,49.56,204000,4116
65,강남구,2019,5,42.55,186000,4371
66,강남구,2019,5,35.87,140500,3916
67,강남구,2019,5,42.55,165000,3877
68,강남구,2019,5,41.98,178000,4240
69,강남구,2019,5,50.64,200000,3949
70,강남구,2019,5,50.38,179000,3552
71,강남구,2019,5,49.56,210000,4237
72,강남구,2019,5,58.08,240000,4132
73,강남구,2019,5,42.55,209000,4911
74,강남구,2019,5,41.98,165000,3930
75,강남구,2019,5,61.57,228000,3703
76,강남구,2019,5,35.64,141000,3956
77,강남구,2019,5,42.55,164000,3854
78,강남구,2019,5,35.64,141000,3956
79,강남구,2019,5,50.64,178500,3524
80,강남구,2019,5,35.64,144000,4040
81,강남구,2019,5,41.98,169000,4025
82,강남구,2019,5,61.57,250000,4060
83,강남구,2019,5,50.38,179000,3552
84,강남구,2019,6,50.38,212000,4208
85,강남구,2019,6,49.56,209000,4217
86,강남구,2019,6,42.55,220000,5170
87,강남구,2019,6,45.26,170000,3756
88,강남구,2019,6,42.55,155000,3642
89,강남구,2019,6,42.55,170000,3995
90,강남구,2019,6,58.08,187540,3228
91,강남구,2019,6,41.98,153000,3644
92,강남구,2019,6,35.87,145000,4042
93,강남구,2019,6,49.56,205000,4136
94,강남구,2019,6,41.98,168000,4001
95,강남구,2019,6,56.57,196200,3468
96,강남구,2019,6,58.08,196000,3374
97,강남구,2019,6,35.64,150000,4208
98,강남구,2019,6,49.56,205500,4146
99,강남구,2019,6,50.38,209000,4148
100,강남구,2019,6,45.26,178000,3932
101,강남구,2019,6,42.55,193000,4535
102,강남구,2019,6,42.55,139000,3266
103,강남구,2019,6,35.87,199000,5547
104,강남구,2019,7,58.08,220000,3787
105,강남구,2019,7,50.38,212000,4208
106,강남구,2019,7,58.08,230000,3960
107,강남구,2019,7,42.55,219500,5158
108,강남구,2019,7,49.56,220000,4439
109,강남구,2019,7,49.56,217000,4378
110,강남구,2019,7,50.38,194000,3850
111,강남구,2019,7,58.08,202000,3477
112,강남구,2019,7,35.64,187500,5260
113,강남구,2019,7,58.08,228000,3925
114,강남구,2019,7,41.98,165000,3930
115,강남구,2019,7,41.98,177000,4216
116,강남구,2019,7,50.64,220000,4344
117,강남구,2019,7,45.26,179000,3954
118,강남구,2019,7,50.64,193000,3811
119,강남구,2019,7,41.98,179000,4263
120,강남구,2019,7,58.08,205000,3529
121,강남구,2019,7,49.56,225000,4539
122,강남구,2019,7,41.98,179000,4263
123,강남구,2019,7,42.55,180000,4230
124,강남구,2019,8,58.08,236000,4063
125,강남구,2019,8,50.64,193000,3811
126,강남구,2019,8,50.64,194000,3830
127,강남구,2019,8,41.98,180000,4287
128,강남구,2019,8,49.56,225000,4539
129,강남구,2019,8,58.08,273500,4709
