자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2020.0,7.0,88.0,183946.0,2117.0
강동구,2020.0,6.0,74.0,83823.0,1170.0
강북구,2020.0,6.0,75.0,55942.0,771.0
강서구,2020.0,7.0,72.0,67700.0,964.0
관악구,2020.0,6.0,74.0,61852.0,871.0
광진구,2020.0,7.0,84.0,106705.0,1291.0
구로구,2020.0,6.0,71.0,54440.0,769.0
금천구,2020.0,7.0,67.0,47038.0,739.0
노원구,2020.0,6.0,63.0,52201.0,844.0
도봉구,2020.0,6.0,69.0,45698.0,675.0
동대문구,2020.0,6.0,74.0,71189.0,995.0
동작구,2020.0,7.0,82.0,97779.0,1230.0
마포구,2020.0,7.0,77.0,101338.0,1344.0
서대문구,2020.0,6.0,78.0,78548.0,1038.0
서초구,2020.0,7.0,96.0,174956.0,1913.0
성동구,2020.0,7.0,80.0,114341.0,1471.0
성북구,2020.0,6.0,78.0,68692.0,914.0
송파구,2020.0,7.0,85.0,130260.0,1601.0
양천구,2020.0,7.0,79.0,89062.0,1143.0
영등포구,2020.0,6.0,76.0,89836.0,1180.0
용산구,2020.0,7.0,98.0,152261.0,1594.0
은평구,2020.0,6.0,78.0,62445.0,827.0
종로구,2020.0,7.0,77.0,80061.0,1034.0
중구,2020.0,7.0,84.0,92392.0,1138.0
중랑구,2020.0,6.0,69.0,50945.0,760.0
평균,2020.0,,78.0,87538.0,1127.0
