자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,1,2021.0,81.0,70094.0,852.0
강남구,2,2021.0,80.0,67407.0,812.0
강남구,3,2021.0,78.0,66077.0,817.0
강남구,4,2021.0,79.0,61912.0,740.0
강남구,5,2021.0,83.0,71256.0,830.0
강남구,6,2021.0,74.0,61106.0,780.0
강남구,7,2021.0,81.0,70452.0,848.0
강남구,8,2021.0,79.0,63048.0,751.0
강남구,9,2021.0,83.0,73605.0,868.0
강남구,10,2021.0,82.0,73330.0,866.0
강남구,11,2021.0,85.0,75419.0,866.0
강남구,12,2021.0,82.0,70751.0,831.0
강동구,1,2021.0,61.0,33649.0,517.0
강동구,2,2021.0,67.0,38990.0,586.0
강동구,3,2021.0,67.0,29623.0,436.0
강동구,4,2021.0,58.0,27959.0,429.0
강동구,5,2021.0,64.0,34824.0,541.0
강동구,6,2021.0,54.0,26230.0,449.0
강동구,7,2021.0,64.0,39087.0,629.0
강동구,8,2021.0,60.0,28736.0,462.0
강동구,9,2021.0,65.0,36226.0,551.0
강동구,10,2021.0,66.0,35964.0,522.0
강동구,11,2021.0,69.0,42567.0,635.0
강동구,12,2021.0,62.0,33721.0,530.0
강북구,1,2021.0,66.0,29392.0,438.0
강북구,2,2021.0,69.0,28749.0,411.0
강북구,3,2021.0,67.0,29749.0,442.0
강북구,4,2021.0,73.0,31606.0,415.0
강북구,5,2021.0,75.0,32009.0,422.0
강북구,6,2021.0,69.0,29220.0,413.0
강북구,7,2021.0,57.0,20001.0,295.0
강북구,8,2021.0,74.0,33062.0,462.0
강북구,9,2021.0,60.0,22803.0,347.0
강북구,10,2021.0,67.0,28222.0,436.0
강북구,11,2021.0,63.0,23971.0,364.0
강북구,12,2021.0,66.0,26079.0,381.0
강서구,1,2021.0,61.0,31245.0,492.0
강서구,2,2021.0,61.0,29195.0,456.0
강서구,3,2021.0,62.0,33119.0,528.0
강서구,4,2021.0,56.0,21278.0,354.0
강서구,5,2021.0,64.0,34862.0,551.0
강서구,6,2021.0,63.0,31757.0,497.0
강서구,7,2021.0,61.0,32287.0,543.0
강서구,8,2021.0,57.0,25492.0,438.0
강서구,9,2021.0,62.0,32248.0,513.0
강서구,10,2021.0,61.0,26950.0,423.0
강서구,11,2021.0,65.0,32030.0,480.0
강서구,12,2021.0,58.0,29032.0,467.0
관악구,1,2021.0,62.0,28144.0,426.0
관악구,2,2021.0,63.0,29459.0,435.0
관악구,3,2021.0,64.0,29973.0,448.0
관악구,4,2021.0,64.0,29314.0,440.0
관악구,5,2021.0,65.0,31612.0,473.0
관악구,6,2021.0,66.0,34050.0,506.0
관악구,7,2021.0,64.0,32299.0,482.0
관악구,8,2021.0,63.0,30717.0,461.0
관악구,9,2021.0,61.0,27652.0,415.0
관악구,10,2021.0,66.0,33064.0,495.0
관악구,11,2021.0,64.0,31235.0,466.0
관악구,12,2021.0,64.0,31451.0,457.0
광진구,1,2021.0,75.0,47306.0,625.0
광진구,2,2021.0,76.0,46387.0,605.0
광진구,3,2021.0,78.0,50416.0,649.0
광진구,4,2021.0,76.0,51108.0,663.0
