자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2018.0,7.0,84.0,56115.0,654.0
강동구,2018.0,7.0,72.0,34263.0,472.0
강북구,2018.0,6.0,73.0,24805.0,336.0
강서구,2018.0,7.0,69.0,28191.0,406.0
관악구,2018.0,6.0,66.0,25204.0,369.0
광진구,2018.0,7.0,80.0,42873.0,538.0
구로구,2018.0,6.0,66.0,24226.0,360.0
금천구,2018.0,7.0,63.0,20932.0,335.0
노원구,2018.0,6.0,60.0,19037.0,297.0
도봉구,2018.0,6.0,65.0,18400.0,276.0
동대문구,2018.0,7.0,69.0,28184.0,408.0
동작구,2018.0,7.0,77.0,39303.0,502.0
마포구,2018.0,7.0,73.0,38472.0,512.0
서대문구,2018.0,6.0,73.0,31864.0,436.0
서초구,2018.0,7.0,88.0,56975.0,645.0
성동구,2018.0,6.0,76.0,41200.0,542.0
성북구,2018.0,7.0,75.0,30431.0,407.0
송파구,2018.0,7.0,80.0,46010.0,577.0
양천구,2018.0,7.0,77.0,38992.0,494.0
영등포구,2018.0,6.0,74.0,32691.0,445.0
용산구,2018.0,6.0,90.0,45061.0,508.0
은평구,2018.0,7.0,74.0,26725.0,369.0
종로구,2018.0,6.0,74.0,33334.0,419.0
중구,2018.0,6.0,72.0,34518.0,482.0
중랑구,2018.0,6.0,66.0,20808.0,305.0
평균,2018.0,7.0,73.0,33545.0,444.0
