"자치구별(1)",자치구별(2),2018,2019,2020,2021,2022
"자치구별(1)",자치구별(2),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개)
"합계",소계,603,607,607,607,609
"합계",종로구,13,13,13,13,13
"합계",중구,12,12,12,12,12
"합계",용산구,15,15,15,15,15
"합계",성동구,21,21,21,21,21
"합계",광진구,22,22,22,22,22
"합계",동대문구,21,21,21,21,21
"합계",중랑구,23,23,23,23,24
"합계",성북구,29,29,29,29,29
"합계",강북구,14,14,14,14,14
"합계",도봉구,23,23,23,23,23
"합계",노원구,42,42,42,42,42
"합계",은평구,30,31,31,30,30
"합계",서대문구,19,19,19,19,19
"합계",마포구,22,22,22,22,22
"합계",양천구,30,30,30,30,30
"합계",강서구,36,36,35,35,35
"합계",구로구,24,26,26,26,26
"합계",금천구,18,18,18,18,18
"합계",영등포구,23,23,23,23,23
"합계",동작구,21,21,21,21,21
"합계",관악구,22,22,22,22,22
"합계",서초구,24,24,24,24,24
"합계",강남구,33,33,33,33,33
"합계",송파구,39,40,40,40,41
"합계",강동구,27,27,28,29,29
