,자치구별,2018년도병원수,2019년도병원수,2020년도병원수,2021년도병원수
3,종로구,496,494,494,489
4,중구,558,560,572,572
5,용산구,304,307,310,323
6,성동구,432,444,456,460
7,광진구,553,552,552,559
8,동대문구,603,607,586,596
9,중랑구,498,511,531,535
10,성북구,530,528,540,533
11,강북구,450,461,466,467
12,도봉구,364,369,367,366
13,노원구,717,725,734,737
14,은평구,644,662,677,688
15,서대문구,430,435,441,437
16,마포구,715,730,742,762
17,양천구,627,626,638,651
18,강서구,802,836,861,887
19,구로구,556,559,569,583
20,금천구,339,356,354,356
21,영등포구,738,756,779,793
22,동작구,570,576,588,595
23,관악구,681,693,698,710
24,서초구,1201,1226,1251,1306
25,강남구,2594,2643,2693,2790
26,송파구,1129,1165,1194,1214
27,강동구,771,789,823,852
