,자치구별,year,1m^2 전용면적당 거래금액(만원),crime_num
0,강남구,2018,1702.0,1010
1,강동구,2018,858.0,241
2,강북구,2018,563.0,273
3,강서구,2018,728.0,424
4,관악구,2018,642.0,545
5,광진구,2018,943.0,363
6,구로구,2018,595.0,405
7,금천구,2018,516.0,273
8,노원구,2018,601.0,293
9,도봉구,2018,504.0,177
10,동대문구,2018,693.0,243
11,동작구,2018,880.0,416
12,마포구,2018,989.0,735
13,서대문구,2018,727.0,278
14,서초구,2018,1461.0,635
15,성동구,2018,1048.0,204
16,성북구,2018,629.0,303
17,송파구,2018,1201.0,515
18,양천구,2018,811.0,193
19,영등포구,2018,845.0,592
20,용산구,2018,1200.0,417
21,은평구,2018,627.0,312
22,종로구,2018,764.0,364
23,중랑구,2018,541.0,238
24,강남구,2019,2051.0,1280
25,강동구,2019,1007.0,280
26,강북구,2019,665.0,239
27,강서구,2019,852.0,442
28,관악구,2019,757.0,579
29,광진구,2019,1105.0,415
30,구로구,2019,707.0,363
31,금천구,2019,619.0,221
32,노원구,2019,703.0,272
33,도봉구,2019,594.0,136
34,동대문구,2019,840.0,249
35,동작구,2019,1066.0,367
36,마포구,2019,1221.0,673
37,서대문구,2019,922.0,268
38,서초구,2019,1755.0,785
39,성동구,2019,1245.0,205
40,성북구,2019,771.0,259
41,송파구,2019,1440.0,459
42,양천구,2019,1038.0,199
43,영등포구,2019,1039.0,520
44,용산구,2019,1463.0,362
45,은평구,2019,729.0,283
46,종로구,2019,1015.0,370
47,중랑구,2019,660.0,212
48,강남구,2020,2117.0,1048
49,강동구,2020,1170.0,289
50,강북구,2020,771.0,217
51,강서구,2020,964.0,410
52,관악구,2020,871.0,557
53,광진구,2020,1291.0,352
54,구로구,2020,769.0,344
55,금천구,2020,739.0,183
56,노원구,2020,844.0,236
57,도봉구,2020,675.0,131
58,동대문구,2020,995.0,244
59,동작구,2020,1230.0,305
60,마포구,2020,1344.0,577
61,서대문구,2020,1038.0,251
62,서초구,2020,1913.0,578
63,성동구,2020,1471.0,171
64,성북구,2020,914.0,212
65,송파구,2020,1601.0,444
66,양천구,2020,1143.0,189
67,영등포구,2020,1180.0,484
68,용산구,2020,1594.0,319
69,은평구,2020,827.0,251
70,종로구,2020,1034.0,272
71,중랑구,2020,760.0,276
72,강남구,2021,2351.0,946
73,강동구,2021,1437.0,234
74,강북구,2021,939.0,222
75,강서구,2021,1175.0,434
76,관악구,2021,1089.0,528
77,광진구,2021,1517.0,325
78,구로구,2021,945.0,341
79,금천구,2021,914.0,246
80,노원구,2021,1116.0,293
81,도봉구,2021,899.0,131
82,동대문구,2021,1174.0,282
83,동작구,2021,1670.0,304
84,마포구,2021,1568.0,524
85,서대문구,2021,1256.0,292
86,서초구,2021,2208.0,540
87,성동구,2021,1806.0,220
88,성북구,2021,1144.0,222
89,송파구,2021,1983.0,496
90,양천구,2021,1353.0,202
91,영등포구,2021,1378.0,480
92,용산구,2021,1903.0,248
93,은평구,2021,1042.0,293
94,종로구,2021,1239.0,271
95,중랑구,2021,969.0,273
