,정류소ID,ARS-ID,정류소명,X좌표,Y좌표,gu
0,100000001,1001,종로2가사거리,126.9877499,37.56976513,종로구
1,100000002,1002,창경궁.서울대학교병원,126.996566,37.57918302,종로구
2,100000003,1003,명륜3가.성대입구,126.9983401,37.58267117,종로구
3,100000004,1004,종로2가.삼일교,126.9876131,37.56857927,종로구
4,100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243,종로구
5,101000305,1006,서대문역사거리,126.966893,37.566137,종로구
6,100000380,1007,서울역사박물관.경희궁앞,126.97038,37.569135,종로구
7,100000379,1008,서울역사박물관.경희궁앞,126.970609,37.569412,종로구
8,100000384,1009,광화문,126.9752508,37.57013547,종로구
9,100000385,1010,광화문,126.9780855,37.57021681,종로구
10,100000386,1011,종로1가,126.9809105,37.57011848,종로구
11,100000387,1012,종로1가,126.9813906,37.57022903,종로구
12,100000388,1013,종로2가,126.9855427,37.57013868,종로구
13,100000389,1014,종로2가,126.9862475,37.5702572,종로구
14,100000390,1015,종로3가.탑골공원,126.9895647,37.57024498,종로구
15,100000391,1016,종로3가.탑골공원,126.9899878,37.57036054,종로구
16,100000392,1017,종로4가.종묘,126.9947219,37.570507,종로구
17,100000393,1018,종로4가.종묘,126.9952838,37.57062711,종로구
18,100000394,1019,종로5가.광장시장,126.9988498,37.57075679,종로구
19,100000395,1020,종로5가.광장시장,126.9993346,37.57088063,종로구
20,100000396,1021,종로6가.동대문종합시장,127.0034639,37.57096248,종로구
21,100000397,1022,종로6가.동대문종합시장,127.0057137,37.57112723,종로구
22,100000398,1023,동대문역.흥인지문,127.0134512,37.57230232,종로구
23,100000365,1037,동대문(흥인지문),127.0120461,37.57195293,종로구
24,100000366,1041,동묘앞,127.0184514,37.57372552,종로구
25,100000367,1044,동묘앞,127.019672,37.57424345,종로구
26,100000006,1101,경기상고,126.9693635,37.58755022,종로구
27,100000007,1102,신교동,126.9702627,37.58329552,종로구
28,100000008,1103,경기상고,126.9697701,37.58719079,종로구
29,100000009,1104,경복고교,126.9710437,37.58511319,종로구
30,100000010,1105,청운중학교,126.9725135,37.58785196,종로구
31,100000011,1106,자하문고개.윤동주문학관,126.9671262,37.59218662,종로구
32,100000012,1107,자하문고개.윤동주문학관,126.9671907,37.59233532,종로구
33,100000013,1108,청운중학교,126.9724613,37.58812858,종로구
34,100000014,1109,경복고교,126.9711547,37.58496634,종로구
35,100000015,1110,통인시장종로구보건소,126.97105,37.5803257,종로구
36,100000016,1111,통인시장종로구보건소,126.9713851,37.58051321,종로구
37,100000017,1112,효자동,126.970621,37.58309104,종로구
38,100000018,1113,사직단.어린이도서관,126.9679907,37.57513553,종로구
39,100000019,1114,사직동주민센터,126.9713245,37.57618346,종로구
40,100000020,1115,경복궁역,126.972196,37.57686669,종로구
41,100000021,1116,경복궁역,126.9722829,37.57767139,종로구
42,100000022,1117,경복궁,126.9787471,37.57557679,종로구
43,100000023,1118,KT광화문지사,126.9773321,37.57222644,종로구
44,100000025,1120,광화문,126.9763839,37.5698454,종로구
45,100000028,1123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,종로구
46,100000029,1124,광화문.금호아시아나본관앞,126.9731336,37.57028804,종로구
47,100000030,1125,광화문,126.975837,37.570365,종로구
48,100000031,1126,세종문화회관,126.9768571,37.57359001,종로구
49,100000032,1127,서울경찰청.경복궁역,126.9714843,37.57574466,종로구
50,100000033,1128,사직단,126.968189,37.57485535,종로구
51,100000034,1129,광화문광화문빌딩,126.9766885,37.56968761,종로구
52,100000035,1130,덕성여중고,126.982017,37.57590175,종로구
53,100000036,1131,안국역.종로경찰서.서울공예박물관,126.9839958,37.57606956,종로구
54,100000037,1132,국민은행세검정지점,126.960888,37.60466298,종로구
55,100000038,1133,세검정초등학교,126.9612198,37.60250228,종로구
56,100000039,1134,세검정.상명대,126.9587224,37.6007326,종로구
57,100000040,1135,상명대입구.석파랑,126.9585702,37.59941335,종로구
58,100000041,1136,하림각,126.9617068,37.59813307,종로구
59,100000042,1137,자하문터널입구.석파정,126.9636435,37.59559351,종로구
60,100000043,1138,부암동주민센터.무계원,126.9639574,37.59273806,종로구
61,100000044,1139,부암동주민센터.무계원,126.9651419,37.59278617,종로구
62,100000045,1140,자하문터널입구.석파정,126.9639776,37.59555757,종로구
63,100000046,1141,하림각,126.9622153,37.59814765,종로구
64,100000047,1142,상명대입구.세검정교회,126.9592406,37.59961633,종로구
65,100000048,1143,세검정.상명대,126.9589343,37.60055246,종로구
66,100000049,1144,세검정초등학교,126.9614329,37.60226807,종로구
67,100000051,1146,국민은행세검정지점,126.9612088,37.60471919,종로구
68,100000053,1148,승가사입구,126.956306,37.61158441,종로구
69,100000054,1149,구기동현대빌라,126.9564576,37.6100355,종로구
70,100000055,1150,구기터널.삼성출판박물관,126.9562103,37.60860989,종로구
71,100000056,1151,구기터널.삼성출판박물관,126.9564167,37.6083054,종로구
72,100000057,1152,구기동,126.9585298,37.60696445,종로구
73,100000058,1153,구기동,126.9591017,37.6070088,종로구
74,100000059,1154,승가사입구,126.956482,37.61148,종로구
75,100000060,1155,갑을씨티텔앞,126.963535,37.60437097,종로구
76,100000061,1156,평창파출소,126.9660433,37.60532237,종로구
77,100000062,1157,평창동주민센터,126.9695663,37.60660737,종로구
78,100000063,1158,일성아파트,126.9729985,37.60876631,종로구
79,100000064,1159,롯데아파트,126.9764662,37.61042956,종로구
80,100000065,1160,롯데아파트,126.976652,37.610248,종로구
81,100000066,1161,벽산평창힐스아파트,126.972797,37.60819,종로구
82,100000067,1162,예능교회,126.97,37.606517,종로구
83,100000068,1163,서울예술고등학교.평창동주민센터,126.9676276,37.60577876,종로구
84,100000069,1164,화정박물관,126.9648103,37.60450382,종로구
85,100000376,1165,강북삼성병원,126.9686005,37.56814593,종로구
86,100000072,1167,독립문역.서대문형무소역사관,126.9594644,37.57321269,종로구
