,자치구별,2018,2019,2020,2021,2022,2018가격,2019가격,2020가격,2021가격,2022가격
0,강남구,534,548,545,520,823,1702.0,2051.0,2117.0,2351.0,2296.0
1,강동구,349,385,383,365,573,858.0,1007.0,1170.0,1437.0,1322.0
2,강북구,460,448,415,409,454,563.0,665.0,771.0,939.0,942.0
3,강서구,576,603,611,569,801,728.0,852.0,964.0,1175.0,1036.0
4,관악구,485,485,470,467,638,642.0,757.0,871.0,1089.0,1045.0
5,광진구,286,292,288,270,380,943.0,1105.0,1291.0,1517.0,1424.0
6,구로구,478,513,510,497,720,595.0,707.0,769.0,945.0,881.0
7,금천구,342,362,357,342,540,516.0,619.0,739.0,914.0,1014.0
8,노원구,537,544,538,527,736,601.0,703.0,844.0,1116.0,1116.0
9,도봉구,386,391,366,358,448,504.0,594.0,675.0,899.0,890.0
10,동대문구,318,319,311,303,408,693.0,840.0,995.0,1174.0,1108.0
11,동작구,460,447,440,437,545,880.0,1066.0,1230.0,1670.0,1422.0
12,마포구,569,568,570,563,764,989.0,1221.0,1344.0,1568.0,1567.0
13,서대문구,444,446,457,454,542,727.0,922.0,1038.0,1256.0,1219.0
14,서초구,648,649,638,605,962,1461.0,1755.0,1913.0,2208.0,2328.0
15,성동구,439,442,433,445,502,1048.0,1245.0,1471.0,1806.0,1841.0
16,성북구,611,604,599,601,670,629.0,771.0,914.0,1144.0,1129.0
17,송파구,413,429,440,414,716,1201.0,1440.0,1601.0,1983.0,1965.0
18,양천구,363,365,320,317,491,811.0,1038.0,1143.0,1353.0,1310.0
19,영등포구,491,504,494,466,679,845.0,1039.0,1180.0,1378.0,1220.0
20,용산구,349,344,327,328,441,1200.0,1463.0,1594.0,1903.0,1986.0
21,은평구,499,511,501,497,725,627.0,729.0,827.0,1042.0,1056.0
22,종로구,382,375,374,369,472,764.0,1015.0,1034.0,1239.0,1175.0
23,중구,207,211,241,200,309,871.0,1024.0,1138.0,1285.0,1217.0
24,중랑구,379,380,382,380,479,541.0,660.0,760.0,969.0,994.0
