,자치구별,2018,2019,2020,2021,2022,2018가격,2019가격,2020가격,2021가격,2022가격
0,강남구,534,548,545,520,823,654.0,676.0,781.0,824.0,785.0
1,강동구,349,385,383,365,573,472.0,471.0,515.0,516.0,540.0
2,강북구,460,448,415,409,454,336.0,339.0,394.0,393.0,376.0
3,강서구,576,603,611,569,801,406.0,442.0,453.0,470.0,464.0
4,관악구,485,485,470,467,638,369.0,380.0,411.0,460.0,442.0
5,광진구,286,292,288,270,380,538.0,546.0,604.0,667.0,642.0
6,구로구,478,513,510,497,720,360.0,362.0,375.0,364.0,370.0
7,금천구,342,362,357,342,540,335.0,346.0,412.0,403.0,439.0
8,노원구,537,544,538,527,736,297.0,304.0,332.0,368.0,347.0
9,도봉구,386,391,366,358,448,276.0,282.0,314.0,355.0,323.0
10,동대문구,318,319,311,303,408,408.0,423.0,474.0,513.0,504.0
11,동작구,460,447,440,437,545,502.0,499.0,569.0,630.0,587.0
12,마포구,569,568,570,563,764,512.0,536.0,519.0,585.0,563.0
13,서대문구,444,446,457,454,542,436.0,463.0,499.0,533.0,508.0
14,서초구,648,649,638,605,962,645.0,638.0,760.0,796.0,813.0
15,성동구,439,442,433,445,502,542.0,558.0,618.0,658.0,650.0
16,성북구,611,604,599,601,670,407.0,415.0,462.0,497.0,470.0
17,송파구,413,429,440,414,716,577.0,576.0,647.0,672.0,656.0
18,양천구,363,365,320,317,491,494.0,483.0,527.0,535.0,541.0
19,영등포구,491,504,494,466,679,445.0,478.0,506.0,554.0,551.0
20,용산구,349,344,327,328,441,508.0,532.0,579.0,623.0,564.0
21,은평구,499,511,501,497,725,369.0,395.0,439.0,444.0,458.0
22,종로구,382,375,374,369,472,419.0,538.0,479.0,568.0,520.0
23,중구,207,211,241,200,309,482.0,453.0,549.0,566.0,547.0
24,중랑구,379,380,382,380,479,305.0,370.0,391.0,419.0,380.0
