,자치구별,2018,2019,2020,2021,2018가격,2019가격,2020가격,2021가격
0,종로구,364,370,272,271,764.0,1015.0,1034.0,1239.0
1,중구,357,314,283,282,871.0,1024.0,1138.0,1285.0
2,용산구,417,362,319,248,1200.0,1463.0,1594.0,1903.0
3,성동구,204,205,171,220,1048.0,1245.0,1471.0,1806.0
4,광진구,363,415,352,325,943.0,1105.0,1291.0,1517.0
5,동대문구,243,249,244,282,693.0,840.0,995.0,1174.0
6,중랑구,238,212,276,273,541.0,660.0,760.0,969.0
7,성북구,303,259,212,222,629.0,771.0,914.0,1144.0
8,강북구,273,239,217,222,563.0,665.0,771.0,939.0
9,도봉구,177,136,131,131,504.0,594.0,675.0,899.0
10,노원구,293,272,236,293,601.0,703.0,844.0,1116.0
11,은평구,312,283,251,293,627.0,729.0,827.0,1042.0
12,서대문구,278,268,251,292,727.0,922.0,1038.0,1256.0
13,마포구,735,673,577,524,989.0,1221.0,1344.0,1568.0
14,양천구,193,199,189,202,811.0,1038.0,1143.0,1353.0
15,강서구,424,442,410,434,728.0,852.0,964.0,1175.0
16,구로구,405,363,344,341,595.0,707.0,769.0,945.0
17,금천구,273,221,183,246,516.0,619.0,739.0,914.0
18,영등포구,592,520,484,480,845.0,1039.0,1180.0,1378.0
19,동작구,416,367,305,304,880.0,1066.0,1230.0,1670.0
20,관악구,545,579,557,528,642.0,757.0,871.0,1089.0
21,서초구,635,785,578,540,1461.0,1755.0,1913.0,2208.0
22,강남구,1010,1280,1048,946,1702.0,2051.0,2117.0,2351.0
23,송파구,515,459,444,496,1201.0,1440.0,1601.0,1983.0
24,강동구,241,280,289,234,858.0,1007.0,1170.0,1437.0
