,자치구별,2018,2019,2020,2021,2018가격,2019가격,2020가격,2021가격
0,종로구,364,370,272,271,419.0,538.0,479.0,568.0
1,중구,357,314,283,282,482.0,453.0,549.0,566.0
2,용산구,417,362,319,248,508.0,532.0,579.0,623.0
3,성동구,204,205,171,220,542.0,558.0,618.0,658.0
4,광진구,363,415,352,325,538.0,546.0,604.0,667.0
5,동대문구,243,249,244,282,408.0,423.0,474.0,513.0
6,중랑구,238,212,276,273,305.0,370.0,391.0,419.0
7,성북구,303,259,212,222,407.0,415.0,462.0,497.0
8,강북구,273,239,217,222,336.0,339.0,394.0,393.0
9,도봉구,177,136,131,131,276.0,282.0,314.0,355.0
10,노원구,293,272,236,293,297.0,304.0,332.0,368.0
11,은평구,312,283,251,293,369.0,395.0,439.0,444.0
12,서대문구,278,268,251,292,436.0,463.0,499.0,533.0
13,마포구,735,673,577,524,512.0,536.0,519.0,585.0
14,양천구,193,199,189,202,494.0,483.0,527.0,535.0
15,강서구,424,442,410,434,406.0,442.0,453.0,470.0
16,구로구,405,363,344,341,360.0,362.0,375.0,364.0
17,금천구,273,221,183,246,335.0,346.0,412.0,403.0
18,영등포구,592,520,484,480,445.0,478.0,506.0,554.0
19,동작구,416,367,305,304,502.0,499.0,569.0,630.0
20,관악구,545,579,557,528,369.0,380.0,411.0,460.0
21,서초구,635,785,578,540,645.0,638.0,760.0,796.0
22,강남구,1010,1280,1048,946,654.0,676.0,781.0,824.0
23,송파구,515,459,444,496,577.0,576.0,647.0,672.0
24,강동구,241,280,289,234,472.0,471.0,515.0,516.0
