,자치구별,번지,본번,부번,단지명,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202204,220000,2751,2022,4
1,강남구,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202204,220000,2751,2022,4
2,강남구,658-1,658.0,1.0,개포6차우성아파트1동~8동,79.97,202205,216000,2701,2022,5
3,강남구,1282,1282.0,0.0,개포래미안포레스트,102.32,202204,369000,3606,2022,4
4,강남구,1282,1282.0,0.0,개포래미안포레스트,136.06,202205,420000,3086,2022,5
5,강남구,1282,1282.0,0.0,개포래미안포레스트,59.92,202205,203500,3396,2022,5
6,강남구,1282,1282.0,0.0,개포래미안포레스트,59.92,202205,210000,3504,2022,5
7,강남구,1282,1282.0,0.0,개포래미안포레스트,59.92,202206,195000,3254,2022,6
8,강남구,1282,1282.0,0.0,개포래미안포레스트,84.83,202211,240000,2829,2022,11
9,강남구,1282,1282.0,0.0,개포래미안포레스트,84.86,202211,240000,2828,2022,11
10,강남구,12-2,12.0,2.0,개포자이,168.42,202202,246000,1460,2022,2
11,강남구,12-2,12.0,2.0,개포자이,170.32,202207,303000,1779,2022,7
12,강남구,185,185.0,0.0,개포주공6단지,83.21,202201,280000,3364,2022,1
13,강남구,185,185.0,0.0,개포주공6단지,73.02,202203,270000,3697,2022,3
14,강남구,185,185.0,0.0,개포주공6단지,83.21,202212,190000,2283,2022,12
15,강남구,185,185.0,0.0,개포주공7단지,53.46,202203,211500,3956,2022,3
16,강남구,185,185.0,0.0,개포주공7단지,73.26,202203,265000,3617,2022,3
17,강남구,649,649.0,0.0,경남1,123.28,202203,343000,2782,2022,3
18,강남구,649,649.0,0.0,경남2차,186.16,202204,400000,2148,2022,4
19,강남구,1167,1167.0,0.0,그린빌리지,197.91,202202,180000,909,2022,2
20,강남구,138,138.0,0.0,디에이치아너힐즈,131.3226,202202,590000,4492,2022,2
21,강남구,138,138.0,0.0,디에이치아너힐즈,76.1709,202204,305000,4004,2022,4
22,강남구,138,138.0,0.0,디에이치아너힐즈,59.8732,202205,234500,3916,2022,5
23,강남구,138,138.0,0.0,디에이치아너힐즈,59.7479,202205,227000,3799,2022,5
24,강남구,138,138.0,0.0,디에이치아너힐즈,106.9877,202209,430000,4019,2022,9
25,강남구,138,138.0,0.0,디에이치아너힐즈,84.3558,202211,250000,2963,2022,11
26,강남구,138,138.0,0.0,디에이치아너힐즈,76.1709,202212,220000,2888,2022,12
27,강남구,1280,1280.0,0.0,래미안블레스티지,84.943,202201,300000,3531,2022,1
28,강남구,1280,1280.0,0.0,래미안블레스티지,59.888,202204,200000,3339,2022,4
29,강남구,1280,1280.0,0.0,래미안블레스티지,59.967,202205,228500,3810,2022,5
30,강남구,1280,1280.0,0.0,래미안블레스티지,99.991,202206,360000,3600,2022,6
31,강남구,1280,1280.0,0.0,래미안블레스티지,59.967,202206,214000,3568,2022,6
32,강남구,1280,1280.0,0.0,래미안블레스티지,99.991,202207,373000,3730,2022,7
33,강남구,1280,1280.0,0.0,래미안블레스티지,59.888,202207,210000,3506,2022,7
34,강남구,1280,1280.0,0.0,래미안블레스티지,59.967,202210,185000,3085,2022,10
35,강남구,1280,1280.0,0.0,래미안블레스티지,84.943,202212,241000,2837,2022,12
36,강남구,12,12.0,0.0,삼익대청아파트,51.12,202203,157000,3071,2022,3
37,강남구,12,12.0,0.0,삼익대청아파트,39.53,202208,119000,3010,2022,8
38,강남구,12,12.0,0.0,삼익대청아파트,60.0,202210,122000,2033,2022,10
39,강남구,12,12.0,0.0,삼익대청아파트,60.0,202211,134000,2233,2022,11
40,강남구,12,12.0,0.0,삼익대청아파트,51.12,202212,100000,1956,2022,12
41,강남구,1164-12,1164.0,12.0,새롬(1164-12),73.5,202207,111500,1517,2022,7
42,강남구,12,12.0,0.0,성원대치2단지아파트,33.18,202201,125000,3767,2022,1
43,강남구,12,12.0,0.0,성원대치2단지아파트,33.18,202201,120000,3616,2022,1
44,강남구,12,12.0,0.0,성원대치2단지아파트,33.18,202201,120000,3616,2022,1
45,강남구,12,12.0,0.0,성원대치2단지아파트,33.18,202203,118000,3556,2022,3
46,강남구,12,12.0,0.0,성원대치2단지아파트,33.18,202203,120000,3616,2022,3
