,자치구별,2018,2019,2020,2021,2022,2018가격,2019가격,2020가격,2021가격,2022가격
0,종로구,3,3,3,3,3,764.0,1015.0,1034.0,1239.0,1175.0
1,중구,2,2,2,2,2,871.0,1024.0,1138.0,1285.0,1217.0
2,용산구,1,1,1,1,1,1200.0,1463.0,1594.0,1903.0,1986.0
3,성동구,2,2,2,2,2,1048.0,1245.0,1471.0,1806.0,1841.0
4,광진구,3,3,3,3,3,943.0,1105.0,1291.0,1517.0,1424.0
5,동대문구,4,4,4,4,4,693.0,840.0,995.0,1174.0,1108.0
6,중랑구,1,1,1,1,1,541.0,660.0,760.0,969.0,994.0
7,성북구,6,6,6,6,6,629.0,771.0,914.0,1144.0,1129.0
8,도봉구,1,1,1,1,1,504.0,594.0,675.0,899.0,890.0
9,노원구,6,6,6,6,6,601.0,703.0,844.0,1116.0,1116.0
10,은평구,1,1,1,1,1,627.0,729.0,827.0,1042.0,1056.0
11,서대문구,6,6,6,6,6,727.0,922.0,1038.0,1256.0,1219.0
12,마포구,2,2,2,2,2,989.0,1221.0,1344.0,1568.0,1567.0
13,강서구,1,1,1,1,1,728.0,852.0,964.0,1175.0,1036.0
14,구로구,3,3,3,3,3,595.0,707.0,769.0,945.0,881.0
15,동작구,3,3,3,3,3,880.0,1066.0,1230.0,1670.0,1422.0
16,관악구,1,1,1,1,1,642.0,757.0,871.0,1089.0,1045.0
17,서초구,1,1,1,1,1,1461.0,1755.0,1913.0,2208.0,2328.0
18,송파구,1,1,1,1,1,1201.0,1440.0,1601.0,1983.0,1965.0
