,자치구별,2018,2019,2020,2021,2022,2018가격,2019가격,2020가격,2021가격,2022가격
0,종로구,3,3,3,3,3,419.0,538.0,479.0,568.0,520.0
1,중구,2,2,2,2,2,482.0,453.0,549.0,566.0,547.0
2,용산구,1,1,1,1,1,508.0,532.0,579.0,623.0,564.0
3,성동구,2,2,2,2,2,542.0,558.0,618.0,658.0,650.0
4,광진구,3,3,3,3,3,538.0,546.0,604.0,667.0,642.0
5,동대문구,4,4,4,4,4,408.0,423.0,474.0,513.0,504.0
6,중랑구,1,1,1,1,1,305.0,370.0,391.0,419.0,380.0
7,성북구,6,6,6,6,6,407.0,415.0,462.0,497.0,470.0
8,도봉구,1,1,1,1,1,276.0,282.0,314.0,355.0,323.0
9,노원구,6,6,6,6,6,297.0,304.0,332.0,368.0,347.0
10,은평구,1,1,1,1,1,369.0,395.0,439.0,444.0,458.0
11,서대문구,6,6,6,6,6,436.0,463.0,499.0,533.0,508.0
12,마포구,2,2,2,2,2,512.0,536.0,519.0,585.0,563.0
13,강서구,1,1,1,1,1,406.0,442.0,453.0,470.0,464.0
14,구로구,3,3,3,3,3,360.0,362.0,375.0,364.0,370.0
15,동작구,3,3,3,3,3,502.0,499.0,569.0,630.0,587.0
16,관악구,1,1,1,1,1,369.0,380.0,411.0,460.0,442.0
17,서초구,1,1,1,1,1,645.0,638.0,760.0,796.0,813.0
18,송파구,1,1,1,1,1,577.0,576.0,647.0,672.0,656.0
