,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
0,SEB119900238,국사봉중학교,,,,37.4933842,126.9435729,2021/09/16 07:31:03,20926.0,11,서울특별시,동작구
1,SEB117000131,가산동종점,,,,37.4851695,126.8749706,2021/09/16 07:31:03,18217.0,11,서울특별시,금천구
2,SEB124000363,강동자이·프라자아파트,,,,37.5361803,127.1478949,2021/09/16 07:31:03,25006.0,11,서울특별시,강동구
3,SEB114000040,목원초등학교.서울지방식품의약품안전청,,,,37.5425325,126.8811364,2021/09/16 07:31:03,15142.0,11,서울특별시,양천구
4,SEB225000155,산본1동입구,,,,37.3704931,126.9395808,2021/09/16 07:31:03,40069.0,11,서울특별시,군포시
5,SEB122000244,수도전기공고후문,,,,37.485273,127.065984,2021/09/16 07:31:03,23348.0,11,서울특별시,강남구
6,SEB110900111,하계역,,,,37.635291,127.0682624,2021/09/16 07:31:03,11723.0,11,서울특별시,노원구
7,SEB116900153,성화단지앞,,,,37.5005796,126.8556554,2021/09/16 07:31:03,17918.0,11,서울특별시,구로구
8,SEB115900029,강서구립봉제산어르신복지센터,,,,37.5417729,126.8502912,2021/09/16 07:31:03,16554.0,11,서울특별시,강서구
9,SEB110000145,상계주공2단지,,,,37.6496372,127.0616198,2021/09/16 07:31:03,11245.0,11,서울특별시,노원구
10,SEB115900090,정은파크빌,,,,37.5400282,126.8515067,2021/09/16 07:31:03,16599.0,11,서울특별시,강서구
11,SEB108900105,미아역6번출구,,,,37.6259395,127.0253864,2021/09/16 07:31:03,9586.0,11,서울특별시,강북구
12,SEB115000118,명덕고등학교.웰튼병원,,,,37.5531204,126.8367014,2021/09/16 07:31:03,16215.0,11,서울특별시,강서구
13,SEB123000339,갑을.미성아파트,,,,37.5351598,127.1123715,2021/09/16 07:31:03,24431.0,11,서울특별시,송파구
14,SEB211000230,양지초교,,,,37.4796364,126.8150763,2021/09/16 07:31:03,0.0,11,서울특별시,부천시
15,SEB115900020,서광아파트,,,,37.5788332,126.8194426,2021/09/16 07:31:03,16503.0,11,서울특별시,강서구
16,SEB108900177,수유역,,,,37.6375906,127.0249677,2021/09/16 07:31:03,9567.0,11,서울특별시,강북구
17,SEB111000200,수리초등학교입구,,,,37.618945,126.9325975,2021/09/16 07:31:03,12290.0,11,서울특별시,은평구
18,SEB100000002,창경궁.서울대학교병원,,,,37.579183,126.996566,2021/09/16 07:31:03,1002.0,11,서울특별시,종로구
19,SEB123000027,서울아산병원앞,,,,37.5248148,127.1098601,2021/09/16 07:31:03,24113.0,11,서울특별시,송파구
20,SEB116900238,개봉사거리,,,,37.4974414,126.855917,2021/09/16 07:31:03,17484.0,11,서울특별시,구로구
21,SEB109900170,녹천북부역,,,,37.6455815,127.0505136,2021/09/16 07:31:03,10700.0,11,서울특별시,도봉구
22,SEB108900178,수유역,,,,37.6374815,127.0253881,2021/09/16 07:31:03,9595.0,11,서울특별시,강북구
23,SEB111000163,독박골.북한산래미안APT,,,,37.6107435,126.9396027,2021/09/16 07:31:03,12253.0,11,서울특별시,은평구
24,SEB102000311,용산역,,,,37.5290767,126.9658972,2021/09/16 07:31:03,3901.0,11,서울특별시,용산구
25,SEB120900145,광신고등학교.주공1단지,,,,37.4655416,126.926806,2021/09/16 07:31:03,21873.0,11,서울특별시,관악구
26,SEB206000335,구미동차고지,,,,37.341878,127.105764,2021/09/16 07:31:03,47172.0,11,서울특별시,성남시 분당구
27,SEB112900206,개미마을,,,,37.5897445,126.9536412,2021/09/16 07:31:03,13860.0,11,서울특별시,서대문구
28,SEB106000466,신내우디안아파트107동앞,,,,37.6156282,127.1054535,2021/09/16 07:31:03,7459.0,11,서울특별시,중랑구
29,SEB124000113,천동초등학교.천호도서관,,,,37.5404236,127.136664,2021/09/16 07:31:03,25222.0,11,서울특별시,강동구
30,SEB107000110,북서울꿈의숲,,,,37.619031,127.045768,2021/09/16 07:31:03,8200.0,11,서울특별시,성북구
