,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
0,SEB119900238,국사봉중학교,,,,37.4933842,126.9435729,2021/09/16 07:31:03,20926.0,11,서울특별시,동작구
1,SEB119900037,사당.인정아파트,,,,37.489971,126.9649635,2021/09/16 07:31:03,20561.0,11,서울특별시,동작구
2,SEB119000092,이수역10번출구,,,,37.4848328,126.9801874,2021/09/16 07:31:03,20185.0,11,서울특별시,동작구
3,SEB119000041,동작역.국립현충원,,,,37.5031885,126.9766525,2021/09/16 07:31:03,20134.0,11,서울특별시,동작구
4,SEB119900188,상도은빛어르신복지관,,,,37.5063056,126.9506417,2021/09/16 07:31:03,20731.0,11,서울특별시,동작구
5,SEB119900194,동원베네스트,,,,37.5034539,126.9451749,2021/09/16 07:31:03,20725.0,11,서울특별시,동작구
6,SEB119900261,동작고교,,,,37.4818218,126.9664294,2021/09/16 07:31:03,20568.0,11,서울특별시,동작구
7,SEB119900267,대방동주민센터,,,,37.5083022,126.9260562,2021/09/16 07:31:03,20861.0,11,서울특별시,동작구
8,SEB119900247,부강탕,,,,37.5043671,126.9459908,2021/09/16 07:31:03,20740.0,11,서울특별시,동작구
9,SEB119900197,KT동작지사,,,,37.5121801,126.934473,2021/09/16 07:31:03,20703.0,11,서울특별시,동작구
10,SEB119000036,비계,,,,37.5063016,126.9680257,2021/09/16 07:31:03,20129.0,11,서울특별시,동작구
11,SEB119000031,흑석동효사정앞,,,,37.5115728,126.9612375,2021/09/16 07:31:03,20124.0,11,서울특별시,동작구
12,SEB119900077,사당3동주민센터.대림현대아파트,,,,37.4861568,126.972484,2021/09/16 07:31:03,20509.0,11,서울특별시,동작구
13,SEB119000113,중앙대정문,,,,37.5072427,126.9587686,2021/09/16 07:31:03,20206.0,11,서울특별시,동작구
14,SEB119000114,신대방역,,,,37.4873791,126.9123158,2021/09/16 07:31:03,20207.0,11,서울특별시,동작구
15,SEB119000067,상도시장,,,,37.5016271,126.9486225,2021/09/16 07:31:03,20160.0,11,서울특별시,동작구
16,SEB119000110,중앙대후문,,,,37.5045504,126.953431,2021/09/16 07:31:03,20203.0,11,서울특별시,동작구
17,SEB119900053,대방어린이도서관,,,,37.5029619,126.9254812,2021/09/16 07:31:03,20542.0,11,서울특별시,동작구
18,SEB119900011,푸른초장교회,,,,37.4978176,126.9300612,2021/09/16 07:31:03,20594.0,11,서울특별시,동작구
19,SEB119000081,총신대,,,,37.4887422,126.9661798,2021/09/16 07:31:03,20174.0,11,서울특별시,동작구
20,SEB119000079,숭실대별관앞,,,,37.49493,126.9600224,2021/09/16 07:31:03,20172.0,11,서울특별시,동작구
21,SEB119900304,대방중학교,,,,37.4955312,126.9145761,2021/09/16 07:31:03,20977.0,11,서울특별시,동작구
22,SEB119900097,중앙대병원후문.흑석시장,,,,37.5064627,126.9612695,2021/09/16 07:31:03,20904.0,11,서울특별시,동작구
23,SEB119000070,상도동중앙하이츠빌.상도전통시장,,,,37.4986899,126.9517743,2021/09/16 07:31:03,20163.0,11,서울특별시,동작구
24,SEB119900020,대방동주민센터,,,,37.5082726,126.9262406,2021/09/16 07:31:03,20580.0,11,서울특별시,동작구
25,SEB119900185,극동아파트앞,,,,37.5110727,126.9513637,2021/09/16 07:31:03,20745.0,11,서울특별시,동작구
26,SEB119900308,벽산아파트,,,,37.4977331,126.9218266,2021/09/16 07:31:03,20497.0,11,서울특별시,동작구
27,SEB119900079,상도4동성문교회,,,,37.4986599,126.9395008,2021/09/16 07:31:03,20506.0,11,서울특별시,동작구
28,SEB119900102,신동아관리사무소,,,,37.5084979,126.9445445,2021/09/16 07:31:03,20899.0,11,서울특별시,동작구
29,SEB119900175,건영아파트,,,,37.5068731,126.9480737,2021/09/16 07:31:03,20799.0,11,서울특별시,동작구
30,SEB119900294,푸르지오상가,,,,37.5031684,126.9646113,2021/09/16 07:31:03,20968.0,11,서울특별시,동작구
31,SEB119900001,남성역,,,,37.4840644,126.9721558,2021/09/16 07:31:03,20682.0,11,서울특별시,동작구
32,SEB119900179,봉천고개관악현대아파트,,,,37.4921183,126.9566324,2021/09/16 07:31:03,20791.0,11,서울특별시,동작구
33,SEB119900214,보문사,,,,37.4961202,126.9386456,2021/09/16 07:31:03,20954.0,11,서울특별시,동작구
34,SEB119000118,흑석동한강현대아파트,,,,37.5055885,126.9700586,2021/09/16 07:31:03,20212.0,11,서울특별시,동작구
