,자치구별,2018,2019,2020,2021
0,종로구,364,370,272,271
1,중구,357,314,283,282
2,용산구,417,362,319,248
3,성동구,204,205,171,220
4,광진구,363,415,352,325
5,동대문구,243,249,244,282
6,중랑구,238,212,276,273
7,성북구,303,259,212,222
8,강북구,273,239,217,222
9,도봉구,177,136,131,131
10,노원구,293,272,236,293
11,은평구,312,283,251,293
12,서대문구,278,268,251,292
13,마포구,735,673,577,524
14,양천구,193,199,189,202
15,강서구,424,442,410,434
16,구로구,405,363,344,341
17,금천구,273,221,183,246
18,영등포구,592,520,484,480
19,동작구,416,367,305,304
20,관악구,545,579,557,528
21,서초구,635,785,578,540
22,강남구,1010,1280,1048,946
23,송파구,515,459,444,496
24,강동구,241,280,289,234
