자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,446.0,4.0,106.0,201901.0,173071.0,1747.0,2019.0
강남구,2,447.0,4.0,89.0,201902.0,154486.0,1729.0,2019.0
강남구,3,383.0,3.0,87.0,201903.0,155681.0,1771.0,2019.0
강남구,4,441.0,3.0,92.0,201904.0,172983.0,1967.0,2019.0
강남구,5,473.0,2.0,91.0,201905.0,173678.0,2024.0,2019.0
강남구,6,535.0,3.0,93.0,201906.0,179418.0,2014.0,2019.0
강남구,7,505.0,3.0,94.0,201907.0,181974.0,2024.0,2019.0
강남구,8,504.0,4.0,92.0,201908.0,183087.0,2141.0,2019.0
강남구,9,503.0,4.0,91.0,201909.0,186587.0,2169.0,2019.0
강남구,10,514.0,4.0,94.0,201910.0,186826.0,2082.0,2019.0
강남구,11,471.0,4.0,91.0,201911.0,184136.0,2092.0,2019.0
강남구,12,498.0,5.0,86.0,201912.0,171860.0,2090.0,2019.0
강동구,1,338.0,6.0,58.0,201901.0,54788.0,984.0,2019.0
강동구,2,412.0,6.0,68.0,201902.0,58745.0,939.0,2019.0
강동구,3,360.0,7.0,77.0,201903.0,63776.0,869.0,2019.0
강동구,4,335.0,4.0,70.0,201904.0,63843.0,931.0,2019.0
강동구,5,337.0,4.0,77.0,201905.0,73841.0,976.0,2019.0
강동구,6,410.0,2.0,79.0,201906.0,77057.0,1003.0,2019.0
강동구,7,406.0,3.0,78.0,201907.0,75137.0,990.0,2019.0
강동구,8,384.0,3.0,75.0,201908.0,76204.0,1036.0,2019.0
강동구,9,370.0,3.0,77.0,201909.0,77290.0,1028.0,2019.0
강동구,10,389.0,4.0,74.0,201910.0,73437.0,1002.0,2019.0
강동구,11,413.0,4.0,76.0,201911.0,77294.0,1045.0,2019.0
강동구,12,399.0,5.0,72.0,201912.0,70824.0,1018.0,2019.0
강북구,1,718.0,21.0,84.0,201901.0,44962.0,561.0,2019.0
강북구,2,604.0,3.0,69.0,201902.0,42019.0,630.0,2019.0
강북구,3,783.0,6.0,79.0,201903.0,44156.0,577.0,2019.0
강북구,4,577.0,3.0,72.0,201904.0,42236.0,597.0,2019.0
강북구,5,693.0,18.0,71.0,201905.0,42078.0,608.0,2019.0
강북구,6,659.0,5.0,74.0,201906.0,43134.0,596.0,2019.0
강북구,7,670.0,4.0,74.0,201907.0,44789.0,614.0,2019.0
강북구,8,681.0,8.0,73.0,201908.0,44996.0,638.0,2019.0
강북구,9,593.0,6.0,68.0,201909.0,44189.0,720.0,2019.0
강북구,10,639.0,13.0,73.0,201910.0,48961.0,728.0,2019.0
강북구,11,758.0,3.0,74.0,201911.0,51211.0,718.0,2019.0
강북구,12,805.0,11.0,76.0,201912.0,50455.0,679.0,2019.0
강서구,1,833.0,12.0,62.0,201901.0,44664.0,742.0,2019.0
강서구,2,752.0,8.0,67.0,201902.0,48355.0,748.0,2019.0
강서구,3,741.0,19.0,63.0,201903.0,44992.0,740.0,2019.0
강서구,4,820.0,14.0,68.0,201904.0,49594.0,745.0,2019.0
강서구,5,849.0,9.0,72.0,201905.0,54949.0,790.0,2019.0
강서구,6,793.0,7.0,73.0,201906.0,57965.0,814.0,2019.0
강서구,7,835.0,4.0,73.0,201907.0,63042.0,879.0,2019.0
강서구,8,763.0,6.0,73.0,201908.0,59025.0,831.0,2019.0
강서구,9,811.0,7.0,77.0,201909.0,61646.0,820.0,2019.0
강서구,10,793.0,5.0,74.0,201910.0,63580.0,883.0,2019.0
강서구,11,776.0,5.0,74.0,201911.0,65291.0,904.0,2019.0
강서구,12,794.0,5.0,72.0,201912.0,62765.0,894.0,2019.0
관악구,1,1135.0,15.0,54.0,201901.0,35049.0,672.0,2019.0
관악구,2,1277.0,19.0,64.0,201902.0,42479.0,705.0,2019.0
관악구,3,1412.0,18.0,70.0,201903.0,46320.0,691.0,2019.0
관악구,4,1401.0,18.0,70.0,201904.0,46669.0,693.0,2019.0
관악구,5,1357.0,16.0,75.0,201905.0,49036.0,683.0,2019.0
관악구,6,1509.0,16.0,71.0,201906.0,51593.0,757.0,2019.0
관악구,7,1532.0,14.0,73.0,201907.0,54023.0,772.0,2019.0
관악구,8,1493.0,7.0,72.0,201908.0,54053.0,771.0,2019.0
관악구,9,1500.0,11.0,76.0,201909.0,55435.0,749.0,2019.0
관악구,10,1538.0,8.0,74.0,201910.0,56097.0,788.0,2019.0
관악구,11,1521.0,9.0,77.0,201911.0,58194.0,783.0,2019.0
관악구,12,1490.0,14.0,75.0,201912.0,57173.0,787.0,2019.0
광진구,1,405.0,6.0,85.0,201901.0,67266.0,846.0,2019.0
광진구,2,387.0,15.0,78.0,201902.0,71173.0,951.0,2019.0
광진구,3,540.0,5.0,81.0,201903.0,74381.0,926.0,2019.0
광진구,4,502.0,5.0,83.0,201904.0,83356.0,997.0,2019.0
광진구,5,491.0,4.0,86.0,201905.0,87294.0,1029.0,2019.0
광진구,6,533.0,3.0,85.0,201906.0,88718.0,1066.0,2019.0
광진구,7,523.0,3.0,86.0,201907.0,92539.0,1102.0,2019.0
광진구,8,539.0,5.0,84.0,201908.0,92105.0,1119.0,2019.0
광진구,9,513.0,5.0,89.0,201909.0,95701.0,1103.0,2019.0
광진구,10,545.0,4.0,87.0,201910.0,99424.0,1163.0,2019.0
광진구,11,529.0,4.0,83.0,201911.0,97381.0,1189.0,2019.0
광진구,12,504.0,7.0,87.0,201912.0,99856.0,1167.0,2019.0
구로구,1,473.0,13.0,69.0,201901.0,40017.0,600.0,2019.0
구로구,2,444.0,9.0,72.0,201902.0,40304.0,572.0,2019.0
구로구,3,460.0,14.0,67.0,201903.0,39202.0,588.0,2019.0
구로구,4,464.0,18.0,69.0,201904.0,42236.0,604.0,2019.0
구로구,5,493.0,22.0,67.0,201905.0,44917.0,665.0,2019.0
구로구,6,486.0,17.0,68.0,201906.0,44699.0,656.0,2019.0
구로구,7,565.0,9.0,73.0,201907.0,51866.0,711.0,2019.0
구로구,8,520.0,14.0,75.0,201908.0,54604.0,735.0,2019.0
구로구,9,566.0,14.0,73.0,201909.0,51900.0,709.0,2019.0
구로구,10,515.0,12.0,74.0,201910.0,54815.0,744.0,2019.0
구로구,11,581.0,13.0,75.0,201911.0,56289.0,760.0,2019.0
구로구,12,531.0,16.0,73.0,201912.0,53065.0,735.0,2019.0
