자치구별,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,479.0,5.0,94.0,201805.0,153334.0,1702.0,2018.0,5.0
강동구,376.0,4.0,78.0,201805.0,64967.0,858.0,2018.0,5.0
강북구,768.0,8.0,78.0,201806.0,42267.0,563.0,2018.0,6.0
강서구,795.0,6.0,75.0,201805.0,53063.0,728.0,2018.0,5.0
관악구,1497.0,11.0,77.0,201805.0,47147.0,642.0,2018.0,5.0
광진구,519.0,5.0,87.0,201805.0,80294.0,943.0,2018.0,5.0
구로구,526.0,14.0,74.0,201806.0,43341.0,595.0,2018.0,6.0
금천구,874.0,4.0,76.0,201806.0,37864.0,516.0,2018.0,6.0
노원구,588.0,1.0,66.0,201806.0,38808.0,601.0,2018.0,6.0
도봉구,426.0,2.0,72.0,201806.0,35758.0,504.0,2018.0,6.0
동대문구,397.0,3.0,76.0,201805.0,50636.0,693.0,2018.0,5.0
동작구,481.0,5.0,84.0,201805.0,70567.0,880.0,2018.0,5.0
마포구,538.0,3.0,81.0,201805.0,78185.0,989.0,2018.0,5.0
서대문구,407.0,7.0,80.0,201805.0,56398.0,727.0,2018.0,5.0
서초구,761.0,9.0,105.0,201805.0,146786.0,1461.0,2018.0,5.0
성동구,578.0,11.0,79.0,201805.0,81915.0,1048.0,2018.0,5.0
성북구,584.0,8.0,81.0,201805.0,49756.0,629.0,2018.0,5.0
송파구,200.0,1.0,85.0,201805.0,98798.0,1201.0,2018.0,5.0
양천구,830.0,3.0,82.0,201806.0,65975.0,811.0,2018.0,6.0
영등포구,729.0,3.0,79.0,201805.0,66621.0,845.0,2018.0,5.0
용산구,251.0,27.0,107.0,201805.0,132351.0,1200.0,2018.0,5.0
은평구,332.0,7.0,80.0,201805.0,48517.0,627.0,2018.0,5.0
종로구,313.0,12.0,82.0,201806.0,61515.0,764.0,2018.0,6.0
중구,902.0,27.0,83.0,201805.0,68926.0,871.0,2018.0,5.0
중랑구,604.0,3.0,75.0,201805.0,39455.0,541.0,2018.0,5.0
평균,590.0,8.0,81.0,201805.0,68530.0,838.0,2018.0,5.0
