"자치구별(1)",자치구별(2),2018,2019,2020,2021,2022
"자치구별(1)",자치구별(2),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개)
"합계",소계,109,109,109,109,109
"합계",종로구,7,7,7,7,7
"합계",중구,4,4,4,4,4
"합계",용산구,5,5,5,5,5
"합계",성동구,1,1,1,1,1
"합계",광진구,3,3,3,3,3
"합계",동대문구,6,6,6,6,6
"합계",중랑구,3,3,3,3,3
"합계",성북구,8,8,8,8,8
"합계",강북구,5,5,5,5,5
"합계",도봉구,2,2,2,2,2
"합계",노원구,5,5,5,5,5
"합계",은평구,7,7,7,7,7
"합계",서대문구,7,7,7,7,7
"합계",마포구,5,5,5,5,5
"합계",양천구,3,3,3,3,3
"합계",강서구,6,6,6,6,6
"합계",구로구,1,1,1,1,1
"합계",금천구,2,2,2,2,2
"합계",영등포구,-,-,-,-,-
"합계",동작구,4,4,4,4,4
"합계",관악구,4,4,4,4,4
"합계",서초구,3,3,3,3,3
"합계",강남구,6,6,6,6,6
"합계",송파구,6,6,6,6,6
"합계",강동구,6,6,6,6,6
