자치구별,2018학교수,2019학교수,2020학교수,2021학교수,2022학교수
종로구,9,9,9,9,9
중구,8,8,8,8,8
용산구,9,9,9,9,9
성동구,11,11,11,11,11
광진구,12,12,12,12,12
동대문구,15,15,15,15,15
중랑구,14,14,14,14,14
성북구,18,18,18,18,18
강북구,13,13,13,13,13
도봉구,13,13,13,13,13
노원구,26,26,26,26,26
은평구,18,18,18,18,18
서대문구,14,14,14,14,14
마포구,14,14,14,14,14
양천구,19,19,19,19,19
강서구,22,22,22,22,22
구로구,13,13,14,14,14
금천구,9,9,9,9,9
영등포구,11,11,11,12,12
동작구,16,16,16,16,16
관악구,16,16,16,16,16
서초구,16,16,16,16,16
강남구,24,24,24,24,24
송파구,27,28,28,28,29
강동구,18,18,18,19,19
