자치구별,2018학교수,2019학교수,2020학교수,2021학교수,2022학교수
종로구,13,13,13,13,13
중구,12,12,12,12,12
용산구,15,15,15,15,15
성동구,21,21,21,21,21
광진구,22,22,22,22,22
동대문구,21,21,21,21,21
중랑구,23,23,23,23,24
성북구,29,29,29,29,29
강북구,14,14,14,14,14
도봉구,23,23,23,23,23
노원구,42,42,42,42,42
은평구,30,31,31,30,30
서대문구,19,19,19,19,19
마포구,22,22,22,22,22
양천구,30,30,30,30,30
강서구,36,36,35,35,35
구로구,24,26,26,26,26
금천구,18,18,18,18,18
영등포구,23,23,23,23,23
동작구,21,21,21,21,21
관악구,22,22,22,22,22
서초구,24,24,24,24,24
강남구,33,33,33,33,33
송파구,39,40,40,40,41
강동구,27,27,28,29,29
