,자치구별,2020 총전입,2020 총전출,2020 순이동,2020 인구이동률(%)
1,평균,1578127,1642977,-64850,-2.0
2,종로구,23632,25254,-1622,-3.3000000000000003
3,중구,20777,21733,-956,-2.1999999999999997
4,용산구,40282,38985,1297,1.6
5,성동구,45153,53096,-7943,-8.1
6,광진구,55926,60703,-4777,-4.1000000000000005
7,동대문구,54908,58135,-3227,-2.9000000000000004
8,중랑구,60214,62212,-1998,-1.6
9,성북구,62953,68231,-5278,-4.0
10,강북구,41625,46656,-5031,-5.7
11,도봉구,40435,47892,-7457,-8.4
12,노원구,68176,77707,-9531,-6.5
13,은평구,76364,76165,199,0.1
14,서대문구,56504,53579,2925,2.7
15,마포구,66215,68667,-2452,-1.7999999999999998
16,양천구,64081,68021,-3940,-3.0
17,강서구,87198,99573,-12375,-6.6000000000000005
18,구로구,60885,64024,-3139,-2.5
19,금천구,35753,36963,-1210,-1.7000000000000002
20,영등포구,79309,68526,10783,7.3
21,동작구,64496,69650,-5154,-3.8
22,관악구,98301,103226,-4925,-2.4
23,서초구,71250,77669,-6419,-4.3
24,강남구,95325,101582,-6257,-3.2
25,송파구,106928,116457,-9529,-4.3
26,강동구,101437,78271,23166,12.9
