,자치구별,2018정류장수,2019정류장수,2020정류장수,2021정류장수,2022정류장수
0,강남구,534.0,548.0,545.0,520.0,823.0
1,강동구,349.0,385.0,383.0,365.0,573.0
2,강북구,460.0,448.0,415.0,409.0,454.0
3,강서구,576.0,603.0,611.0,569.0,801.0
4,관악구,485.0,485.0,470.0,467.0,638.0
5,광진구,286.0,292.0,288.0,270.0,380.0
6,구로구,478.0,513.0,510.0,497.0,720.0
7,금천구,342.0,362.0,357.0,342.0,540.0
8,노원구,537.0,544.0,538.0,527.0,736.0
9,도봉구,386.0,391.0,366.0,358.0,448.0
10,동대문구,318.0,319.0,311.0,303.0,408.0
11,동작구,460.0,447.0,440.0,437.0,545.0
12,마포구,569.0,568.0,570.0,563.0,764.0
13,서대문구,444.0,446.0,457.0,454.0,542.0
14,서초구,648.0,649.0,638.0,605.0,962.0
15,성동구,439.0,442.0,433.0,445.0,502.0
16,성북구,611.0,604.0,599.0,601.0,670.0
17,송파구,413.0,429.0,440.0,414.0,716.0
18,양천구,363.0,365.0,320.0,317.0,491.0
19,영등포구,491.0,504.0,494.0,466.0,679.0
20,용산구,349.0,344.0,327.0,328.0,441.0
21,은평구,499.0,511.0,501.0,497.0,725.0
22,종로구,382.0,375.0,374.0,369.0,472.0
23,중구,207.0,211.0,241.0,200.0,309.0
24,중랑구,379.0,380.0,382.0,380.0,479.0
25,평균,440.2,446.6,440.4,428.12,592.72
