,자치구별,2018카페수,2019카페수,2020카페수,2021카페수,2022카페수
0,구로구,407.0,414.0,459.0,474.0,488.0
1,서초구,949.0,974.0,1005.0,1004.0,1012.0
2,영등포구,799.0,844.0,864.0,916.0,899.0
3,서대문구,492.0,525.0,522.0,496.0,496.0
4,강남구,1679.0,1794.0,1834.0,1873.0,1883.0
5,중구,1072.0,1135.0,1149.0,1148.0,1166.0
6,송파구,445.0,476.0,585.0,692.0,792.0
7,종로구,877.0,896.0,862.0,850.0,873.0
8,마포구,943.0,851.0,755.0,906.0,930.0
9,성북구,433.0,455.0,492.0,524.0,559.0
10,동대문구,395.0,408.0,424.0,427.0,403.0
11,용산구,391.0,422.0,444.0,449.0,480.0
12,중랑구,247.0,296.0,329.0,367.0,377.0
13,강북구,211.0,221.0,243.0,251.0,239.0
14,동작구,416.0,439.0,432.0,453.0,465.0
15,은평구,387.0,368.0,400.0,408.0,379.0
16,강서구,748.0,842.0,907.0,984.0,1004.0
17,강동구,416.0,471.0,517.0,579.0,608.0
18,도봉구,229.0,249.0,273.0,281.0,275.0
19,금천구,324.0,339.0,375.0,400.0,423.0
20,양천구,357.0,392.0,415.0,425.0,442.0
21,관악구,479.0,527.0,559.0,593.0,594.0
22,노원구,433.0,475.0,484.0,523.0,546.0
23,광진구,374.0,443.0,503.0,551.0,580.0
24,성동구,344.0,383.0,422.0,437.0,439.0
25,평균,553.88,585.56,610.16,640.44,654.08
