계정항목,GDP(십억원)
2006/Q1,246614.4
2006/Q2,248152.7
2006/Q3,253912.6
2006/Q4,256921.7
2007/Q1,263441.3
2007/Q2,269569.3
2007/Q3,274329.9
2007/Q4,282319.7
2008/Q1,283234.3
2008/Q2,290039.1
2008/Q3,293765.3
2008/Q4,287177.8
2009/Q1,289784.1
2009/Q2,298340.2
2009/Q3,307751.3
2009/Q4,309472.2
2010/Q1,320326.5
2010/Q2,329462.5
2010/Q3,333669.4
2010/Q4,339152.8
2011/Q1,340957.3
2011/Q2,343885.9
2011/Q3,348648.5
2011/Q4,355445.5
2012/Q1,357741.4
2012/Q2,358200.5
2012/Q3,359965.8
2012/Q4,364203.7
2013/Q1,368435.7
2013/Q2,373118.7
2013/Q3,377743.4
2013/Q4,381521.3
2014/Q1,387113.9
2014/Q2,388610.5
2014/Q3,390535.4
2014/Q4,396669.2
2015/Q1,408684.6
2015/Q2,411777.9
2015/Q3,417096.4
2015/Q4,420461.5
2016/Q1,429164.5
2016/Q2,435019.8
2016/Q3,434707.3
2016/Q4,441888.0
2017/Q1,450590.5
2017/Q2,454357.1
2017/Q3,467730.3
2017/Q4,463020.3
2018/Q1,468070.4
2018/Q2,472615.9
2018/Q3,479430.9
2018/Q4,478075.4
2019/Q1,474926.7
2019/Q2,480818.3
2019/Q3,482306.9
2019/Q4,486446.1
2020/Q1,480212.7
2020/Q2,475812.9
2020/Q3,489772.8
2020/Q4,494927.7
2021/Q1,504874.5
2021/Q2,514696.4
2021/Q3,521818.2
2021/Q4,530268.9
2022/Q1,532765.7
2022/Q2,540784.3
2022/Q3,538803.8
2022/Q4,539324.4
