,1
연도,서울특별시
2006.1/4,564368
2006.1/4.1,557006
2006.2/4,534527
2006.2/4.1,547619
2006.3/4,474367
2006.3/4.1,479747
2006.4/4,600645
2006.4/4.1,626086
2007.1/4,597349
2007.1/4.1,596721
2007.2/4,502919
2007.2/4.1,521595
2007.3/4,439590
2007.3/4.1,451006
2007.4/4,538187
2007.4/4.1,561606
2008.1/4,544823
2008.1/4.1,545294
2008.2/4,543506
2008.2/4.1,568664
2008.3/4,476801
2008.3/4.1,494817
2008.4/4,460228
2008.4/4.1,474577
2009.1/4,497952
2009.1/4.1,489225
2009.2/4,470561
2009.2/4.1,479088
2009.3/4,460158
2009.3/4.1,475843
2009.4/4,444517
2009.4/4.1,481296
2010.1/4,471149
2010.1/4.1,492900
2010.2/4,437057
2010.2/4.1,469603
2010.3/4,390218
2010.3/4.1,414307
2010.4/4,434591
2010.4/4.1,471228
2011.1/4,473659
2011.1/4.1,492441
2011.2/4,428850
2011.2/4.1,459567
2011.3/4,406859
2011.3/4.1,435365
2011.4/4,412380
2011.4/4.1,447433
2012.1/4,433732
2012.1/4.1,448998
2012.2/4,381380
2012.2/4.1,406288
2012.3/4,340329
2012.3/4.1,366498
2012.4/4,399840
2012.4/4.1,437144
2013.1/4,407789
2013.1/4.1,424754
2013.2/4,380973
2013.2/4.1,407939
2013.3/4,340600
2013.3/4.1,362937
2013.4/4,390728
2013.4/4.1,425010
2014.1/4,414640
2014.1/4.1,427887
2014.2/4,388422
2014.2/4.1,412860
2014.3/4,371001
2014.3/4.1,390309
2014.4/4,399531
2014.4/4.1,430369
2015.1/4,411519
2015.1/4.1,428084
2015.2/4,405502
2015.2/4.1,442673
2015.3/4,371553
2015.3/4.1,409073
2015.4/4,400857
2015.4/4.1,446857
2016.1/4,399231
2016.1/4.1,423116
2016.2/4,360170
2016.2/4.1,394850
2016.3/4,360315
2016.3/4.1,398741
2016.4/4,395886
2016.4/4.1,439152
2017.1/4,419262
2017.1/4.1,428027
2017.2/4,352300
2017.2/4.1,371310
2017.3/4,366290
2017.3/4.1,396855
2017.4/4,335085
2017.4/4.1,375231
2018.1/4,398720
2018.1/4.1,421087
2018.2/4,343860
2018.2/4.1,373747
2018.3/4,322142
2018.3/4.1,348472
2018.4/4,374985
2018.4/4.1,406631
2019.1/4,410930
2019.1/4.1,409640
2019.2/4,320838
2019.2/4.1,338009
2019.3/4,325849
2019.3/4.1,345802
2019.4/4,368876
2019.4/4.1,382630
2020.1/4,466094
2020.1/4.1,462247
2020.2/4,367234
2020.2/4.1,380992
2020.3/4,367337
2020.3/4.1,391344
2020.4/4,377462
2020.4/4.1,408394
2021.1/4,407968
2021.1/4.1,434039
2021.2/4,335146
2021.2/4.1,361481
2021.3/4,347297
2021.3/4.1,371962
2021.4/4,327776
2021.4/4.1,356948
2022.1/4,365748
2022.1/4.1,365166
2022.2/4,291090
2022.2/4.1,300148
2022.3/4,280969
2022.3/4.1,287578
2022.4/4,263720
2022.4/4.1,283975
