,자치구별,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,479.0,5.0,94.0,201805.0,153334.0,1702.0,2018.0,5.0
1,강동구,376.0,4.0,78.0,201805.0,64967.0,858.0,2018.0,5.0
2,강북구,768.0,8.0,78.0,201806.0,42267.0,563.0,2018.0,6.0
3,강서구,795.0,6.0,75.0,201805.0,53063.0,728.0,2018.0,5.0
4,관악구,1497.0,11.0,77.0,201805.0,47147.0,642.0,2018.0,5.0
5,광진구,519.0,5.0,87.0,201805.0,80294.0,943.0,2018.0,5.0
6,구로구,526.0,14.0,74.0,201806.0,43341.0,595.0,2018.0,6.0
7,금천구,874.0,4.0,76.0,201806.0,37864.0,516.0,2018.0,6.0
8,노원구,588.0,1.0,66.0,201806.0,38808.0,601.0,2018.0,6.0
9,도봉구,426.0,2.0,72.0,201806.0,35758.0,504.0,2018.0,6.0
10,동대문구,397.0,3.0,76.0,201805.0,50636.0,693.0,2018.0,5.0
11,동작구,481.0,5.0,84.0,201805.0,70567.0,880.0,2018.0,5.0
12,마포구,538.0,3.0,81.0,201805.0,78185.0,989.0,2018.0,5.0
13,서대문구,407.0,7.0,80.0,201805.0,56398.0,727.0,2018.0,5.0
14,서초구,761.0,9.0,105.0,201805.0,146786.0,1461.0,2018.0,5.0
15,성동구,578.0,11.0,79.0,201805.0,81915.0,1048.0,2018.0,5.0
16,성북구,584.0,8.0,81.0,201805.0,49756.0,629.0,2018.0,5.0
17,송파구,200.0,1.0,85.0,201805.0,98798.0,1201.0,2018.0,5.0
18,양천구,830.0,3.0,82.0,201806.0,65975.0,811.0,2018.0,6.0
19,영등포구,729.0,3.0,79.0,201805.0,66621.0,845.0,2018.0,5.0
20,용산구,251.0,27.0,107.0,201805.0,132351.0,1200.0,2018.0,5.0
21,은평구,332.0,7.0,80.0,201805.0,48517.0,627.0,2018.0,5.0
22,종로구,313.0,12.0,82.0,201806.0,61515.0,764.0,2018.0,6.0
23,중구,902.0,27.0,83.0,201805.0,68926.0,871.0,2018.0,5.0
24,중랑구,604.0,3.0,75.0,201805.0,39455.0,541.0,2018.0,5.0
25,평균,590.0,8.0,81.0,201805.0,68530.0,838.0,2018.0,5.0
0,강남구,494.0,4.0,92.0,201908.0,179961.0,2051.0,2019.0,8.0
1,강동구,389.0,4.0,75.0,201908.0,73584.0,1007.0,2019.0,8.0
2,강북구,696.0,8.0,74.0,201908.0,46805.0,665.0,2019.0,8.0
3,강서구,796.0,6.0,73.0,201909.0,60390.0,852.0,2019.0,9.0
4,관악구,1477.0,12.0,73.0,201908.0,53545.0,757.0,2019.0,8.0
5,광진구,522.0,4.0,85.0,201908.0,92629.0,1105.0,2019.0,8.0
6,구로구,528.0,14.0,73.0,201908.0,51012.0,707.0,2019.0,8.0
7,금천구,868.0,5.0,73.0,201908.0,43315.0,619.0,2019.0,8.0
8,노원구,584.0,1.0,65.0,201908.0,44401.0,703.0,2019.0,8.0
9,도봉구,417.0,3.0,70.0,201908.0,40614.0,594.0,2019.0,8.0
10,동대문구,416.0,4.0,72.0,201908.0,58414.0,840.0,2019.0,8.0
11,동작구,473.0,4.0,83.0,201909.0,85306.0,1066.0,2019.0,9.0
12,마포구,531.0,3.0,77.0,201909.0,91760.0,1221.0,2019.0,9.0
13,서대문구,424.0,6.0,76.0,201908.0,68039.0,922.0,2019.0,8.0
14,서초구,783.0,9.0,99.0,201908.0,165307.0,1755.0,2019.0,8.0
15,성동구,618.0,8.0,79.0,201909.0,96499.0,1245.0,2019.0,9.0
16,성북구,575.0,5.0,78.0,201909.0,58499.0,771.0,2019.0,9.0
17,송파구,205.0,1.0,86.0,201908.0,120140.0,1440.0,2019.0,8.0
18,양천구,815.0,2.0,82.0,201908.0,84712.0,1038.0,2019.0,8.0
19,영등포구,809.0,3.0,74.0,201908.0,76733.0,1039.0,2019.0,8.0
20,용산구,296.0,25.0,102.0,201908.0,151880.0,1463.0,2019.0,8.0
21,은평구,347.0,9.0,75.0,201908.0,52369.0,729.0,2019.0,8.0
22,종로구,258.0,6.0,79.0,201908.0,79612.0,1015.0,2019.0,8.0
23,중구,890.0,28.0,81.0,201909.0,80260.0,1024.0,2019.0,9.0
24,중랑구,560.0,3.0,70.0,201908.0,44479.0,660.0,2019.0,8.0
25,평균,591.0,7.0,79.0,201908.0,80011.0,1012.0,2019.0,8.0
0,강남구,496.0,4.0,88.0,202007.0,183946.0,2117.0,2020.0,7.0
1,강동구,401.0,5.0,74.0,202006.0,83823.0,1170.0,2020.0,6.0
2,강북구,806.0,10.0,75.0,202006.0,55942.0,771.0,2020.0,6.0
3,강서구,789.0,4.0,72.0,202007.0,67700.0,964.0,2020.0,7.0
4,관악구,1472.0,12.0,74.0,202006.0,61852.0,871.0,2020.0,6.0
5,광진구,503.0,6.0,84.0,202007.0,106705.0,1291.0,2020.0,7.0
6,구로구,529.0,14.0,71.0,202006.0,54440.0,769.0,2020.0,6.0
7,금천구,888.0,11.0,67.0,202007.0,47038.0,739.0,2020.0,7.0
8,노원구,589.0,1.0,63.0,202006.0,52201.0,844.0,2020.0,6.0
9,도봉구,412.0,2.0,69.0,202006.0,45698.0,675.0,2020.0,6.0
10,동대문구,434.0,3.0,74.0,202006.0,71189.0,995.0,2020.0,6.0
11,동작구,506.0,4.0,82.0,202007.0,97779.0,1230.0,2020.0,7.0
12,마포구,527.0,4.0,77.0,202007.0,101338.0,1344.0,2020.0,7.0
13,서대문구,412.0,6.0,78.0,202006.0,78548.0,1038.0,2020.0,6.0
14,서초구,779.0,8.0,96.0,202007.0,174956.0,1913.0,2020.0,7.0
15,성동구,619.0,12.0,80.0,202007.0,114341.0,1471.0,2020.0,7.0
16,성북구,577.0,10.0,78.0,202006.0,68692.0,914.0,2020.0,6.0
17,송파구,221.0,1.0,85.0,202007.0,130260.0,1601.0,2020.0,7.0
18,양천구,821.0,3.0,79.0,202007.0,89062.0,1143.0,2020.0,7.0
19,영등포구,747.0,3.0,76.0,202006.0,89836.0,1180.0,2020.0,6.0
20,용산구,268.0,27.0,98.0,202007.0,152261.0,1594.0,2020.0,7.0
21,은평구,302.0,9.0,78.0,202006.0,62445.0,827.0,2020.0,6.0
22,종로구,255.0,12.0,77.0,202007.0,80061.0,1034.0,2020.0,7.0
23,중구,833.0,44.0,84.0,202007.0,92392.0,1138.0,2020.0,7.0
24,중랑구,576.0,4.0,69.0,202006.0,50945.0,760.0,2020.0,6.0
25,평균,590.0,9.0,78.0,202007.0,88538.0,1136.0,2020.0,7.0
0,강남구,498.0,5.0,88.0,202105.0,207220.0,2351.0,2021.0,5.0
1,강동구,415.0,5.0,66.0,202105.0,93626.0,1437.0,2021.0,5.0
2,강북구,742.0,11.0,73.0,202105.0,66786.0,939.0,2021.0,5.0
3,강서구,783.0,5.0,69.0,202105.0,79163.0,1175.0,2021.0,5.0
4,관악구,1437.0,12.0,68.0,202106.0,72949.0,1089.0,2021.0,6.0
5,광진구,497.0,7.0,79.0,202105.0,119721.0,1517.0,2021.0,5.0
6,구로구,500.0,15.0,65.0,202105.0,62037.0,945.0,2021.0,5.0
7,금천구,824.0,13.0,67.0,202106.0,59569.0,914.0,2021.0,6.0
8,노원구,616.0,1.0,62.0,202105.0,67274.0,1116.0,2021.0,5.0
9,도봉구,415.0,3.0,67.0,202105.0,58488.0,899.0,2021.0,5.0
10,동대문구,436.0,4.0,67.0,202105.0,77557.0,1174.0,2021.0,5.0
11,동작구,483.0,8.0,77.0,202106.0,111730.0,1670.0,2021.0,6.0
12,마포구,498.0,5.0,75.0,202106.0,116795.0,1568.0,2021.0,6.0
13,서대문구,422.0,8.0,74.0,202106.0,90763.0,1256.0,2021.0,6.0
14,서초구,807.0,9.0,96.0,202105.0,205079.0,2208.0,2021.0,5.0
15,성동구,590.0,15.0,81.0,202106.0,144546.0,1806.0,2021.0,6.0
16,성북구,548.0,20.0,75.0,202105.0,83998.0,1144.0,2021.0,5.0
17,송파구,257.0,1.0,80.0,202106.0,154346.0,1983.0,2021.0,6.0
18,양천구,828.0,2.0,77.0,202105.0,103119.0,1353.0,2021.0,5.0
19,영등포구,777.0,6.0,71.0,202106.0,101949.0,1378.0,2021.0,6.0
20,용산구,282.0,24.0,104.0,202105.0,199106.0,1903.0,2021.0,5.0
21,은평구,306.0,11.0,73.0,202106.0,73155.0,1042.0,2021.0,6.0
22,종로구,254.0,11.0,75.0,202106.0,92945.0,1239.0,2021.0,6.0
23,중구,731.0,80.0,70.0,202105.0,89991.0,1285.0,2021.0,5.0
24,중랑구,582.0,3.0,68.0,202106.0,64494.0,969.0,2021.0,6.0
25,평균,581.0,11.0,75.0,202105.0,103856.0,1374.0,2021.0,5.0
0,강남구,480.0,6.0,85.0,202206.0,207409.0,2296.0,2022.0,6.0
1,강동구,438.0,4.0,62.0,202206.0,85089.0,1322.0,2022.0,6.0
2,강북구,689.0,8.0,55.0,202207.0,50245.0,942.0,2022.0,7.0
3,강서구,792.0,9.0,63.0,202206.0,65716.0,1036.0,2022.0,6.0
4,관악구,1365.0,18.0,61.0,202205.0,63250.0,1045.0,2022.0,5.0
5,광진구,384.0,6.0,72.0,202206.0,104770.0,1424.0,2022.0,6.0
6,구로구,409.0,13.0,55.0,202205.0,50468.0,881.0,2022.0,5.0
7,금천구,827.0,8.0,48.0,202207.0,45721.0,1014.0,2022.0,7.0
8,노원구,598.0,1.0,60.0,202206.0,65202.0,1116.0,2022.0,6.0
9,도봉구,420.0,4.0,66.0,202206.0,56234.0,890.0,2022.0,6.0
10,동대문구,451.0,7.0,60.0,202206.0,68746.0,1108.0,2022.0,6.0
11,동작구,473.0,10.0,59.0,202206.0,82560.0,1422.0,2022.0,6.0
12,마포구,462.0,6.0,69.0,202205.0,106388.0,1567.0,2022.0,5.0
13,서대문구,414.0,16.0,70.0,202206.0,83188.0,1219.0,2022.0,6.0
14,서초구,944.0,8.0,88.0,202205.0,213088.0,2328.0,2022.0,5.0
15,성동구,564.0,13.0,79.0,202206.0,147679.0,1841.0,2022.0,6.0
16,성북구,511.0,23.0,71.0,202206.0,76513.0,1129.0,2022.0,6.0
17,송파구,259.0,2.0,79.0,202206.0,151491.0,1965.0,2022.0,6.0
18,양천구,755.0,3.0,75.0,202206.0,97136.0,1310.0,2022.0,6.0
19,영등포구,780.0,12.0,58.0,202206.0,82478.0,1220.0,2022.0,6.0
20,용산구,253.0,29.0,104.0,202206.0,218757.0,1986.0,2022.0,6.0
21,은평구,306.0,10.0,64.0,202206.0,65036.0,1056.0,2022.0,6.0
22,종로구,261.0,7.0,54.0,202205.0,68236.0,1175.0,2022.0,5.0
23,중구,578.0,126.0,60.0,202206.0,74575.0,1217.0,2022.0,6.0
24,중랑구,427.0,13.0,50.0,202205.0,48790.0,994.0,2022.0,5.0
25,평균,554.0,14.0,67.0,202206.0,95151.0,1340.0,2022.0,6.0
