,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,77.75,202104,174000,2237,2021,4
1,강남구,79.97,202105,195000,2438,2021,5
2,강남구,79.97,202108,200000,2500,2021,8
3,강남구,79.97,202109,220000,2751,2021,9
4,강남구,79.97,202112,215000,2688,2021,12
5,강남구,74.66,202101,245000,3281,2021,1
6,강남구,49.92,202105,180000,3605,2021,5
7,강남구,49.92,202105,180000,3605,2021,5
8,강남구,59.92,202105,198500,3312,2021,5
9,강남구,59.92,202105,198500,3312,2021,5
10,강남구,59.92,202105,205000,3421,2021,5
11,강남구,59.92,202106,210000,3504,2021,6
12,강남구,59.92,202106,210000,3504,2021,6
13,강남구,49.92,202106,185000,3705,2021,6
14,강남구,74.66,202108,250000,3348,2021,8
15,강남구,59.92,202108,199500,3329,2021,8
16,강남구,84.86,202108,285000,3358,2021,8
17,강남구,84.86,202108,275000,3240,2021,8
18,강남구,96.91,202109,310000,3198,2021,9
19,강남구,84.86,202109,278000,3275,2021,9
20,강남구,74.66,202109,253000,3388,2021,9
21,강남구,59.92,202109,210000,3504,2021,9
22,강남구,84.83,202109,297000,3501,2021,9
23,강남구,84.86,202109,272000,3205,2021,9
24,강남구,59.92,202110,224900,3753,2021,10
25,강남구,49.92,202110,185000,3705,2021,10
26,강남구,59.92,202110,220000,3671,2021,10
27,강남구,104.43,202101,220000,2106,2021,1
28,강남구,104.43,202101,220000,2106,2021,1
29,강남구,104.43,202101,220000,2106,2021,1
30,강남구,104.43,202101,145000,1388,2021,1
31,강남구,104.43,202102,145000,1388,2021,2
32,강남구,161.0,202104,323000,2006,2021,4
33,강남구,104.43,202104,225000,2154,2021,4
34,강남구,133.46,202105,289000,2165,2021,5
35,강남구,161.0,202106,365000,2267,2021,6
36,강남구,104.43,202107,245000,2346,2021,7
37,강남구,104.43,202107,249500,2389,2021,7
38,강남구,134.3,202101,239500,1783,2021,1
39,강남구,134.3,202101,200000,1489,2021,1
40,강남구,170.32,202101,270000,1585,2021,1
41,강남구,153.8,202105,260000,1690,2021,5
42,강남구,134.3,202105,239850,1785,2021,5
43,강남구,170.32,202105,260000,1526,2021,5
44,강남구,134.3,202106,200000,1489,2021,6
45,강남구,134.3,202108,254000,1891,2021,8
46,강남구,83.17,202104,270000,3246,2021,4
47,강남구,83.17,202105,273000,3282,2021,5
48,강남구,83.17,202105,280000,3366,2021,5
49,강남구,74.25,202106,273000,3676,2021,6
50,강남구,83.17,202110,279500,3360,2021,10
51,강남구,83.17,202110,285000,3426,2021,10
52,강남구,53.06,202101,178000,3354,2021,1
53,강남구,53.06,202102,200000,3769,2021,2
54,강남구,73.02,202102,240500,3293,2021,2
55,강남구,73.02,202103,226000,3095,2021,3
56,강남구,83.21,202105,260000,3124,2021,5
57,강남구,83.21,202107,285000,3425,2021,7
58,강남구,60.76,202101,200000,3291,2021,1
59,강남구,53.46,202101,180000,3367,2021,1
60,강남구,73.26,202101,235000,3207,2021,1
61,강남구,73.26,202101,235000,3207,2021,1
62,강남구,53.46,202104,206000,3853,2021,4
63,강남구,83.7,202105,275000,3285,2021,5
64,강남구,73.26,202105,260000,3549,2021,5
65,강남구,53.46,202106,225000,4208,2021,6
