,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
0,강남구,2020,6,77.75,149500,1922
1,강남구,2020,2,54.98,144000,2619
2,강남구,2020,6,79.97,162750,2035
3,강남구,2020,6,79.97,160000,2000
4,강남구,2020,6,79.97,150000,1875
5,강남구,2020,6,67.28,165000,2452
6,강남구,2020,6,67.28,120000,1783
7,강남구,2020,6,67.28,165000,2452
8,강남구,2020,6,67.28,165000,2452
9,강남구,2020,7,79.97,169800,2123
10,강남구,2020,8,79.97,178000,2225
11,강남구,2020,12,54.98,146000,2655
12,강남구,2020,12,79.97,155400,1943
13,강남구,2020,10,59.92,188200,3140
14,강남구,2020,10,59.92,188200,3140
15,강남구,2020,10,59.92,193000,3220
16,강남구,2020,11,59.92,195000,3254
17,강남구,2020,11,59.92,195000,3254
18,강남구,2020,12,59.92,193000,3220
19,강남구,2020,1,133.46,220000,1648
20,강남구,2020,2,161.0,270000,1677
21,강남구,2020,6,161.0,268500,1667
22,강남구,2020,6,161.0,270000,1677
23,강남구,2020,7,104.43,195500,1872
24,강남구,2020,7,161.0,280000,1739
25,강남구,2020,9,104.43,210000,2010
26,강남구,2020,11,133.46,260000,1948
27,강남구,2020,11,104.43,218000,2087
28,강남구,2020,12,133.46,265000,1985
29,강남구,2020,12,104.43,220000,2106
30,강남구,2020,1,134.3,203000,1511
31,강남구,2020,2,134.3,206000,1533
32,강남구,2020,8,153.8,252000,1638
33,강남구,2020,10,153.8,220000,1430
34,강남구,2020,11,168.42,240000,1425
35,강남구,2020,11,168.42,240000,1425
36,강남구,2020,2,42.55,192000,4512
37,강남구,2020,2,58.08,240000,4132
38,강남구,2020,2,50.64,213000,4206
39,강남구,2020,2,58.08,242000,4166
40,강남구,2020,2,35.87,163000,4544
41,강남구,2020,2,58.08,315000,5423
42,강남구,2020,2,42.55,202000,4747
43,강남구,2020,2,35.64,170000,4769
44,강남구,2020,2,50.64,260000,5134
45,강남구,2020,2,50.38,218000,4327
46,강남구,2020,3,58.08,226000,3891
47,강남구,2020,3,56.57,309500,5471
48,강남구,2020,3,41.98,203000,4835
49,강남구,2020,3,56.57,215000,3800
50,강남구,2020,3,50.38,264000,5240
51,강남구,2020,3,49.56,235000,4741
52,강남구,2020,3,50.64,194000,3830
53,강남구,2020,3,50.64,190000,3751
54,강남구,2020,4,49.56,195000,3934
55,강남구,2020,4,41.98,180000,4287
56,강남구,2020,4,41.98,180000,4287
57,강남구,2020,4,42.55,184000,4324
58,강남구,2020,2,61.19,177000,2892
59,강남구,2020,2,83.17,198000,2380
60,강남구,2020,2,61.19,170000,2778
61,강남구,2020,4,74.25,175000,2356
62,강남구,2020,5,83.17,186000,2236
63,강남구,2020,5,53.98,157000,2908
64,강남구,2020,5,74.25,177000,2383
65,강남구,2020,6,74.25,189000,2545
66,강남구,2020,6,61.19,167500,2737
67,강남구,2020,6,74.25,185000,2491
68,강남구,2020,7,61.19,180000,2941
69,강남구,2020,7,61.19,172000,2810
70,강남구,2020,7,74.25,200000,2693
71,강남구,2020,7,74.25,190000,2558
72,강남구,2020,7,83.17,220000,2645
73,강남구,2020,8,83.17,215000,2585
74,강남구,2020,8,61.19,190000,3105
75,강남구,2020,8,74.25,205000,2760
76,강남구,2020,8,61.19,189000,3088
77,강남구,2020,8,74.25,210000,2828
78,강남구,2020,8,83.17,215000,2585
79,강남구,2020,8,83.17,220000,2645
80,강남구,2020,8,83.17,222000,2669
81,강남구,2020,8,74.25,209500,2821
82,강남구,2020,8,61.19,193000,3154
83,강남구,2020,9,83.17,230000,2765
84,강남구,2020,9,53.98,184000,3408
85,강남구,2020,9,53.98,184000,3408
86,강남구,2020,9,83.17,230000,2765
87,강남구,2020,9,74.25,215000,2895
88,강남구,2020,10,53.98,177000,3278
89,강남구,2020,10,61.19,187000,3056
90,강남구,2020,11,53.98,180000,3334
