자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,493.0,3.0,90.0,202101.0,199820.0,2271.0,2021.0
강남구,2,458.0,3.0,96.0,202102.0,222720.0,2380.0,2021.0
강남구,3,484.0,6.0,94.0,202103.0,208013.0,2130.0,2021.0
강남구,4,528.0,4.0,94.0,202104.0,220932.0,2283.0,2021.0
강남구,5,529.0,5.0,82.0,202105.0,188019.0,2192.0,2021.0
강남구,6,510.0,5.0,82.0,202106.0,195712.0,2391.0,2021.0
강남구,7,470.0,3.0,84.0,202107.0,207666.0,2587.0,2021.0
강남구,8,525.0,4.0,82.0,202108.0,197057.0,2382.0,2021.0
강남구,9,551.0,4.0,84.0,202109.0,209024.0,2440.0,2021.0
강남구,10,479.0,5.0,80.0,202110.0,212325.0,2599.0,2021.0
강남구,11,405.0,10.0,91.0,202111.0,216714.0,2285.0,2021.0
강남구,12,511.0,6.0,92.0,202112.0,240088.0,2551.0,2021.0
강동구,1,404.0,2.0,70.0,202101.0,99705.0,1469.0,2021.0
강동구,2,410.0,3.0,69.0,202102.0,95100.0,1387.0,2021.0
강동구,3,373.0,4.0,70.0,202103.0,90534.0,1309.0,2021.0
강동구,4,396.0,8.0,61.0,202104.0,77309.0,1321.0,2021.0
강동구,5,442.0,5.0,50.0,202105.0,71263.0,1460.0,2021.0
강동구,6,404.0,3.0,70.0,202106.0,100732.0,1452.0,2021.0
강동구,7,446.0,8.0,69.0,202107.0,103217.0,1497.0,2021.0
강동구,8,422.0,3.0,69.0,202108.0,107143.0,1548.0,2021.0
강동구,9,449.0,3.0,70.0,202109.0,109251.0,1555.0,2021.0
강동구,10,411.0,5.0,67.0,202110.0,101453.0,1434.0,2021.0
강동구,11,399.0,9.0,51.0,202111.0,72661.0,1299.0,2021.0
강동구,12,431.0,5.0,66.0,202112.0,98282.0,1431.0,2021.0
강북구,1,821.0,10.0,72.0,202101.0,65222.0,924.0,2021.0
강북구,2,567.0,7.0,62.0,202102.0,53524.0,871.0,2021.0
강북구,3,758.0,9.0,71.0,202103.0,65762.0,958.0,2021.0
강북구,4,712.0,8.0,72.0,202104.0,62541.0,896.0,2021.0
강북구,5,808.0,14.0,73.0,202105.0,68841.0,962.0,2021.0
강북구,6,807.0,9.0,74.0,202106.0,68619.0,950.0,2021.0
강북구,7,799.0,5.0,76.0,202107.0,71836.0,981.0,2021.0
강북구,8,731.0,20.0,76.0,202108.0,72119.0,967.0,2021.0
강북구,9,684.0,28.0,83.0,202109.0,75318.0,918.0,2021.0
강북구,10,880.0,1.0,76.0,202110.0,78650.0,1069.0,2021.0
강북구,11,514.0,1.0,76.0,202111.0,65153.0,870.0,2021.0
강북구,12,531.0,3.0,66.0,202112.0,50654.0,774.0,2021.0
강서구,1,831.0,3.0,70.0,202101.0,79016.0,1165.0,2021.0
강서구,2,811.0,5.0,68.0,202102.0,70827.0,1064.0,2021.0
강서구,3,762.0,8.0,67.0,202103.0,68929.0,1052.0,2021.0
강서구,4,841.0,5.0,69.0,202104.0,75879.0,1127.0,2021.0
강서구,5,796.0,4.0,68.0,202105.0,76721.0,1173.0,2021.0
강서구,6,806.0,3.0,67.0,202106.0,79991.0,1238.0,2021.0
강서구,7,763.0,5.0,72.0,202107.0,86565.0,1245.0,2021.0
강서구,8,718.0,8.0,75.0,202108.0,91414.0,1253.0,2021.0
강서구,9,745.0,8.0,69.0,202109.0,83627.0,1232.0,2021.0
강서구,10,731.0,7.0,64.0,202110.0,79720.0,1228.0,2021.0
강서구,11,775.0,7.0,56.0,202111.0,60575.0,1054.0,2021.0
강서구,12,712.0,11.0,68.0,202112.0,75943.0,1107.0,2021.0
관악구,1,1498.0,9.0,74.0,202101.0,73741.0,1026.0,2021.0
관악구,2,1480.0,10.0,73.0,202102.0,75450.0,1057.0,2021.0
관악구,3,1441.0,8.0,63.0,202103.0,65170.0,1052.0,2021.0
관악구,4,1309.0,20.0,67.0,202104.0,64998.0,996.0,2021.0
관악구,5,1482.0,9.0,68.0,202105.0,74082.0,1111.0,2021.0
관악구,6,1362.0,14.0,68.0,202106.0,72747.0,1097.0,2021.0
관악구,7,1459.0,10.0,69.0,202107.0,77364.0,1136.0,2021.0
관악구,8,1505.0,9.0,68.0,202108.0,77310.0,1142.0,2021.0
관악구,9,1446.0,15.0,68.0,202109.0,78686.0,1160.0,2021.0
관악구,10,1320.0,18.0,67.0,202110.0,72491.0,1096.0,2021.0
관악구,11,1331.0,12.0,60.0,202111.0,65678.0,1106.0,2021.0
관악구,12,1425.0,20.0,59.0,202112.0,64073.0,1094.0,2021.0
광진구,1,541.0,4.0,80.0,202101.0,123924.0,1567.0,2021.0
