자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,2019.0,8.0,92.0,179961.0,2051.0
강동구,2019.0,8.0,75.0,73584.0,1007.0
강북구,2019.0,8.0,74.0,46805.0,665.0
강서구,2019.0,9.0,73.0,60390.0,852.0
관악구,2019.0,8.0,73.0,53545.0,757.0
광진구,2019.0,8.0,85.0,92629.0,1105.0
구로구,2019.0,8.0,73.0,51012.0,707.0
금천구,2019.0,8.0,73.0,43315.0,619.0
노원구,2019.0,8.0,65.0,44401.0,703.0
도봉구,2019.0,8.0,70.0,40614.0,594.0
동대문구,2019.0,8.0,72.0,58414.0,840.0
동작구,2019.0,9.0,83.0,85306.0,1066.0
마포구,2019.0,9.0,77.0,91760.0,1221.0
서대문구,2019.0,8.0,76.0,68039.0,922.0
서초구,2019.0,8.0,99.0,165307.0,1755.0
성동구,2019.0,9.0,79.0,96499.0,1245.0
성북구,2019.0,9.0,78.0,58499.0,771.0
송파구,2019.0,8.0,86.0,120140.0,1440.0
양천구,2019.0,8.0,82.0,84712.0,1038.0
영등포구,2019.0,8.0,74.0,76733.0,1039.0
용산구,2019.0,8.0,102.0,151880.0,1463.0
은평구,2019.0,8.0,75.0,52369.0,729.0
종로구,2019.0,8.0,79.0,79612.0,1015.0
중구,2019.0,9.0,81.0,80260.0,1024.0
중랑구,2019.0,8.0,70.0,44479.0,660.0
평균,2019.0,,78.0,77356.0,978.0
