,계정항목,1m^2 전용면적당 거래금액(만원)
0,2006/Q1,497.0
1,2006/Q2,424.0
2,2006/Q3,407.0
3,2006/Q4,462.0
0,2007/Q1,393.0
1,2007/Q2,445.0
2,2007/Q3,448.0
3,2007/Q4,478.0
0,2008/Q1,491.0
1,2008/Q2,542.0
2,2008/Q3,554.0
3,2008/Q4,589.0
0,2009/Q1,633.0
1,2009/Q2,638.0
2,2009/Q3,634.0
3,2009/Q4,617.0
0,2010/Q1,631.0
1,2010/Q2,578.0
2,2010/Q3,597.0
3,2010/Q4,633.0
0,2011/Q1,587.0
1,2011/Q2,575.0
2,2011/Q3,584.0
3,2011/Q4,595.0
0,2012/Q1,569.0
1,2012/Q2,579.0
2,2012/Q3,561.0
3,2012/Q4,578.0
0,2013/Q1,581.0
1,2013/Q2,564.0
2,2013/Q3,537.0
3,2013/Q4,577.0
0,2014/Q1,581.0
1,2014/Q2,567.0
2,2014/Q3,587.0
3,2014/Q4,587.0
0,2015/Q1,593.0
1,2015/Q2,605.0
2,2015/Q3,611.0
3,2015/Q4,651.0
0,2016/Q1,630.0
1,2016/Q2,690.0
2,2016/Q3,684.0
3,2016/Q4,680.0
0,2017/Q1,708.0
1,2017/Q2,754.0
2,2017/Q3,766.0
3,2017/Q4,850.0
0,2018/Q1,796.0
1,2018/Q2,755.0
2,2018/Q3,879.0
3,2018/Q4,824.0
0,2019/Q1,866.0
1,2019/Q2,1063.0
2,2019/Q3,1062.0
3,2019/Q4,1047.0
0,2020/Q1,921.0
1,2020/Q2,1080.0
2,2020/Q3,1162.0
3,2020/Q4,1287.0
0,2021/Q1,1315.0
1,2021/Q2,1371.0
2,2021/Q3,1427.0
3,2021/Q4,1443.0
0,2022/Q1,1382.0
1,2022/Q2,1452.0
2,2022/Q3,1269.0
3,2022/Q4,1249.0
