,자치구별,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
0,강남구,505.0,3.0,84.0,201807.0,55985.0,43.0,56506.0,660.0,2018.0,7.0
1,강동구,398.0,4.0,72.0,201807.0,34220.0,15.0,34398.0,474.0,2018.0,7.0
2,강북구,787.0,5.0,73.0,201806.0,24758.0,16.0,24950.0,338.0,2018.0,6.0
3,강서구,821.0,4.0,69.0,201807.0,28167.0,8.0,28266.0,408.0,2018.0,7.0
4,관악구,1476.0,9.0,66.0,201806.0,25187.0,0.0,25187.0,369.0,2018.0,6.0
5,광진구,545.0,4.0,80.0,201807.0,42860.0,0.0,42860.0,538.0,2018.0,7.0
6,구로구,539.0,17.0,66.0,201806.0,24226.0,0.0,24226.0,360.0,2018.0,6.0
7,금천구,810.0,5.0,63.0,201807.0,20913.0,0.0,20913.0,335.0,2018.0,7.0
8,노원구,563.0,1.0,60.0,201806.0,19034.0,0.0,19034.0,297.0,2018.0,6.0
9,도봉구,394.0,2.0,65.0,201806.0,18384.0,0.0,18384.0,276.0,2018.0,6.0
10,동대문구,485.0,7.0,69.0,201807.0,28163.0,0.0,28163.0,408.0,2018.0,7.0
11,동작구,491.0,4.0,77.0,201807.0,39292.0,0.0,39292.0,502.0,2018.0,7.0
12,마포구,620.0,2.0,73.0,201807.0,38462.0,0.0,38462.0,512.0,2018.0,7.0
13,서대문구,421.0,4.0,73.0,201806.0,31864.0,0.0,31864.0,436.0,2018.0,6.0
14,서초구,703.0,7.0,88.0,201807.0,56890.0,28.0,57224.0,648.0,2018.0,7.0
15,성동구,590.0,8.0,76.0,201806.0,41104.0,33.0,41494.0,546.0,2018.0,6.0
16,성북구,602.0,3.0,75.0,201807.0,30374.0,19.0,30598.0,410.0,2018.0,7.0
17,송파구,242.0,1.0,80.0,201807.0,45921.0,27.0,46240.0,580.0,2018.0,7.0
18,양천구,793.0,2.0,77.0,201807.0,38946.0,15.0,39120.0,496.0,2018.0,7.0
19,영등포구,723.0,3.0,74.0,201806.0,32633.0,20.0,32867.0,448.0,2018.0,6.0
20,용산구,262.0,19.0,90.0,201806.0,44956.0,36.0,45393.0,513.0,2018.0,6.0
21,은평구,262.0,5.0,74.0,201807.0,26689.0,13.0,26845.0,371.0,2018.0,7.0
22,종로구,282.0,9.0,74.0,201806.0,33234.0,37.0,33676.0,426.0,2018.0,6.0
23,중구,874.0,30.0,72.0,201806.0,34452.0,23.0,34724.0,485.0,2018.0,6.0
24,중랑구,592.0,2.0,66.0,201806.0,20803.0,0.0,20803.0,304.0,2018.0,6.0
25,평균,591.0,6.0,73.0,201807.0,33501.0,13.0,33660.0,446.0,2018.0,7.0
0,강남구,531.0,3.0,83.0,201907.0,57530.0,45.0,58067.0,681.0,2019.0,7.0
1,강동구,467.0,2.0,70.0,201907.0,32447.0,13.0,32608.0,474.0,2019.0,7.0
2,강북구,777.0,6.0,72.0,201907.0,24422.0,15.0,24607.0,341.0,2019.0,7.0
3,강서구,801.0,5.0,65.0,201907.0,28178.0,2.0,28197.0,442.0,2019.0,7.0
4,관악구,1475.0,9.0,66.0,201907.0,25687.0,0.0,25687.0,380.0,2019.0,7.0
5,광진구,536.0,4.0,79.0,201907.0,43047.0,0.0,43047.0,545.0,2019.0,7.0
6,구로구,523.0,17.0,66.0,201907.0,24323.0,0.0,24323.0,361.0,2019.0,7.0
