자치구별,계약월,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
강남구,1,483.0,4.0,84.0,202001.0,62038.0,47.0,62605.0,733.0,2020.0
강남구,2,491.0,4.0,84.0,202002.0,61362.0,52.0,61983.0,730.0,2020.0
강남구,3,505.0,4.0,80.0,202003.0,58897.0,45.0,59438.0,721.0,2020.0
강남구,4,492.0,4.0,80.0,202004.0,58906.0,47.0,59472.0,734.0,2020.0
강남구,5,512.0,3.0,84.0,202005.0,62715.0,44.0,63239.0,735.0,2020.0
강남구,6,508.0,3.0,84.0,202006.0,67894.0,45.0,68430.0,796.0,2020.0
강남구,7,539.0,3.0,85.0,202007.0,69615.0,49.0,70199.0,818.0,2020.0
강남구,8,547.0,3.0,81.0,202008.0,65711.0,53.0,66350.0,805.0,2020.0
강남구,9,555.0,3.0,83.0,202009.0,66695.0,61.0,67430.0,797.0,2020.0
강남구,10,607.0,3.0,83.0,202010.0,72251.0,59.0,72960.0,879.0,2020.0
강남구,11,637.0,3.0,83.0,202011.0,66157.0,66.0,66955.0,791.0,2020.0
강남구,12,580.0,3.0,84.0,202012.0,74009.0,66.0,74796.0,869.0,2020.0
강동구,1,444.0,2.0,70.0,202001.0,35539.0,16.0,35732.0,532.0,2020.0
강동구,2,470.0,2.0,67.0,202002.0,31582.0,18.0,31794.0,481.0,2020.0
강동구,3,433.0,3.0,69.0,202003.0,32946.0,23.0,33218.0,492.0,2020.0
강동구,4,441.0,3.0,68.0,202004.0,32413.0,18.0,32631.0,494.0,2020.0
강동구,5,439.0,4.0,67.0,202005.0,33863.0,19.0,34091.0,514.0,2020.0
강동구,6,419.0,4.0,68.0,202006.0,36502.0,15.0,36688.0,540.0,2020.0
강동구,7,403.0,4.0,68.0,202007.0,38077.0,18.0,38290.0,574.0,2020.0
강동구,8,405.0,4.0,66.0,202008.0,37642.0,21.0,37893.0,601.0,2020.0
강동구,9,398.0,3.0,68.0,202009.0,41570.0,22.0,41838.0,621.0,2020.0
강동구,10,362.0,2.0,69.0,202010.0,39796.0,18.0,40012.0,586.0,2020.0
강동구,11,306.0,2.0,52.0,202011.0,23957.0,21.0,24205.0,390.0,2020.0
강동구,12,425.0,4.0,67.0,202012.0,38861.0,21.0,39112.0,589.0,2020.0
강북구,1,811.0,3.0,72.0,202001.0,25975.0,14.0,26146.0,358.0,2020.0
강북구,2,701.0,4.0,69.0,202002.0,24419.0,18.0,24638.0,341.0,2020.0
강북구,3,726.0,2.0,69.0,202003.0,26047.0,16.0,26237.0,385.0,2020.0
강북구,4,754.0,3.0,65.0,202004.0,23989.0,14.0,24154.0,392.0,2020.0
강북구,5,779.0,11.0,67.0,202005.0,24616.0,15.0,24796.0,399.0,2020.0
강북구,6,787.0,15.0,70.0,202006.0,27557.0,13.0,27710.0,396.0,2020.0
강북구,7,804.0,7.0,67.0,202007.0,25233.0,11.0,25361.0,359.0,2020.0
강북구,8,736.0,8.0,68.0,202008.0,27448.0,15.0,27632.0,411.0,2020.0
강북구,9,762.0,2.0,71.0,202009.0,28501.0,22.0,28770.0,411.0,2020.0
강북구,10,719.0,6.0,70.0,202010.0,29586.0,14.0,29759.0,428.0,2020.0
강북구,11,760.0,10.0,69.0,202011.0,29423.0,19.0,29646.0,433.0,2020.0
강북구,12,795.0,5.0,71.0,202012.0,33643.0,16.0,33836.0,492.0,2020.0
강서구,1,825.0,6.0,65.0,202001.0,30438.0,2.0,30464.0,469.0,2020.0
강서구,2,802.0,7.0,65.0,202002.0,30476.0,2.0,30500.0,478.0,2020.0
강서구,3,834.0,6.0,63.0,202003.0,28698.0,3.0,28737.0,480.0,2020.0
강서구,4,817.0,7.0,63.0,202004.0,28572.0,2.0,28601.0,470.0,2020.0
강서구,5,827.0,5.0,62.0,202005.0,28967.0,2.0,28991.0,479.0,2020.0
강서구,6,823.0,5.0,59.0,202006.0,28188.0,2.0,28213.0,477.0,2020.0
강서구,7,810.0,4.0,63.0,202007.0,26137.0,3.0,26168.0,413.0,2020.0
강서구,8,761.0,3.0,63.0,202008.0,26001.0,2.0,26026.0,396.0,2020.0
강서구,9,793.0,4.0,62.0,202009.0,28866.0,3.0,28907.0,462.0,2020.0
강서구,10,783.0,5.0,65.0,202010.0,30271.0,3.0,30312.0,458.0,2020.0
강서구,11,808.0,3.0,63.0,202011.0,28239.0,3.0,28276.0,436.0,2020.0
강서구,12,785.0,5.0,64.0,202012.0,33526.0,3.0,33561.0,507.0,2020.0
관악구,1,1479.0,7.0,65.0,202001.0,26286.0,0.0,26286.0,398.0,2020.0
관악구,2,1488.0,10.0,67.0,202002.0,28424.0,0.0,28424.0,431.0,2020.0
관악구,3,1468.0,12.0,65.0,202003.0,27838.0,0.0,27838.0,436.0,2020.0
관악구,4,1509.0,7.0,57.0,202004.0,20882.0,0.0,20882.0,330.0,2020.0
관악구,5,1505.0,8.0,65.0,202005.0,26203.0,0.0,26203.0,393.0,2020.0
관악구,6,1528.0,5.0,69.0,202006.0,30873.0,0.0,30873.0,446.0,2020.0
관악구,7,1497.0,10.0,62.0,202007.0,24890.0,0.0,24890.0,370.0,2020.0
관악구,8,1484.0,7.0,66.0,202008.0,29470.0,0.0,29470.0,451.0,2020.0
관악구,9,1513.0,8.0,62.0,202009.0,26850.0,0.0,26850.0,403.0,2020.0
관악구,10,1495.0,8.0,66.0,202010.0,29772.0,0.0,29772.0,442.0,2020.0
관악구,11,1488.0,9.0,64.0,202011.0,28663.0,0.0,28663.0,423.0,2020.0
관악구,12,1509.0,5.0,64.0,202012.0,29076.0,0.0,29076.0,421.0,2020.0
광진구,1,545.0,5.0,73.0,202001.0,40438.0,0.0,40438.0,547.0,2020.0
광진구,2,531.0,4.0,83.0,202002.0,45969.0,0.0,45969.0,563.0,2020.0
광진구,3,523.0,6.0,79.0,202003.0,44270.0,0.0,44270.0,561.0,2020.0
광진구,4,567.0,7.0,81.0,202004.0,42492.0,0.0,42492.0,521.0,2020.0
광진구,5,530.0,6.0,76.0,202005.0,44677.0,0.0,44677.0,582.0,2020.0
광진구,6,508.0,5.0,78.0,202006.0,46929.0,0.0,46929.0,603.0,2020.0
광진구,7,542.0,4.0,80.0,202007.0,51018.0,0.0,51018.0,628.0,2020.0
광진구,8,538.0,6.0,78.0,202008.0,47421.0,0.0,47421.0,620.0,2020.0
광진구,9,548.0,4.0,80.0,202009.0,50134.0,0.0,50134.0,630.0,2020.0
광진구,10,559.0,5.0,80.0,202010.0,53159.0,0.0,53159.0,671.0,2020.0
광진구,11,550.0,6.0,76.0,202011.0,49496.0,0.0,49496.0,652.0,2020.0
광진구,12,508.0,6.0,76.0,202012.0,48792.0,0.0,48792.0,642.0,2020.0
구로구,1,551.0,19.0,67.0,202001.0,25659.0,0.0,25659.0,374.0,2020.0
구로구,2,545.0,15.0,65.0,202002.0,27099.0,0.0,27099.0,405.0,2020.0
구로구,3,527.0,13.0,63.0,202003.0,23869.0,0.0,23869.0,365.0,2020.0
구로구,4,421.0,19.0,59.0,202004.0,20038.0,0.0,20038.0,330.0,2020.0
구로구,5,510.0,16.0,65.0,202005.0,25412.0,0.0,25412.0,380.0,2020.0
구로구,6,548.0,18.0,69.0,202006.0,26977.0,0.0,26977.0,384.0,2020.0
구로구,7,518.0,14.0,66.0,202007.0,26242.0,0.0,26242.0,392.0,2020.0
구로구,8,562.0,19.0,66.0,202008.0,26402.0,0.0,26402.0,391.0,2020.0
구로구,9,557.0,19.0,67.0,202009.0,28086.0,0.0,28086.0,411.0,2020.0
구로구,10,552.0,16.0,65.0,202010.0,27686.0,0.0,27686.0,412.0,2020.0
구로구,11,488.0,12.0,54.0,202011.0,20810.0,0.0,20810.0,338.0,2020.0
구로구,12,302.0,11.0,67.0,202012.0,23309.0,0.0,23309.0,347.0,2020.0
금천구,1,844.0,6.0,62.0,202001.0,23316.0,0.0,23316.0,382.0,2020.0
금천구,2,836.0,4.0,68.0,202002.0,24850.0,0.0,24850.0,369.0,2020.0
금천구,3,842.0,3.0,67.0,202003.0,22707.0,0.0,22707.0,334.0,2020.0
금천구,4,875.0,4.0,67.0,202004.0,23460.0,0.0,23460.0,343.0,2020.0
금천구,5,799.0,4.0,68.0,202005.0,23630.0,0.0,23630.0,360.0,2020.0
금천구,6,858.0,4.0,69.0,202006.0,27114.0,0.0,27114.0,399.0,2020.0
금천구,7,864.0,4.0,67.0,202007.0,25313.0,0.0,25313.0,377.0,2020.0
금천구,8,782.0,4.0,65.0,202008.0,24432.0,0.0,24432.0,390.0,2020.0
금천구,9,753.0,6.0,61.0,202009.0,25002.0,0.0,25002.0,434.0,2020.0
금천구,10,808.0,6.0,61.0,202010.0,27136.0,0.0,27136.0,471.0,2020.0
금천구,11,730.0,5.0,58.0,202011.0,25728.0,0.0,25728.0,537.0,2020.0
금천구,12,752.0,8.0,57.0,202012.0,27121.0,0.0,27121.0,528.0,2020.0
노원구,1,578.0,1.0,60.0,202001.0,20625.0,11.0,20762.0,324.0,2020.0
노원구,2,627.0,1.0,59.0,202002.0,19884.0,11.0,20019.0,317.0,2020.0
노원구,3,579.0,1.0,60.0,202003.0,19627.0,12.0,19773.0,314.0,2020.0
노원구,4,586.0,1.0,59.0,202004.0,19083.0,13.0,19236.0,304.0,2020.0
노원구,5,613.0,1.0,59.0,202005.0,19677.0,12.0,19824.0,313.0,2020.0
노원구,6,576.0,1.0,61.0,202006.0,20765.0,11.0,20897.0,325.0,2020.0
