자치구별,본번,부번,전용면적(㎡),계약년월,보증금(만원),월세(만원),거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
강남구,531.0,3.0,83.0,201907.0,57530.0,45.0,58067.0,681.0,2019.0,7.0
강동구,467.0,2.0,70.0,201907.0,32447.0,13.0,32608.0,474.0,2019.0,7.0
강북구,777.0,6.0,72.0,201907.0,24422.0,15.0,24607.0,341.0,2019.0,7.0
강서구,801.0,5.0,65.0,201907.0,28178.0,2.0,28197.0,442.0,2019.0,7.0
관악구,1475.0,9.0,66.0,201907.0,25687.0,0.0,25687.0,380.0,2019.0,7.0
광진구,536.0,4.0,79.0,201907.0,43047.0,0.0,43047.0,545.0,2019.0,7.0
구로구,523.0,17.0,66.0,201907.0,24323.0,0.0,24323.0,361.0,2019.0,7.0
금천구,803.0,7.0,64.0,201907.0,21770.0,0.0,21770.0,346.0,2019.0,7.0
노원구,564.0,1.0,60.0,201907.0,19427.0,0.0,19427.0,304.0,2019.0,7.0
도봉구,390.0,2.0,65.0,201907.0,18894.0,0.0,18894.0,282.0,2019.0,7.0
동대문구,454.0,5.0,67.0,201906.0,27716.0,0.0,27716.0,423.0,2019.0,6.0
동작구,473.0,5.0,77.0,201906.0,38883.0,0.0,38883.0,499.0,2019.0,6.0
마포구,564.0,3.0,73.0,201907.0,39462.0,0.0,39462.0,536.0,2019.0,7.0
서대문구,436.0,6.0,74.0,201907.0,33676.0,15.0,33862.0,465.0,2019.0,7.0
서초구,749.0,7.0,86.0,201907.0,55045.0,42.0,55547.0,643.0,2019.0,7.0
성동구,624.0,7.0,76.0,201906.0,41966.0,32.0,42353.0,562.0,2019.0,6.0
성북구,561.0,11.0,72.0,201907.0,29774.0,17.0,29983.0,418.0,2019.0,7.0
송파구,327.0,1.0,79.0,201906.0,45400.0,29.0,45746.0,580.0,2019.0,6.0
양천구,817.0,2.0,76.0,201907.0,38237.0,15.0,38411.0,485.0,2019.0,7.0
영등포구,1083.0,4.0,72.0,201907.0,33661.0,17.0,33871.0,481.0,2019.0,7.0
용산구,269.0,18.0,87.0,201907.0,46049.0,35.0,46467.0,536.0,2019.0,7.0
은평구,298.0,6.0,69.0,201906.0,26903.0,13.0,27061.0,398.0,2019.0,6.0
종로구,247.0,6.0,71.0,201906.0,39106.0,34.0,39517.0,544.0,2019.0,6.0
중구,885.0,47.0,65.0,201907.0,30731.0,39.0,31201.0,461.0,2019.0,7.0
중랑구,569.0,5.0,62.0,201907.0,22515.0,15.0,22699.0,374.0,2019.0,7.0
평균,609.0,8.0,72.0,201907.0,33794.0,15.0,33976.0,462.0,2019.0,7.0
