자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
강남구,1,2020.0,84.0,62183.0,727.0
강남구,2,2020.0,84.0,61517.0,724.0
강남구,3,2020.0,80.0,59032.0,715.0
강남구,4,2020.0,80.0,59047.0,728.0
강남구,5,2020.0,84.0,62846.0,730.0
강남구,6,2020.0,84.0,68028.0,791.0
강남구,7,2020.0,85.0,69765.0,813.0
강남구,8,2020.0,81.0,65875.0,799.0
강남구,9,2020.0,83.0,66883.0,790.0
강남구,10,2020.0,83.0,72428.0,872.0
강남구,11,2020.0,83.0,66356.0,783.0
강남구,12,2020.0,84.0,74206.0,861.0
강동구,1,2020.0,70.0,35589.0,530.0
강동구,2,2020.0,67.0,31638.0,478.0
강동구,3,2020.0,69.0,33018.0,488.0
강동구,4,2020.0,68.0,32470.0,491.0
강동구,5,2020.0,67.0,33923.0,511.0
강동구,6,2020.0,68.0,36551.0,537.0
강동구,7,2020.0,68.0,38133.0,571.0
강동구,8,2020.0,66.0,37705.0,597.0
강동구,9,2020.0,68.0,41637.0,616.0
강동구,10,2020.0,69.0,39850.0,583.0
강동구,11,2020.0,52.0,24022.0,386.0
강동구,12,2020.0,67.0,38929.0,586.0
강북구,1,2020.0,72.0,26018.0,356.0
강북구,2,2020.0,69.0,24474.0,337.0
강북구,3,2020.0,69.0,26094.0,381.0
강북구,4,2020.0,65.0,24030.0,389.0
강북구,5,2020.0,67.0,24661.0,397.0
강북구,6,2020.0,70.0,27595.0,394.0
강북구,7,2020.0,67.0,25265.0,357.0
강북구,8,2020.0,68.0,27494.0,409.0
강북구,9,2020.0,71.0,28569.0,407.0
강북구,10,2020.0,70.0,29630.0,426.0
강북구,11,2020.0,69.0,29480.0,430.0
강북구,12,2020.0,71.0,33692.0,490.0
강서구,1,2020.0,65.0,30444.0,469.0
강서구,2,2020.0,65.0,30508.0,478.0
강서구,3,2020.0,63.0,28707.0,479.0
강서구,4,2020.0,63.0,28579.0,469.0
강서구,5,2020.0,62.0,28973.0,479.0
강서구,6,2020.0,59.0,28194.0,476.0
강서구,7,2020.0,63.0,26145.0,412.0
강서구,8,2020.0,63.0,26008.0,396.0
강서구,9,2020.0,62.0,28876.0,462.0
강서구,10,2020.0,65.0,30281.0,457.0
강서구,11,2020.0,63.0,28248.0,435.0
강서구,12,2020.0,64.0,33535.0,507.0
관악구,1,2020.0,65.0,26286.0,398.0
관악구,2,2020.0,67.0,28424.0,431.0
관악구,3,2020.0,65.0,27838.0,436.0
관악구,4,2020.0,57.0,20926.0,331.0
관악구,5,2020.0,65.0,26203.0,393.0
관악구,6,2020.0,69.0,30873.0,446.0
관악구,7,2020.0,62.0,24936.0,371.0
관악구,8,2020.0,66.0,29470.0,451.0
관악구,9,2020.0,62.0,26850.0,403.0
관악구,10,2020.0,66.0,29772.0,442.0
관악구,11,2020.0,64.0,28663.0,423.0
관악구,12,2020.0,64.0,29076.0,421.0
광진구,1,2020.0,73.0,40438.0,547.0
광진구,2,2020.0,83.0,45969.0,563.0
광진구,3,2020.0,79.0,44270.0,561.0
광진구,4,2020.0,81.0,42492.0,521.0
광진구,5,2020.0,76.0,44677.0,582.0
광진구,6,2020.0,78.0,46929.0,603.0
광진구,7,2020.0,80.0,51018.0,628.0
광진구,8,2020.0,78.0,47421.0,620.0
광진구,9,2020.0,80.0,50134.0,630.0
광진구,10,2020.0,80.0,53159.0,671.0
광진구,11,2020.0,76.0,49669.0,655.0
광진구,12,2020.0,76.0,48792.0,642.0
구로구,1,2020.0,67.0,25781.0,376.0
구로구,2,2020.0,65.0,27161.0,406.0
구로구,3,2020.0,63.0,23907.0,365.0
구로구,4,2020.0,59.0,20038.0,330.0
구로구,5,2020.0,65.0,25412.0,380.0
구로구,6,2020.0,69.0,27019.0,384.0
구로구,7,2020.0,66.0,26242.0,392.0
구로구,8,2020.0,66.0,26402.0,391.0
구로구,9,2020.0,67.0,28086.0,411.0
구로구,10,2020.0,65.0,27686.0,412.0
구로구,11,2020.0,54.0,20840.0,339.0
구로구,12,2020.0,67.0,23309.0,347.0
금천구,1,2020.0,62.0,23316.0,382.0
금천구,2,2020.0,68.0,24850.0,369.0
금천구,3,2020.0,67.0,22707.0,334.0
금천구,4,2020.0,67.0,23460.0,343.0
금천구,5,2020.0,68.0,23630.0,360.0
금천구,6,2020.0,69.0,27114.0,399.0
