,표준ID,정류장명,ARS-ID,X좌표,Y좌표,gu
0,100000001,종로2가사거리,1001,126.9877498816,37.5697651251,종로구
1,100000002,창경궁.서울대학교병원,1002,126.9965660023,37.5791830159,종로구
2,100000003,명륜3가.성대입구,1003,126.9983401004,37.5826711749,종로구
3,100000004,종로2가.삼일교,1004,126.9876130976,37.5685792736,종로구
4,100000005,혜화동로터리.여운형활동터,1005,127.001744,37.586243,종로구
5,100000006,경기상고,1101,126.9693634554,37.5875502159,종로구
6,100000007,신교동,1102,126.9702653687,37.5832657654,종로구
7,100000008,경기상고,1103,126.9697701102,37.5871907861,종로구
8,100000009,경복고교,1104,126.9710436571,37.585113193,종로구
9,100000010,청운중학교,1105,126.9725135095,37.5878519552,종로구
10,100000011,자하문고개.윤동주문학관,1106,126.9671261805,37.5921866176,종로구
11,100000012,자하문고개.윤동주문학관,1107,126.9671906625,37.5923353152,종로구
12,100000013,청운중학교,1108,126.9724613198,37.5881285775,종로구
13,100000014,경복고교,1109,126.9711546793,37.5849663426,종로구
14,100000015,통인시장종로구보건소,1110,126.9710500404,37.5803257033,종로구
15,100000016,통인시장종로구보건소,1111,126.9713851083,37.5805132118,종로구
16,100000017,효자동,1112,126.9706209712,37.583091043,종로구
17,100000018,사직단.어린이도서관,1113,126.9679907155,37.5751355316,종로구
18,100000019,사직동주민센터,1114,126.9713244962,37.5761834563,종로구
19,100000020,경복궁역,1115,126.97219601,37.5768666917,종로구
20,100000021,경복궁역,1116,126.9722828893,37.5776713863,종로구
21,100000022,경복궁,1117,126.9787471496,37.5755767894,종로구
22,100000023,KT광화문지사,1118,126.9773193291,37.5724064843,종로구
23,100000025,광화문,1120,126.9763838838,37.569845398,종로구
24,100000028,서울역사박물관.경교장.강북삼성병원,1123,126.971248,37.570023,종로구
25,100000029,광화문.금호아시아나본관앞,1124,126.9731335513,37.5702880403,종로구
26,100000030,광화문,1125,126.975837,37.570365,종로구
27,100000031,세종문화회관,1126,126.9765652658,37.5726577416,종로구
28,100000032,서울지방경찰청.경복궁역,1127,126.9714842989,37.5757446636,종로구
29,100000033,사직단,1128,126.968188961,37.5748553458,종로구
30,100000034,광화문광화문빌딩,1129,126.9765458935,37.569450752,종로구
31,100000035,덕성여중고,1130,126.9820170203,37.5759017489,종로구
32,100000036,안국역.종로경찰서.인사동,1131,126.9839957858,37.5760695565,종로구
33,100000037,국민은행세검정지점,1132,126.9608880061,37.6046629766,종로구
34,100000038,세검정초등학교,1133,126.9612198463,37.6025022799,종로구
35,100000039,세검정.상명대,1134,126.9587223861,37.6007325989,종로구
36,100000040,상명대입구.석파랑,1135,126.958570225,37.5994133537,종로구
37,100000041,하림각,1136,126.9617068235,37.5981330665,종로구
38,100000042,자하문터널입구.석파정,1137,126.9636434993,37.5955935123,종로구
39,100000043,부암동주민센터.무계원,1138,126.9639574356,37.5927380599,종로구
40,100000044,부암동주민센터.무계원,1139,126.9651419211,37.5927861733,종로구
41,100000045,자하문터널입구.석파정,1140,126.9639775924,37.5955575712,종로구
42,100000046,하림각,1141,126.962215308,37.5981476478,종로구
43,100000047,상명대입구.세검정교회,1142,126.9592405649,37.5996163318,종로구
44,100000048,세검정.상명대,1143,126.9589342697,37.6005524553,종로구
45,100000049,세검정초등학교,1144,126.9614328894,37.6022680671,종로구
46,100000051,국민은행세검정지점,1146,126.9612088135,37.6047191923,종로구
47,100000053,승가사입구,1148,126.9563059978,37.6115844138,종로구
48,100000054,구기동현대빌라,1149,126.9564575503,37.6100355035,종로구
49,100000055,구기터널.삼성출판박물관,1150,126.9562103294,37.6086098941,종로구
50,100000056,구기터널.삼성출판박물관,1151,126.9564166508,37.6083054034,종로구
51,100000057,구기동,1152,126.9585297928,37.6069644475,종로구
52,100000058,구기동,1153,126.9591017479,37.6070088003,종로구
53,100000059,승가사입구,1154,126.956482,37.61148,종로구
54,100000060,갑을씨티텔앞,1155,126.9635350292,37.6043709709,종로구
55,100000061,평창파출소,1156,126.9660432906,37.6053223656,종로구
56,100000062,평창동주민센터,1157,126.9695663093,37.6066073749,종로구
57,100000063,일성아파트,1158,126.9729985215,37.6087663115,종로구
58,100000064,롯데아파트,1159,126.9764662019,37.6104295575,종로구
59,100000065,롯데아파트,1160,126.976652,37.610248,종로구
60,100000066,벽산평창힐스아파트,1161,126.972797,37.60819,종로구
61,100000067,예능교회,1162,126.97,37.606517,종로구
62,100000068,서울예술고등학교.평창동주민센터,1163,126.9676276108,37.6057787606,종로구
63,100000069,화정박물관,1164,126.9648102665,37.6045038178,종로구
64,100000072,독립문역.서대문형무소역사관,1167,126.9594644024,37.5732126863,종로구
65,100000073,서대문.서울시교육청,1168,126.9645273358,37.5682538056,종로구
66,100000075,독립문,1171,126.9615632709,37.5711733169,종로구
67,100000076,창덕궁.서울돈화문국악당,1172,126.9885394479,37.5775405746,종로구
68,100000077,무교동,1173,126.9802681756,37.5692423794,종로구
69,100000078,청계1가.광교,1174,126.9849267193,37.568684389,종로구
70,100000079,청계2가.수표교,1175,126.9906741813,37.5684371825,종로구
71,100000080,청계4가.세운교,1176,126.9964906282,37.5688691218,종로구
72,100000081,청계5가.광장시장,1177,126.9997973605,37.5694512793,종로구
73,100000102,원남동,1198,126.9973383362,37.5745325055,종로구
74,100000103,창덕궁.서울돈화문국악당,1199,126.9878777332,37.5771946373,종로구
75,100000104,안국역.종로경찰서.인사동,1200,126.9842425956,37.5757849018,종로구
76,100000105,조계사,1201,126.9832244185,37.5723660209,종로구
77,100000106,조계사,1202,126.9828258888,37.5724858087,종로구
78,100000107,안국동,1203,126.9827201116,37.5746105669,종로구
79,100000108,종로5가.효제동.김상옥의거터,1204,127.00223,37.5745,종로구
80,100000109,종로5가.효제초등학교,1205,127.0021442279,37.5728790133,종로구
81,100000116,종로5가,1212,127.0021826522,37.5705596025,종로구
82,100000117,청계6가.동대문시장,1213,127.0028494203,37.5698351103,종로구
83,100000118,동대문,1214,127.0084126252,37.5717262368,종로구
84,100000119,충신동,1215,127.006278812,37.5740223509,종로구
85,100000121,충신동,1217,127.0063433807,37.5744602778,종로구
86,100000122,현대그룹빌딩,1218,127.000533,37.575873,종로구
87,100000123,통신대(이화장),1219,127.002437,37.578043,종로구
88,100000124,혜화역.마로니에공원,1220,127.0022769364,37.5811194873,종로구
89,100000125,혜화역.서울대병원입구,1221,127.0019395272,37.5810636257,종로구
90,100000126,통신대(이화장),1222,127.0019937965,37.5781296741,종로구
91,100000127,이화동(이화장),1223,127.0006951494,37.576119355,종로구
92,100000128,창경궁.서울대학교병원,1224,126.9968717143,37.5788279947,종로구
93,100000129,이화동(이화장),1225,127.0032708172,37.5759372914,종로구
94,100000130,혜화동로터리,1226,127.0007246792,37.5857646257,종로구
95,100000131,명륜동2가.성균관대입구,1227,126.9993987623,37.5833334862,종로구
96,100000132,혜화역.서울연극센터(장면총리가옥),1228,127.0013281701,37.584022814,종로구
97,100000133,혜화역.동성중고(장면총리가옥),1229,127.0017176887,37.5845697705,종로구
98,100000135,종로구민회관.창신동두산아파트,1231,127.0155555279,37.5740926792,종로구
99,100000139,동묘역앞,1235,127.0156014431,37.5716849566,종로구
100,100000140,동묘역앞,1236,127.0158879092,37.5718984771,종로구
101,100000142,창신3동주민센터,1238,127.015178,37.578413,종로구
102,100000143,숭인1동주민센터,1239,127.0155485759,37.5787720457,종로구
103,100000144,동묘역.롯데캐슬천지인,1240,127.0158023517,37.5741800523,종로구
104,100000147,신설동로터리,1243,127.0227802373,37.5759288312,종로구
105,100000150,구기동현대빌라,1246,126.956622,37.609682,종로구
106,100000151,광장시장,1247,126.9977437946,37.5694963125,종로구
