,정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명,gu
0,GGB100000001,종로2가사거리(중),37.5697833,126.9877333,20221012043005,1001.0,11,서울특별시,경기도,종로구
1,GGB100000002,창경궁.서울대학교병원(중),37.5792333,126.9965667,20221012043005,1002.0,11,서울특별시,경기도,종로구
2,GGB100000003,명륜3가.성대입구(중),37.5827,126.9983333,20221012043005,1003.0,11,서울특별시,경기도,종로구
3,GGB100000004,종로2가.삼일교(중),37.5686833,126.9875333,20221012043005,1004.0,11,서울특별시,경기도,종로구
4,GGB100000005,혜화동로터리.여운형활동터(중),37.5862333,127.00175,20221012043005,1005.0,11,서울특별시,경기도,종로구
5,GGB100000018,사직단.어린이도서관,37.5751333,126.9680167,20221012043005,1113.0,11,서울특별시,경기도,종로구
6,GGB100000019,사직동주민센터,37.5761167,126.9715833,20221012043005,1114.0,11,서울특별시,경기도,종로구
7,GGB100000022,경복궁,37.5756167,126.9787333,20221012043005,1117.0,11,서울특별시,경기도,종로구
8,GGB100000023,KT광화문지사,37.5724333,126.9773167,20221012043005,1118.0,11,서울특별시,경기도,종로구
9,GGB100000025,광화문,37.5700333,126.97625,20221012043005,1120.0,11,서울특별시,경기도,종로구
10,GGB100000028,서울역사박물관.경교장.강북삼성병원,37.5700333,126.9713,20221012043005,1123.0,11,서울특별시,경기도,종로구
11,GGB100000030,광화문,37.5703333,126.9758333,20221012043005,1125.0,11,서울특별시,경기도,종로구
12,GGB100000031,세종문화회관,37.57265,126.9763667,20221012043005,1126.0,11,서울특별시,경기도,종로구
13,GGB100000032,서울경찰청.경복궁역,37.5758167,126.9714833,20221012043005,1127.0,11,서울특별시,경기도,종로구
14,GGB100000033,사직단,37.5748833,126.9681833,20221012043005,1128.0,11,서울특별시,경기도,종로구
15,GGB100000034,광화문.광화문빌딩,37.5695167,126.97675,20221012043005,1129.0,11,서울특별시,경기도,종로구
16,GGB100000035,덕성여중고,37.57585,126.9819667,20221012043005,1130.0,11,서울특별시,경기도,종로구
17,GGB100000037,국민은행세검정지점,37.6047,126.9608833,20221012043005,1132.0,11,서울특별시,경기도,종로구
18,GGB100000051,국민은행세검정지점,37.6047667,126.96125,20221012043005,1146.0,11,서울특별시,경기도,종로구
19,GGB100000055,구기터널.한국고전번역원,37.6086333,126.9562,20221012043005,1150.0,11,서울특별시,경기도,종로구
20,GGB100000056,구기터널앞.한국고전번역원,37.6083333,126.9564167,20221012043005,1151.0,11,서울특별시,경기도,종로구
21,GGB100000057,구기동,37.607,126.9585333,20221012043005,1152.0,11,서울특별시,경기도,종로구
22,GGB100000058,구기동,37.6070667,126.9590333,20221012043005,1153.0,11,서울특별시,경기도,종로구
23,GGB100000060,갑을씨티텔앞,37.6044,126.9635333,20221012043005,1155.0,11,서울특별시,경기도,종로구
24,GGB100000061,평창파출소,37.60535,126.9660333,20221012043005,1156.0,11,서울특별시,경기도,종로구
25,GGB100000062,평창동주민센터,37.6066333,126.9695667,20221012043005,1157.0,11,서울특별시,경기도,종로구
26,GGB100000063,일성아파트,37.6088,126.973,20221012043005,1158.0,11,서울특별시,경기도,종로구
27,GGB100000064,롯데아파트,37.6104667,126.9764667,20221012043005,1159.0,11,서울특별시,경기도,종로구
28,GGB100000065,롯데아파트,37.6100333,126.9761333,20221012043005,1160.0,11,서울특별시,경기도,종로구
29,GGB100000066,벽산평창힐스아파트,37.60825,126.9728833,20221012043005,1161.0,11,서울특별시,경기도,종로구
30,GGB100000067,예능교회,37.6065333,126.9700833,20221012043005,1162.0,11,서울특별시,경기도,종로구
31,GGB100000068,서울예술고등학교.평창동주민센터,37.6058167,126.9676167,20221012043005,1163.0,11,서울특별시,경기도,종로구
32,GGB100000069,화정박물관,37.6045333,126.9648,20221012043004,1164.0,11,서울특별시,경기도,종로구
33,GGB100000073,서대문.서울시교육청,37.5682833,126.9645167,20221012043004,1168.0,11,서울특별시,경기도,종로구
34,GGB100000102,원남동,37.5745667,126.9973333,20221012043004,1198.0,11,서울특별시,경기도,종로구
35,GGB100000105,조계사,37.5724,126.9832167,20221012043004,1201.0,11,서울특별시,경기도,종로구
36,GGB100000106,조계사,37.5725167,126.9828167,20221012043004,1202.0,11,서울특별시,경기도,종로구
37,GGB100000107,안국동,37.57465,126.9827167,20221012043004,1203.0,11,서울특별시,경기도,종로구
38,GGB100000108,종로5가.효제동.김상옥의거터,37.5745,127.0022167,20221012043004,1204.0,11,서울특별시,경기도,종로구
39,GGB100000109,종로5가.효제초등학교,37.5729167,127.0021333,20221012043004,1205.0,11,서울특별시,경기도,종로구
40,GGB100000118,동대문,37.5717667,127.0084167,20221012043004,1214.0,11,서울특별시,경기도,종로구
41,GGB100000119,충신동,37.5740667,127.0062833,20221012043004,1215.0,11,서울특별시,경기도,종로구
42,GGB100000122,현대그룹빌딩,37.57585,127.0005333,20221012043004,1218.0,11,서울특별시,경기도,종로구
43,GGB100000123,통신대(이화장),37.5781667,127.00245,20221012043004,1219.0,11,서울특별시,경기도,종로구
44,GGB100000124,혜화역.마로니에공원,37.58115,127.0022667,20221012043004,1220.0,11,서울특별시,경기도,종로구
45,GGB100000129,이화동(이화장),37.5759667,127.00325,20221012043004,1225.0,11,서울특별시,경기도,종로구
46,GGB100000133,혜화역.동성중고(장면총리가옥),37.5846,127.0017167,20221012043004,1229.0,11,서울특별시,경기도,종로구
47,GGB100000139,동묘역앞,37.5717167,127.0155667,20221012043004,1235.0,11,서울특별시,경기도,종로구
48,GGB100000147,신설동로타리,37.5755333,127.0226833,20221012043004,1243.0,11,서울특별시,경기도,종로구
49,GGB100000154,서울역사박물관.김구집무실(경교장),37.5699333,126.9720333,20221012043004,1250.0,11,서울특별시,경기도,종로구
50,GGB100000165,숭인동,37.5743167,127.0204333,20221012043004,1262.0,11,서울특별시,경기도,종로구
51,GGB100000169,조계사,37.5727667,126.9832,20221012043004,1267.0,11,서울특별시,경기도,종로구
52,GGB100000174,세종문화회관,37.5734,126.97635,20221012043004,1272.0,11,서울특별시,경기도,종로구
53,GGB100000190,종로중부새마을금고,37.5724167,127.0066,20221012043004,1288.0,11,서울특별시,경기도,종로구
54,GGB100000330,종로1가,37.5703667,126.98045,20221012043005,1763.0,11,서울특별시,경기도,종로구
55,GGB100000355,평창동삼성아파트,37.6111167,126.9786833,20221012043005,1293.0,11,서울특별시,경기도,종로구
56,GGB100000362,영천시장(중),37.5697833,126.96285,20221012043005,13037.0,11,서울특별시,경기도,종로구
57,GGB100000365,동대문.흥인지문(중),37.5721,127.0124833,20221012043005,1037.0,11,서울특별시,경기도,종로구
58,GGB100000366,동묘앞(중),37.5737667,127.0185667,20221012043005,1041.0,11,서울특별시,경기도,종로구
59,GGB100000367,동묘앞(중),37.5742167,127.0195333,20221012043005,1044.0,11,서울특별시,경기도,종로구
60,GGB100000368,서대문역사거리.적십자병원,37.5670167,126.96755,20221012043005,1169.0,11,서울특별시,경기도,종로구
61,GGB100000380,서울역사박물관.경희궁앞(중),37.5690667,126.9703167,20221012043005,1007.0,11,서울특별시,경기도,종로구
62,GGB100000384,광화문(중),37.5701333,126.97625,20221012043005,1009.0,11,서울특별시,경기도,종로구
63,GGB100000385,광화문(중),37.57025,126.9777667,20221012043005,1010.0,11,서울특별시,경기도,종로구
64,GGB100000386,종로1가(중),37.5701333,126.9809,20221012043005,1011.0,11,서울특별시,경기도,종로구
65,GGB100000387,종로1가(중),37.57025,126.9813833,20221012043005,1012.0,11,서울특별시,경기도,종로구
66,GGB100000388,종로2가(중),37.5701167,126.9855333,20221012043005,1013.0,11,서울특별시,경기도,종로구
67,GGB100000389,종로2가,37.57025,126.9862333,20221012043005,1014.0,11,서울특별시,경기도,종로구
68,GGB100000390,종로3가.탑골공원(중),37.5702333,126.9895667,20221012043005,1015.0,11,서울특별시,경기도,종로구
69,GGB100000391,종로3가.탑골공원(중),37.5703667,126.9899833,20221012043005,1016.0,11,서울특별시,경기도,종로구
70,GGB100000392,종로4가.종묘(중),37.5705,126.9947167,20221012043005,1017.0,11,서울특별시,경기도,종로구
71,GGB100000393,종로4가.종묘(중),37.5706667,126.9952833,20221012043005,1018.0,11,서울특별시,경기도,종로구
72,GGB100000394,종로5가.광장시장(중),37.57075,126.99885,20221012043005,1019.0,11,서울특별시,경기도,종로구
73,GGB100000395,종로5가.광장시장(중),37.5709167,126.9993167,20221012043005,1020.0,11,서울특별시,경기도,종로구
74,GGB100000396,종로6가.동대문종합시장(중),37.5709833,127.00345,20221012043005,1021.0,11,서울특별시,경기도,종로구
75,GGB100000397,종로6가.동대문종합시장(중),37.5711667,127.0057,20221012043005,1022.0,11,서울특별시,경기도,종로구
76,GGB100000398,동대문역.흥인지문(중),37.5723167,127.01345,20221012043005,1023.0,11,서울특별시,경기도,종로구
77,GGB101000305,서대문역사거리(중),37.5661833,126.9668833,20221012043004,1006.0,11,서울특별시,경기도,종로구
78,GGB101000307,청계2가교차로,37.5685333,126.98785,20221012043005,1237.0,11,서울특별시,경기도,종로구
79,GGB112000401,독립문역.한성과학고(중),37.5757333,126.95645,20221012043005,13035.0,11,서울특별시,경기도,종로구
80,GGB277102320,독립문고가차도(경유),37.57195,126.9607333,20221012043004,0.0,11,서울특별시,경기도,종로구
81,GGB277103099,경복궁역(경유),37.5757,126.9725833,20221012043004,0.0,11,서울특별시,경기도,종로구
82,GGB277104576,혜화동로터리(경유),37.58575,127.0011833,20221012043004,0.0,11,서울특별시,경기도,종로구
83,GGB277104577,혜화동로터리(경유),37.58565,127.0014833,20221012043004,0.0,11,서울특별시,경기도,종로구
84,GGB277104578,이화사거리(경유),37.5712667,127.0021333,20221012043004,0.0,11,서울특별시,경기도,종로구
85,GGB277104579,원남동사거리(경유),37.5713167,126.9975667,20221012043004,0.0,11,서울특별시,경기도,종로구
86,SEB100000001,종로2가사거리,37.5697651,126.9877498,20221011050911,1001.0,11,서울특별시,서울,종로구
87,SEB100000002,창경궁.서울대학교병원,37.579183,126.996566,20221011050911,1002.0,11,서울특별시,서울,종로구
88,SEB100000003,명륜3가.성대입구,37.5826711,126.9983401,20221011050911,1003.0,11,서울특별시,서울,종로구
89,SEB100000004,종로2가.삼일교,37.5685792,126.987613,20221011050911,1004.0,11,서울특별시,서울,종로구
90,SEB100000005,혜화동로터리.여운형활동터,37.586243,127.001744,20221011050911,1005.0,11,서울특별시,서울,종로구
91,SEB100000006,경기상고,37.5875502,126.9693634,20221011050911,1101.0,11,서울특별시,서울,종로구
92,SEB100000007,신교동,37.5832955,126.9702626,20221011050911,1102.0,11,서울특별시,서울,종로구
93,SEB100000008,경기상고,37.5871907,126.9697701,20221011050911,1103.0,11,서울특별시,서울,종로구
94,SEB100000009,경복고교,37.5851131,126.9710436,20221011050911,1104.0,11,서울특별시,서울,종로구
95,SEB100000010,청운중학교,37.5878519,126.9725135,20221011050911,1105.0,11,서울특별시,서울,종로구
96,SEB100000011,자하문고개.윤동주문학관,37.5921866,126.9671261,20221011050911,1106.0,11,서울특별시,서울,종로구
97,SEB100000012,자하문고개.윤동주문학관,37.5923353,126.9671906,20221011050911,1107.0,11,서울특별시,서울,종로구
98,SEB100000013,청운중학교,37.5881285,126.9724613,20221011050911,1108.0,11,서울특별시,서울,종로구
99,SEB100000014,경복고교,37.5849663,126.9711546,20221011050911,1109.0,11,서울특별시,서울,종로구
100,SEB100000015,통인시장종로구보건소,37.5803257,126.97105,20221011050911,1110.0,11,서울특별시,서울,종로구
101,SEB100000016,통인시장종로구보건소,37.5805132,126.9713851,20221011050911,1111.0,11,서울특별시,서울,종로구
102,SEB100000017,효자동,37.583091,126.9706209,20221011050911,1112.0,11,서울특별시,서울,종로구
103,SEB100000018,사직단.어린이도서관,37.5751355,126.9679907,20221011050911,1113.0,11,서울특별시,서울,종로구
104,SEB100000019,사직동주민센터,37.5761834,126.9713244,20221011050911,1114.0,11,서울특별시,서울,종로구
105,SEB100000020,경복궁역,37.5768666,126.972196,20221011050911,1115.0,11,서울특별시,서울,종로구
106,SEB100000021,경복궁역,37.5776713,126.9722828,20221011050911,1116.0,11,서울특별시,서울,종로구
107,SEB100000022,경복궁,37.5755767,126.9787471,20221011050911,1117.0,11,서울특별시,서울,종로구
108,SEB100000023,KT광화문지사,37.5722264,126.977332,20221011050911,1118.0,11,서울특별시,서울,종로구
109,SEB100000025,광화문,37.5698453,126.9763838,20221011050911,1120.0,11,서울특별시,서울,종로구
110,SEB100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,20221011050911,1123.0,11,서울특별시,서울,종로구
111,SEB100000029,광화문.금호아시아나본관앞,37.570288,126.9731335,20221011050911,1124.0,11,서울특별시,서울,종로구
112,SEB100000030,광화문,37.570365,126.975837,20221011050911,1125.0,11,서울특별시,서울,종로구
