"발생지별(1)",발생지별(2),형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범
"발생지별(1)",발생지별(2),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악)
"발생지별(1)",발생지별(2),소계,소계,소계,소계,살인,살인,살인,살인,강도,강도,강도,강도,방화,방화,방화,방화,성폭력,성폭력,성폭력,성폭력
"발생지별(1)",발생지별(2),2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021,2018,2019,2020,2021
"서울",소계,9806,9752,8623,8629,152,146,157,127,140,149,143,125,292,251,217,185,9222,9206,8106,8192
"서울",종로,364,370,272,271,7,4,8,5,3,8,7,4,9,8,6,3,345,350,251,259
"서울",중구,357,314,283,282,2,5,2,6,11,6,5,6,15,10,13,10,329,293,263,260
"서울",용산,417,362,319,248,1,3,5,3,3,6,6,1,12,9,5,7,401,344,303,237
"서울",성동,204,205,171,220,2,6,5,4,3,9,3,4,7,2,1,10,192,188,162,202
"서울",광진,363,415,352,325,7,4,2,5,3,6,4,4,6,7,7,6,347,398,339,310
"서울",동대문,243,249,244,282,5,7,10,3,5,12,6,8,12,7,10,11,221,223,218,260
"서울",중랑,238,212,276,273,4,10,10,4,3,4,5,6,8,15,9,8,223,183,252,255
"서울",성북,303,259,212,222,8,3,4,4,1,3,3,2,10,10,5,9,284,243,200,207
"서울",강북,273,239,217,222,8,6,9,4,7,2,4,2,10,4,9,6,248,227,195,210
"서울",도봉,177,136,131,131,1,1,-,2,4,6,2,2,7,7,11,5,165,122,118,122
"서울",노원,293,272,236,293,5,4,4,6,5,3,4,3,12,8,11,3,271,257,217,281
"서울",은평,312,283,251,293,8,3,4,5,1,1,4,3,23,13,8,4,280,266,235,281
"서울",서대문,278,268,251,292,5,2,15,3,3,5,2,2,10,9,12,8,260,252,222,279
"서울",마포,735,673,577,524,6,2,8,7,6,2,4,4,5,5,8,9,718,664,557,504
"서울",양천,193,199,189,202,2,7,5,1,4,5,3,3,14,7,11,5,173,180,170,193
"서울",강서,424,442,410,434,11,8,10,9,6,4,7,2,18,24,12,11,389,406,381,412
"서울",구로,405,363,344,341,8,10,7,5,9,4,5,3,15,8,11,4,373,341,321,329
"서울",금천,273,221,183,246,5,6,4,7,5,12,7,3,8,9,9,7,255,194,163,229
"서울",영등포,592,520,484,480,20,10,7,7,8,5,6,11,17,16,15,11,547,489,456,451
"서울",동작,416,367,305,304,2,5,3,3,7,1,1,1,11,11,6,2,396,350,295,298
"서울",관악,545,579,557,528,10,12,13,8,12,11,3,7,19,18,12,15,504,538,529,498
"서울",서초,635,785,578,540,5,5,5,6,5,5,8,5,10,9,5,6,615,766,560,523
"서울",강남,1010,1280,1048,946,12,9,6,13,14,6,15,25,11,8,8,12,973,1257,1019,896
"서울",송파,515,459,444,496,5,8,8,3,6,9,13,9,11,14,9,9,493,428,414,475
"서울",강동,241,280,289,234,3,6,3,4,6,14,16,5,12,13,4,4,220,247,266,221
