,자치구별,2020년 병원갯수,2021병원수
0,종로구,494.0,489.0
1,중구,572.0,572.0
2,용산구,310.0,323.0
3,성동구,456.0,460.0
4,광진구,552.0,559.0
5,동대문구,586.0,596.0
6,중랑구,531.0,535.0
7,성북구,540.0,533.0
8,강북구,466.0,467.0
9,도봉구,367.0,366.0
10,노원구,734.0,737.0
11,은평구,677.0,688.0
12,서대문구,441.0,437.0
13,마포구,742.0,762.0
14,양천구,638.0,651.0
15,강서구,861.0,887.0
16,구로구,569.0,583.0
17,금천구,354.0,356.0
18,영등포구,779.0,793.0
19,동작구,588.0,595.0
20,관악구,698.0,710.0
21,서초구,1251.0,1306.0
22,강남구,2693.0,2790.0
23,송파구,1194.0,1214.0
24,강동구,823.0,852.0
25,평균,716.64,730.44
