자치구별,2018학원수,2019학원수,2020학원수,2021학원수
종로구,274,259,243,217
중구,119,118,109,91
용산구,158,155,154,137
성동구,314,293,289,290
광진구,430,406,405,426
동대문구,363,368,350,359
중랑구,273,276,262,257
성북구,464,450,439,451
강북구,218,209,206,210
도봉구,335,317,297,285
노원구,747,740,718,684
은평구,521,525,519,509
서대문구,345,346,348,342
마포구,644,683,689,692
양천구,1062,1037,1008,979
강서구,707,693,694,697
구로구,427,406,394,386
금천구,222,224,212,208
영등포구,467,446,445,440
동작구,458,465,471,487
관악구,450,443,431,434
서초구,1130,1119,1148,1146
강남구,2263,2279,2361,2383
송파구,1051,1115,1076,1045
강동구,638,672,724,654
