,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
연도,행정구역(시군구)별,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2017년,총전입 (명),1472937,28020,20904,35154,50416,56010,47899,56385,61285,42231,40965,64406,68402,48534,57490,54797,90217,50077,34230,62622,60949,90303,68680,90474,110872,81615
2017년,총전출 (명),1571423,25814,20574,36622,46031,56647,52733,59947,68221,44809,45260,78488,73637,50286,63689,62729,86483,58672,34907,66039,66978,94943,76574,103367,107154,90819
2017년,순이동 (명),-98486,2206,330,-1468,4385,-637,-4834,-3562,-6936,-2578,-4295,-14082,-5235,-1752,-6199,-7932,3734,-8595,-677,-3417,-6029,-4640,-7894,-12893,3718,-9204
2017년,시도내이동-시군구내 (명),454536,4512,3338,7302,11151,16364,13489,22111,20294,14164,13548,23570,27968,11716,14608,17134,28946,13395,10288,15910,14741,26604,20152,28057,37182,37992
2017년,시도내이동-시군구간 전입 (명),564271,14610,11189,16054,25046,22011,18879,20569,24663,18237,16966,21744,22431,21699,23249,22226,32381,17035,10988,25762,25321,26843,28160,33068,40957,24183
2017년,시도내이동-시군구간 전출 (명),564271,13178,11319,16866,20756,20936,21618,16619,27925,17229,15818,25639,18672,22362,28404,23721,23318,18527,8764,27019,28015,32178,32193,40280,30710,22205
2017년,시도간전입 (명),454130,8898,6377,11798,14219,17635,15531,13705,16328,9830,10451,19092,18003,15119,19633,15437,28890,19647,12954,20950,20887,36856,20368,29349,32733,19440
2017년,시도간전출 (명),552616,8124,5917,12454,14124,19347,17626,21217,20002,13416,15894,29279,26997,16208,20677,21874,34219,26750,15855,23110,24222,36161,24229,35030,39262,30622
2018년,총전입 (명),1439707,23187,20771,37339,51358,55728,54899,54168,57147,40941,39518,61867,67489,45861,60227,54579,83699,51108,33794,59862,65099,94403,74658,91611,101060,59334
2018년,총전출 (명),1549937,24798,20873,37801,49012,58774,57605,59616,65477,45800,44213,72748,71519,48484,61071,62414,90281,58543,35508,62108,66105,96477,83489,106802,101486,68933
