,자치구별,2019 총전입,2019 총전출,2019 순이동,2019 인구이동률(%)
1,평균,1426493,1476081,-49588,-1.7000000000000002
2,종로구,22271,23945,-1674,-3.5999999999999996
3,중구,19623,19384,239,0.6
4,용산구,35099,35673,-574,-0.8
5,성동구,39922,48102,-8180,-9.3
6,광진구,52191,57088,-4897,-4.5
7,동대문구,51660,53660,-2000,-1.9
8,중랑구,49446,55932,-6486,-6.2
9,성북구,67841,61169,6672,5.2
10,강북구,38046,42622,-4576,-5.7
11,도봉구,35445,41225,-5780,-7.5
12,노원구,57183,68095,-10912,-8.7
13,은평구,69399,72721,-3322,-2.3
14,서대문구,45729,46677,-948,-1.0
15,마포구,57766,59573,-1807,-1.5
16,양천구,50256,56733,-6477,-6.1
17,강서구,78518,85057,-6539,-4.0
18,구로구,54791,53666,1125,1.0
19,금천구,32416,33728,-1312,-2.0
20,영등포구,56874,58253,-1379,-1.2
21,동작구,61168,62047,-879,-0.7000000000000001
22,관악구,93583,95788,-2205,-1.2
23,서초구,63335,67634,-4299,-3.3000000000000003
24,강남구,95557,93716,1841,1.0
25,송파구,123273,116301,6972,2.9000000000000004
26,강동구,75101,67292,7809,5.5
